HLA-C	20468	987.911
TSHR	7339	1.179
TSHB	1844	0.0
IFNA4	637	0.0
IFNA17	2126	0.0
GZMB	8980	2.408
HLA-DPA1	20454	826.016
TG	6164	0.575
IFNA7	1616	0.0
IFNA5	1476	0.0
HLA-DQA2	19656	62.244
HLA-F	19474	53.172
CD28	3593	0.058
HLA-DPB1	20460	877.981
CGA	178	0.0
HLA-DMB	19986	91.567
TPO	3506	0.052
IFNA14	2218	0.0
IFNA1	3157	0.033
IL5	2241	0.0
PRF1	10862	4.278
HLA-DOA	20116	116.412
HLA-DRB1	20463	950.033
CD40	17224	19.675
CD80	3100	0.031
IFNA10	639	0.0
IL10	6154	0.568
HLA-B	20516	2120.309
HLA-DQB1	19690	64.231
IFNA13	2439	0.0
IFNA21	915	0.0
FASLG	7209	1.108
CD40LG	4777	0.21
IFNA16	1446	0.0
IL4	3126	0.032
IL2	4382	0.139
HLA-DQA1	20020	96.303
IFNA8	1113	0.0
HLA-DOB	13019	7.212
FAS	14973	11.25
HLA-G	16684	17.06
IFNA6	1710	0.0
HLA-E	20328	247.371
CTLA4	4049	0.099
CD86	7051	1.031
IFNA2	632	0.0
HLA-DRB5	20210	145.534
HLA-A	20428	634.83
HLA-DRA	20507	1596.662
HLA-DMA	20289	207.299
