	count	db	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
2-Oxocarboxylic acid metabolism	18	KEGG	0.9064632238368459	0.8963716192223113	0.915199362673567	0.8967088341586311	0.9234708949889828
ABC transporters	45	KEGG	0.14136406207472732	0.337583403715415	0.1401518316232766	0.3566527707364399	0.18739363955686902
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	0.978696286776547	0.9984969704134343	0.9646960767017839	0.9965506837461698	0.9712468768074589
AMPK signaling pathway	121	KEGG	0.9318625792586785	0.9536066441867659	0.9411461574856924	0.9443120752748684	0.9322063368386564
Acute myeloid leukemia	66	KEGG	0.9506130589200503	0.9392665255255261	0.9435048225108158	0.922966927055484	0.939605316968492
Adherens junction	72	KEGG	0.9985991472890658	0.9992592228237339	0.9978562875860614	0.9992255618916343	0.9977368692837657
Adipocytokine signaling pathway	69	KEGG	0.764983279174437	0.8830558456172594	0.822260923897808	0.8908796391879855	0.8175035796478372
Adrenergic signaling in cardiomyocytes	144	KEGG	0.8293823421782042	0.9793916167470611	0.8703816830224133	0.9828651557834176	0.7600960159856035
African trypanosomiasis	35	KEGG	0.45051094721835927	0.7135263853812155	0.42725437303123004	0.5900205612256253	0.4070593138754026
Alanine, aspartate and glutamate metabolism	35	KEGG	0.7808122847488342	0.5956263350771468	0.7577932746366756	0.6274579709748646	0.7589828052909335
Alcoholism	180	KEGG	0.10843740930396001	0.08803577810403299	0.09490487051618192	0.147737379716921	0.05014947560048578
Aldosterone synthesis and secretion	96	KEGG	0.6783077714370821	0.924618800242808	0.8021719306232558	0.9458207601040234	0.6006664617305635
Aldosterone-regulated sodium reabsorption	37	KEGG	0.7131510832183118	0.8060401573634817	0.7233331706552721	0.8418104196314902	0.7483810047800685
Allograft rejection	38	KEGG	0.6997291197666489	0.7047494963353255	0.7199172832609432	0.7687742308541925	0.8776855545730409
Alzheimer's disease	171	KEGG	0.991471523248098	0.9906542225467544	0.9912016482293589	0.9906403695807817	0.9915087121130288
Amino sugar and nucleotide sugar metabolism	48	KEGG	0.8788577841787526	0.9058670069236195	0.8611055482059484	0.8902750948159172	0.898327331519946
Aminoacyl-tRNA biosynthesis	66	KEGG	0.9104042428688567	0.8936178617642705	0.9037676058220112	0.9024815359117404	0.925480367660039
Amoebiasis	96	KEGG	0.7999878728740649	0.961944824873891	0.8706067469265962	0.8853804026528109	0.8954208188359656
Amphetamine addiction	68	KEGG	0.634022209130748	0.4895707238229532	0.5230252212830035	0.6247169276493216	0.38311694226875426
Amyotrophic lateral sclerosis (ALS)	51	KEGG	0.9086237937730043	0.9194595567664514	0.890405650368311	0.9300992786998632	0.9234313116903873
Antifolate resistance	31	KEGG	0.741810597670247	0.5300602508393881	0.7736623081875372	0.6378211726642141	0.7809332216766453
Antigen processing and presentation	77	KEGG	0.9583240510564296	0.9640056469114445	0.983649235268804	0.9855845211912988	0.9814757529826806
Apelin signaling pathway	137	KEGG	0.9723864632530458	0.9939269197466166	0.985920485191548	0.9952668473502083	0.973649170899943
Apoptosis	138	KEGG	0.9989527206417488	0.9993901390577561	0.997617933968735	0.9941888990823928	0.9985557429817657
