	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
2-Oxocarboxylic acid metabolism	-0.1626685316693122	-0.13064600551825262	-0.16671236673719433	-0.13820759669158367	-0.15855820357370953
ABC transporters	0.19939720947070225	0.04439655688782031	0.07597331511248896	0.02304470735526949	0.07277994239707966
AGE-RAGE signaling pathway in diabetic complications	-0.15375719831597082	-0.20211172029872448	-0.1507860630133508	-0.20259940275847396	-0.1541044323967238
AMPK signaling pathway	-0.04763942282672698	-0.1539891631340932	-0.13463905900982476	-0.15286608300517776	-0.1315511269546345
Acute myeloid leukemia	-0.14917169179613046	-0.1556211314305009	-0.15150662118140823	-0.14902733599979087	-0.14627467795137866
Adherens junction	-0.22065476445215473	-0.21712016641470097	-0.21334314090040638	-0.22489511986483535	-0.21517457501186152
Adipocytokine signaling pathway	-0.03792207438702082	-0.08972660518898831	-0.055393954314665976	-0.10138154754324571	-0.0013306143279855902
Adrenergic signaling in cardiomyocytes	-0.038555717266211625	-0.08856677702673772	-0.05980697082448458	-0.0941598391858109	-0.03401265562119769
African trypanosomiasis	0.014753067762975426	-0.03661544252368262	0.02470762170610478	0.007584138233834156	0.03351556687878123
Alanine, aspartate and glutamate metabolism	-0.06512560986208443	-0.01870695379417998	-0.017575596511668973	-0.02216133444656592	-0.05073457620240405
Alcoholism	0.1333412369229707	0.15274932148805645	0.1280442851795852	0.10527530555655794	0.14785907552862926
Aldosterone synthesis and secretion	-0.028038314428214372	-0.058625241132352374	-0.05031780889243054	-0.08342406980840467	-0.011750708296072476
Aldosterone-regulated sodium reabsorption	0.6553869166391582	-0.004074778193849187	-0.02820470201305894	-0.06777147964948292	-0.0434748431848328
Allograft rejection	0.013323761657008468	0.007846225504492717	0.01180267428302259	0.036051938973030044	-0.09442582711184959
Alzheimer's disease	-0.20663039405850916	-0.2062280242872184	-0.20756514825858194	-0.2074922112079269	-0.2018977044094861
Amino sugar and nucleotide sugar metabolism	-0.12053331756476451	-0.13071391273433655	-0.11951088601083	-0.12680866150696857	-0.13323707041041083
Aminoacyl-tRNA biosynthesis	-0.15271019332245256	-0.13878003631033017	-0.1559375584932443	-0.1449019701704419	-0.1628920660588647
Amoebiasis	-0.003875577078186381	-0.09382793002472996	-0.05577621903761152	-0.015597863945147183	-0.058407865528502
Amphetamine addiction	0.009003359920619678	0.11492184571074222	0.046827186041162254	0.024114491744167552	0.09763399592693639
