	count	db	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
2-Oxocarboxylic acid metabolism	18	KEGG	0.0025768155328018405	0.019954493708515434	0.002691021036229904	0.015612141425404086	0.005893280054986531
ABC transporters	45	KEGG	0.47330214549269156	0.45587609562783943	0.4378682916206462	0.43327864832947577	0.3432019903089017
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	9.620838472682307e-05	1.7286067219860684e-08	9.725807145198553e-05	1.6168907834971748e-08	7.990552844465766e-05
AMPK signaling pathway	121	KEGG	7.150239177898364e-05	1.5908039985284787e-06	7.097621834541565e-05	1.2471782510340728e-06	9.335043075722876e-05
Acute myeloid leukemia	66	KEGG	0.0004940734577454709	5.3805151758754845e-05	0.00023015070544046677	2.5973233741119145e-05	0.00016440377318702708
Adherens junction	72	KEGG	1.995088274199036e-08	4.343704208356674e-08	1.231491095833563e-07	7.023055405993411e-09	8.629567763500378e-08
Adipocytokine signaling pathway	69	KEGG	0.022166988800076132	0.010662652723205839	0.02527273470860448	0.010132954232056422	0.04460189107829444
Adrenergic signaling in cardiomyocytes	144	KEGG	0.03977318617179874	0.002201861791714289	0.041652420961947816	0.0013396934166116793	0.06824636340001008
African trypanosomiasis	35	KEGG	0.3490084198604007	0.18821857312510337	0.3628208660176599	0.189311451346838	0.232232023513869
Alanine, aspartate and glutamate metabolism	35	KEGG	0.11137211876934679	0.2523061239799738	0.12552507242999397	0.22365474042558534	0.19462819299495213
Alcoholism	180	KEGG	0.2023183047669279	0.16764921204350353	0.21561689384005803	0.18499371972321962	0.26566197566208966
Aldosterone synthesis and secretion	96	KEGG	0.14785129745160516	0.027073991794208992	0.12360782884880409	0.020673130482982416	0.22299383431706526
Aldosterone-regulated sodium reabsorption	37	KEGG	0.1909168105670632	0.11899151344958071	0.22060429735327325	0.08517867079770987	0.1673925091852099
Allograft rejection	38	KEGG	0.014583853539581129	0.04772694203641648	0.012231444761587797	0.0031650680932157112	2.9615305476522753e-05
Alzheimer's disease	171	KEGG	8.950974463059109e-17	1.1425309381606653e-16	3.4381902739299224e-17	1.0253435763806991e-16	5.2756987075547615e-17
Amino sugar and nucleotide sugar metabolism	48	KEGG	0.006923387207296663	0.005593017176481521	0.004408576574061235	0.005234987838678332	0.00342784156995986
Aminoacyl-tRNA biosynthesis	66	KEGG	0.00021652600492945442	0.0004515999005604688	0.00014511458324134414	0.0002344688967060224	0.00024373460902163218
Amoebiasis	96	KEGG	0.054380440138600356	0.0014723380014763613	0.0525473274320855	0.0008960464546885671	0.022680443614467825
Amphetamine addiction	68	KEGG	0.08502930791879572	0.02991117695879225	0.10783530519684009	0.05900881736135472	0.1488835220033862
Amyotrophic lateral sclerosis (ALS)	51	KEGG	0.05949346667971501	0.03974346832992194	0.06120902125105381	0.03280930044276574	0.04542138998974402
Antifolate resistance	31	KEGG	0.10683147159927567	0.1311645270616589	0.08709479855819617	0.1685482549511607	0.08925105616712874
Antigen processing and presentation	77	KEGG	9.944271583929695e-08	3.661114074516733e-06	9.539598056604947e-08	5.6882489809590815e-08	5.1191223323909434e-12
Apelin signaling pathway	137	KEGG	0.004837727608687756	2.094884402333621e-05	0.004049033779101811	1.0017360500265172e-05	0.005460045670240505
Apoptosis	138	KEGG	1.661038070848747e-07	8.485225363510263e-08	1.161798058949568e-07	3.6998889752520766e-08	7.274667427196292e-09
