	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
2-Oxocarboxylic acid metabolism	0.41954469844776876	0.4238763048900138	0.36356325588066224	0.33188486039784193	0.3985473124734041
ABC transporters	0.020309707325953386	0.003631146123137486	0.019067990659029956	0.018658998572507163	0.04546947276851558
AGE-RAGE signaling pathway in diabetic complications	0.1467169487449639	0.21006115522688512	0.1676295539616516	0.24419573538835043	0.15185810686090895
AMPK signaling pathway	0.15327054825077185	0.2375904596430497	0.1793186833040529	0.24048193878006807	0.16337853324419513
Acute myeloid leukemia	0.19633875415507693	0.23318809819805927	0.2791867676153923	0.2549788912286459	0.3242494618632901
Adherens junction	0.32356102500555795	0.3576199299671741	0.258938391854569	0.3971462450359411	0.331119129294557
Adipocytokine signaling pathway	0.13636944963276243	0.18006065062516682	0.13904668627029476	0.18291122499316803	0.11229849101213864
Adrenergic signaling in cardiomyocytes	0.3565860108690459	0.5058670031887	0.2183653094237218	0.4344929196591079	0.370855704700073
African trypanosomiasis	0.05040885673613996	0.22856091032117995	0.039321923078077525	1.447672811334909	0.0757873185465929
Alanine, aspartate and glutamate metabolism	0.1414715268549059	0.05877344401549931	0.12589121737335732	0.07097452435100257	0.11678837544138539
Alcoholism	0.27326475753026086	0.41326562647688425	0.26718782594208673	0.29894696033632956	0.2809496760989042
Aldosterone synthesis and secretion	0.3014143508214128	0.45413575527004035	0.1450230378503638	0.2040204981605131	0.08979052590127316
Aldosterone-regulated sodium reabsorption	0.1848177957638847	0.14463839955777358	0.1739487683747494	0.20390512339154385	0.15729886465018414
Allograft rejection	0.9939948961670549	0.8783320941771876	1.1015558906025775	1.2450627148655795	1.0652845370469846
Alzheimer's disease	0.6638971066586404	0.6381084058937666	0.663610908276758	0.6298763178916099	0.6913743123204753
Amino sugar and nucleotide sugar metabolism	0.1429102553745476	0.16853721329406063	0.14218923573836065	0.19327668388595243	0.18321173398745508
Aminoacyl-tRNA biosynthesis	0.2106547878430571	0.19632516924472507	0.23903189859182702	0.2043098323775249	0.22139284970984216
Amoebiasis	0.31072908300665514	0.7151074797530479	0.24688989737053263	0.5905210452510674	0.38336361730326285
Amphetamine addiction	0.5199981007789587	0.5605803062108237	0.48773980259973965	0.39598567622352576	0.51899230729617
Amyotrophic lateral sclerosis (ALS)	0.18564831197027332	0.17287301185443602	0.16683501030902226	0.14843240697363336	0.20935237790417988
Antifolate resistance	0.10613971277012788	0.11157249596111142	0.12431365131802224	0.08469995603697837	0.10619551600703449
Antigen processing and presentation	1.0966300430425664	0.9150566803106793	1.1392903835845831	1.0326949872378646	1.1886473080152766
Apelin signaling pathway	0.3664329058828898	0.37584070620503957	0.27083396369195734	0.2680256925699974	0.479232133812206
Apoptosis	0.14824782207966133	0.18982266073246115	0.15936101170007402	0.1522902440873652	0.19885489355061112
Apoptosis - multiple species	0.16799601405674566	0.18565152906573487	0.18638818106082555	0.2434539026659449	0.24043260008655531
Arachidonic acid metabolism	0.1378021737434825	0.017031216074683397	0.12412830206693945	0.18898265446669152	0.1788294658832843
Arginine and proline metabolism	0.40145403287301984	0.3829945686318593	0.3984053345487607	0.4203306011370675	0.3666999439720355
Arginine biosynthesis	0.2766705202820951	0.12930095616269477	0.23938365730393607	0.15770248799596917	0.3806209338136674
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.6737882019725725	1.0633785686862673	0.6044042248752435	0.5001683301977089	0.8462024581286018
Ascorbate and aldarate metabolism	-0.08591523957457314	0.0643445584390356	-0.08574387736545276	-0.08560665256503784	-0.10107477066849954
Asthma	0.5845010117559545	0.5337725791551811	0.773653707576278	1.041266503527328	0.9788549917260959
Autoimmune thyroid disease	0.8699404189263797	0.7452785337301464	0.9511402750266457	1.0979571272949589	1.0010339568864115
Autophagy - animal	0.23647941657605226	0.29751853455403193	0.19753206026152595	0.28435635355295485	0.2313072837305479
Autophagy - other	0.24935050935251668	0.32220414215407994	0.234325138547279	0.2663382589864174	0.2672736207103982
Axon guidance	0.08452859075317722	0.08517961885996021	0.053904121835505754	0.09819304338263599	0.0561209823886394
B cell receptor signaling pathway	0.13657173726736105	0.12309732241837364	0.14267127575118177	0.15385558304310026	0.15578248563118646
Bacterial invasion of epithelial cells	0.47236557069623536	0.703931896023511	0.4006686499414487	0.6774640485592403	0.45917379728485425
Basal cell carcinoma	0.06565567409177298	0.04158937249958364	0.06378846700481851	0.05342771070115916	0.04732112008568329
Basal transcription factors	0.20675330560298033	0.2101698437016575	0.1958417632066277	0.23779330393126763	0.19252348913797754
Base excision repair	0.28067471769541985	0.3021246032730834	0.305197446229238	0.26520473496363123	0.296160293945859
Bile secretion	0.039129978913971644	0.11325051458487395	0.015939514345271494	0.18113576405523651	0.011663753330114685
Biosynthesis of unsaturated fatty acids	0.16442571374703568	0.2220528459328482	0.1606640129810162	0.22111145531565907	0.1868337327059953
Biotin metabolism	0.24805495379477732	0.22973590032123592	0.2484564390441198	0.25332634575100554	0.25515782068322634
Bladder cancer	0.7090157269424693	0.5645553636160984	0.5107888067625072	0.40866738713414524	0.571911277828039
Breast cancer	0.24121363420367947	0.21798931784442763	0.15541791382114045	0.1890862188262769	0.23167333338487528
Butanoate metabolism	0.12090725845618425	0.04666021772035694	0.1321643628946845	0.04990281632856668	0.10922573848594869
Caffeine metabolism	-0.07931576520294747	-0.07727109165180222	-0.061575180584205	-0.0545881795208221	-0.048228623430451735
Calcium signaling pathway	0.01269153399492845	0.3063076543916537	0.026324243042334883	0.11076127352029858	0.021765242165758703
Carbohydrate digestion and absorption	0.13169468084686847	0.0570964838683477	0.10722493440908157	0.13385513698409415	0.16372973146811276
Carbon metabolism	0.3157378230476275	0.4646522325967012	0.3130201677131214	0.3563100404731177	0.2792442773727314
