	count	db	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
2-Oxocarboxylic acid metabolism	18	KEGG	0.687593034202032	0.7402083748659866	0.6812203816227899	0.727432002338665	0.6941315688827608
ABC transporters	45	KEGG	1.5826949239010826	1.1076347102418456	1.1911688153350248	1.0544954431905191	1.1824422588096768
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	0.7018475717568485	0.6278968144094513	0.7066655777354319	0.6271921257445876	0.7012866436150059
AMPK signaling pathway	121	KEGG	0.8961084594500169	0.7014728019162543	0.7334338348210279	0.7032891493716027	0.7386672988849147
Acute myeloid leukemia	66	KEGG	0.7092973025000789	0.698841791820478	0.7054940881231822	0.7095331060851473	0.714044571919529
Adherens junction	72	KEGG	0.6016518210603232	0.6065684728769918	0.6118667579570359	0.5958060105888604	0.6092919286039902
Adipocytokine signaling pathway	69	KEGG	0.916384902639482	0.8133423661088544	0.8802500242069036	0.7918053876095136	0.9969408360907622
Adrenergic signaling in cardiomyocytes	144	KEGG	0.9150488567042784	0.8155173837133722	0.8713507897901662	0.8050820815783922	0.9246712280298821
African trypanosomiasis	35	KEGG	1.0345537702626297	0.919146118368667	1.0585408481243015	1.017616495467054	1.080228339960662
Alanine, aspartate and glutamate metabolism	35	KEGG	0.8607447652123735	0.9578401691849624	0.960338640185981	0.9502517225912529	0.8897447288953215
Alcoholism	180	KEGG	1.3593811296060347	1.4215080436010288	1.3429018903917214	1.2743106289791335	1.4055913489597132
Aldosterone synthesis and secretion	96	KEGG	0.9374792967621824	0.8737249928723361	0.8905989753000096	0.825231752860576	0.9733057559137235
Aldosterone-regulated sodium reabsorption	37	KEGG	4.52258686046363	0.9906613550097514	0.9371201970136224	0.8555167567389533	0.9047428440896991
Allograft rejection	38	KEGG	1.03115454810964	1.0182307902193746	1.0275493155047415	1.086555561269655	0.8045891521059846
Alzheimer's disease	171	KEGG	0.6213976491889536	0.6219736350744971	0.6200616215994403	0.6201657658279964	0.62820631180499
Amino sugar and nucleotide sugar metabolism	48	KEGG	0.757646606619187	0.7400926433461343	0.7594323865227138	0.7467776961549091	0.7358053302650628
Aminoacyl-tRNA biosynthesis	66	KEGG	0.7035416398039664	0.726473812441614	0.698332800972791	0.7163050777983603	0.6872392163504526
Amoebiasis	96	KEGG	0.9911158533287778	0.8056975999985587	0.8794755716154621	0.9647218968190425	0.8741624242589427
Amphetamine addiction	68	KEGG	1.0209473822397472	1.3029322856967713	1.1138512230040654	1.0570961515528132	1.2520855281841696
Amyotrophic lateral sclerosis (ALS)	51	KEGG	0.8216914673883592	0.8022096890583674	0.8349249416490556	0.788555890327786	0.8074870291231321
Antifolate resistance	31	KEGG	0.8612699452075945	1.054358127649069	0.8402479728248845	0.9228928279344939	0.8404505705304793
Antigen processing and presentation	77	KEGG	0.7369376968245087	0.7358372889786761	0.6903786203788209	0.688309603049281	0.6527493525326745
Apelin signaling pathway	137	KEGG	0.8129467579374173	0.7288566959268136	0.7888217446123752	0.7138103945899696	0.8197974299213423
Apoptosis	138	KEGG	0.665017203516797	0.664781271231531	0.6643159741145066	0.6652431149733363	0.6476621527328722
Apoptosis - multiple species	33	KEGG	0.859604960541212	0.8381439137239403	1.3840427988705442	0.8525846303092601	0.8721457340963659
Arachidonic acid metabolism	62	KEGG	1.9097664518155766	1.4944871052826993	1.369926550707833	1.7509785565195535	1.5690203569096182
Arginine and proline metabolism	50	KEGG	0.7671725637311488	0.7583863570804138	0.7763180489365296	0.7438951641289151	0.7387106030326008
Arginine biosynthesis	21	KEGG	0.8998076624572319	0.8951015800025519	0.884697304860464	0.8642504398874216	0.911487358791273
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	KEGG	1.1614081375705447	0.8605504349825966	0.935294521944736	0.8540045368435477	0.9344607556147312
Ascorbate and aldarate metabolism	27	KEGG	3.3631670825012447	3.5481106413083454	3.258825678076011	3.6167021628361122	3.9816220917481076
Asthma	31	KEGG	1.216506269259614	1.1898378397605538	1.2751712354184208	9.007794861524639	1.5776548190168407
Autoimmune thyroid disease	53	KEGG	2.5060218060971744	2.5241100640670493	2.4895316112529144	2.159403887425459	2.209163794546852
Autophagy - animal	128	KEGG	0.8369724118781732	0.7347548707906814	0.6670265981769639	0.6431876665329168	0.6475546793165006
Autophagy - other	32	KEGG	0.6795026064217679	0.6475229338429215	0.6873140092933829	0.6701616437264556	0.6720442660531775
Axon guidance	175	KEGG	0.784699262747661	0.746190251659162	0.7908297017110534	0.7362646198754095	0.8733504827709188
B cell receptor signaling pathway	71	KEGG	0.7135408615019323	0.7098210997863812	0.7166730555359674	0.6891106098811095	0.6980783750322617
Bacterial invasion of epithelial cells	76	KEGG	0.6084334423581191	0.6034655519019905	0.608960848835394	0.5917813262111874	0.6038595520162913
Basal cell carcinoma	63	KEGG	0.9573550811763348	0.9307179149426457	0.9234513335694753	0.9134978721101014	1.0229049880269656
Basal transcription factors	45	KEGG	1.2163969868976907	0.8031898229815566	0.7986544088596782	0.8001965607731321	0.8141385401422663
Base excision repair	33	KEGG	0.7009342685378673	0.726653262862951	0.6743586181285199	0.71602941097242	0.6799746916691721
Bile secretion	71	KEGG	1.5638546427656916	1.5504081244330183	1.431332623485262	1.7674153159184693	1.4121736464580539
Biosynthesis of unsaturated fatty acids	23	KEGG	0.8095577224000842	0.8033775997210795	0.8110154496891615	1.5880766292400388	0.7969470172655352
Biotin metabolism	3	KEGG	1.221711401527065	1.235947441848217	1.2774408809238562	1.2591646033834234	1.2451328747454267
Bladder cancer	41	KEGG	0.820064779694787	0.6907759589768692	0.7139360262709844	0.714719687439159	0.7146118821270047
Breast cancer	147	KEGG	0.8521913602724156	1.2210556758649107	0.8455363168358713	0.8416613643580776	0.9661862055650656
Butanoate metabolism	28	KEGG	0.9811602408601982	1.5670367880388405	0.9624724880541062	1.067354973122304	1.3501684534548228
Caffeine metabolism	5	KEGG	2.5724165196236193	2.5699837139156854	2.615369431782025	2.3928589131556572	2.8374959105523128
Calcium signaling pathway	182	KEGG	1.3804140212759821	1.082995826024458	1.3290304013848298	0.99597655376762	1.36229497865684
Carbohydrate digestion and absorption	44	KEGG	2.4424941253864287	1.2749832682435656	30.663856926213292	1.4457305868838362	1.1912394244112121
Carbon metabolism	116	KEGG	0.9003226429904876	0.6820746801343572	0.9539539942674734	0.6919344931150824	0.6841146892164763
Cardiac muscle contraction	78	KEGG	1.1766509072117977	0.8638912235510243	1.028044966800155	0.9539765301669382	1.1692185541925915
Cell adhesion molecules (CAMs)	145	KEGG	0.8682118655031473	0.9006991103365449	0.8634343802691247	0.8563892514801035	0.8229315736965137
Cell cycle	124	KEGG	0.7230367624790792	0.7382649030316353	0.7321962990927408	0.7361423853918987	0.7069966929972491
Cellular senescence	160	KEGG	0.6891037216210716	0.6809354452301454	0.6857804075885916	0.6728109796122973	0.6769974826947875
Central carbon metabolism in cancer	65	KEGG	0.7225089346374408	0.6997611346894269	0.6998386581767991	0.7337684701071471	0.7025983354491332
Chagas disease (American trypanosomiasis)	102	KEGG	0.729680172936009	0.6841059981846608	0.7249213492356447	0.6913191994627516	0.710305415323359
Chemical carcinogenesis	82	KEGG	1.842426743874129	2.11440562625052	1.8828418779336984	2.242731921057087	2.6990953642965207
Chemokine signaling pathway	185	KEGG	0.9207203379029484	1.5743295131725485	1.6263900438330132	0.8066472004061168	0.8885455011022961
Cholesterol metabolism	50	KEGG	8.914438399392521	1.3793348491129924	1.0462800875203404	1.1428842819592107	0.9832116010956155
Choline metabolism in cancer	99	KEGG	0.7282140686349926	0.7054636624758909	0.7515314954687803	0.7182027465000647	0.7347820723560496
Cholinergic synapse	112	KEGG	1.013795201783949	0.9344618159837398	0.9881579838350106	0.8893667111608092	1.1384380178536098
Chronic myeloid leukemia	78	KEGG	0.6960164296462128	0.6348359824867109	0.6764403884126438	0.6478206117858423	0.6364972189118367
Circadian entrainment	96	KEGG	1.1081506568411146	1.6656145341928739	1.0581139036298377	0.9259995139490113	1.1771265045059138
Circadian rhythm	31	KEGG	0.6959462846034519	0.7176944710835542	0.7095480512072342	0.6913023553379954	0.7262277932329255
Citrate cycle (TCA cycle)	30	KEGG	0.7131078574231199	0.6341826333984821	0.6177130105122697	0.635732507021081	0.6237711853153516
Cocaine addiction	49	KEGG	1.1224714233497053	1.1042341258308175	1.2734755538733091	1.0753462757938284	1.2721648259284846
Collecting duct acid secretion	27	KEGG	6.539001658808718	0.8971666384651135	1.0056429692183528	8.162947385377961	0.8665012238801051
Colorectal cancer	86	KEGG	0.6519261353460344	0.6291646555644648	0.6614172627349479	0.6457738156628409	0.6467136780900308
Complement and coagulation cascades	79	KEGG	1.1037768462065571	1.237881569276873	1.1468222875076919	1.6591259023718856	1.1711555876856938
Cortisol synthesis and secretion	63	KEGG	0.9821816499660526	0.8538319049721169	0.9591337342432555	0.8714661591846727	1.033038419789806
Cysteine and methionine metabolism	45	KEGG	0.7111488425974609	0.7708436676042433	0.7292023254994254	0.7572996567279274	0.7104751454302533
Cytokine-cytokine receptor interaction	270	KEGG	1.4403569188110297	1.5070850300878518	1.3901934530680156	1.403967556378324	1.36848633080602
Cytosolic DNA-sensing pathway	64	KEGG	4.504864804550203	1.4949951896874267	3.15703199641921	1.6869790882644546	1.5624163162440303
D-Arginine and D-ornithine metabolism	1	KEGG	13.826262626262627	4.431685732786531	7.36441893830703	6.839440373084611	16.788225674570725
D-Glutamine and D-glutamate metabolism	5	KEGG	0.9260829997803179	0.9246881041568333	0.9632429741603823	0.9247225126266855	0.9665736415220951
DNA replication	36	KEGG	0.7964721956474301	0.858486537290509	0.7636480030711714	0.8380012498657599	0.8084912470398247
Dilated cardiomyopathy (DCM)	90	KEGG	1.1239988835926997	0.8679203561104053	1.0288917136734654	0.8987533917011821	1.0139357468017651
Dopaminergic synapse	131	KEGG	0.8500654408578294	0.7965069774574234	0.8199008902221882	0.7861473441502849	0.8504183878570405
Drug metabolism - cytochrome P450	70	KEGG	1.624927846610486	2.2152746015443285	1.5693070684377606	2.3230836787275835	3.804042505209704
Drug metabolism - other enzymes	79	KEGG	1.199043159191735	1.8196701611112318	1.2291696537919181	1.7324737531345482	32.148234003295805
ECM-receptor interaction	82	KEGG	1.160484791909678	0.7835101364497495	1.0996260050428726	0.7662144057078218	0.8789142147077689
EGFR tyrosine kinase inhibitor resistance	78	KEGG	0.6885269162224004	0.6435559542217624	0.6944992516281119	0.6424075695653834	0.6888601487539823
Endocrine and other factor-regulated calcium reabsorption	47	KEGG	0.7863669855260339	0.747829277818748	0.7749496392963464	0.7605840355156308	0.8251217140083794
Endocrine resistance	95	KEGG	2.8631759320616026	0.6417872001391917	0.6925161078697765	0.6569898873008226	0.6856814159353335
Endocytosis	244	KEGG	0.6348815559848039	0.6268767296860395	0.6385392622584429	0.6215013499418262	0.6351672951658884
Endometrial cancer	58	KEGG	0.6338919121574296	0.6194709599220483	0.6539630459511635	0.6264204485257555	0.6270887397586584
Epithelial cell signaling in Helicobacter pylori infection	68	KEGG	1.2581578566324125	0.6627010853937819	0.706290297828531	0.6678136406874785	0.6827095552028644
Epstein-Barr virus infection	203	KEGG	0.6271364937482211	0.6057447065046158	0.6220155328574959	0.6070744391915065	0.6121819972987745
ErbB signaling pathway	86	KEGG	0.7189496773137549	0.6921017675732379	0.7365481020546658	0.7441226218473754	0.7466412177394555
Estrogen signaling pathway	137	KEGG	1.2710901087871982	1.0331989335845635	1.1031671139883268	0.951712015784849	1.0397341607441721
Ether lipid metabolism	47	KEGG	2.7086986402045725	1.7534572982060055	1.247663768219039	1.2532749120571482	1.1713505909729558
Fanconi anemia pathway	55	KEGG	1.073260852006883	1.0968134377772454	1.0408561886319225	1.07938608637947	1.0551901343165624
Fat digestion and absorption	41	KEGG	2.392862068773345	2.1468073824991727	2.2159003530178536	2.4065743375971573	2.76502612596282
Fatty acid biosynthesis	13	KEGG	0.9420168781027671	0.991416660478067	0.989081854470559	0.966031557893975	0.9652364856637022
Fatty acid degradation	44	KEGG	0.7647307480186938	5.578584926913629	0.7970593101866066	0.7546288673519393	0.8156886739356691
Fatty acid elongation	25	KEGG	0.7452533421625182	0.7310747620018038	0.7674690626840535	0.6874457681645425	0.72782958599339
Fc epsilon RI signaling pathway	68	KEGG	0.8249554636226081	0.7985968498622514	0.8492813868175905	1.245030868023636	0.8066695167297134
Fc gamma R-mediated phagocytosis	91	KEGG	0.6825910147245209	0.6709319787891167	0.6825206326398918	0.6545824726235099	0.6720080246801751
Ferroptosis	40	KEGG	0.6378814515917492	0.6639485520639815	0.6936936451870802	0.6616095522312593	0.613521384312001
Fluid shear stress and atherosclerosis	139	KEGG	0.6563022134602425	0.7539253897868564	0.6613499064478686	0.6807455994510596	0.6841613507873172
Focal adhesion	199	KEGG	0.7077325032155474	0.6296905585423334	0.7075046916818855	0.620529945943046	0.6800980919113282
