	count	db	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
2-Oxocarboxylic acid metabolism	18	KEGG	16215.389818388618	14862.076077475338	16170.143811104686	15187.549458897223	15598.391749086077
ABC transporters	45	KEGG	15823.621902573981	15118.871014187273	16231.659345262056	13793.765223610078	15547.595789985178
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	13536.13144248418	14847.445153963436	13689.475216698227	14902.46831441577	13683.81804313957
AMPK signaling pathway	121	KEGG	12994.404227928919	14071.94831925082	13525.937819810602	14325.663526942397	13643.532117414768
Acute myeloid leukemia	66	KEGG	14030.746281210117	14852.441416010024	14332.888387317798	15046.302147929317	14140.560666290723
Adherens junction	72	KEGG	15671.996137544671	15461.50894104531	15427.074838367787	15800.07807659402	15451.451388313502
Adipocytokine signaling pathway	69	KEGG	15608.25619015093	14064.460286175115	13386.338901008698	13630.587712005985	12609.076696486596
Adrenergic signaling in cardiomyocytes	144	KEGG	11041.372554515701	11859.93910340657	11453.060398770915	12037.585879170914	10812.148467854837
African trypanosomiasis	35	KEGG	13781.557228912216	11110.704866578664	14940.214586991953	10346.43692952408	14199.704780647617
Alanine, aspartate and glutamate metabolism	35	KEGG	12502.080095550673	12465.802960433593	12078.513964206923	12406.147307332652	11806.860302924691
Alcoholism	180	KEGG	6915.628141957006	6243.3084008030455	6747.504572601307	6860.695843000891	6582.549092449151
Aldosterone synthesis and secretion	96	KEGG	11607.34414520235	11208.391923506753	11371.142334160504	11706.290640922714	11006.410165222354
Aldosterone-regulated sodium reabsorption	37	KEGG	8718.811860279688	11731.854869225936	11080.319835962116	11883.651436926917	11335.8086913524
Allograft rejection	38	KEGG	9451.65242320944	9753.689514971118	9656.71129203993	10021.750503849727	12305.382106254407
Alzheimer's disease	171	KEGG	15198.896582754776	15211.071238059994	15210.874527240936	15298.959939604238	15096.014158182808
Amino sugar and nucleotide sugar metabolism	48	KEGG	14022.577705352942	13874.601457871824	14321.282473767138	13968.376326850344	14186.754026644921
Aminoacyl-tRNA biosynthesis	66	KEGG	15438.22950043933	15374.86104789193	15498.980276668695	15525.197655935548	15166.227248640553
Amoebiasis	96	KEGG	9625.80963131386	12007.527441332073	11031.581020080688	10424.092002771557	11479.84787640401
Amphetamine addiction	68	KEGG	9100.17997207227	6416.894526069218	7841.997200779438	8645.85589923309	6698.528897620325
Amyotrophic lateral sclerosis (ALS)	51	KEGG	12058.320590333271	12648.434115859318	11736.315807556453	12710.921139922206	12254.154342214779
Antifolate resistance	31	KEGG	13228.523985278416	15223.635882782333	13227.427774770978	13690.087569656971	13370.405085650493
Antigen processing and presentation	77	KEGG	13573.764547299417	13323.114676603333	14088.159599382801	14148.934814512295	14980.447517612429
Apelin signaling pathway	137	KEGG	11790.180414782795	12977.6966696244	12036.183433064374	13160.904780703764	11789.222131949045
Apoptosis	138	KEGG	13902.75333987536	13922.37054910986	13929.588906995807	14032.221354714875	14291.299208497929
Apoptosis - multiple species	33	KEGG	13941.8451270959	14108.628129816558	12718.19519548239	14019.719347690385	14075.980892644682
Arachidonic acid metabolism	62	KEGG	6040.369318898754	6459.124614582514	7415.908670552262	5185.842518312751	6235.016363505624
Arginine and proline metabolism	50	KEGG	12960.03329050631	12993.341154529218	12909.62142289623	13371.117515884283	13307.380523720116
Arginine biosynthesis	21	KEGG	11686.206246652895	11851.488546853072	11795.575102106523	12107.893913839755	11325.579351131826
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	KEGG	9824.37601038236	11221.714703811196	10521.925436604472	11326.879367484118	10312.390878496994
Ascorbate and aldarate metabolism	27	KEGG	3348.542758504479	3936.2568337740336	4049.52035297096	3915.7160879630524	3107.9808969121223
Asthma	31	KEGG	7919.8040933400125	9001.814478996705	7411.521051203857	476.42708809979666	6961.521084327055
Autoimmune thyroid disease	53	KEGG	3756.0952284232912	3337.685313410442	4100.24475919797	3946.3608806716034	3712.1670258282365
Autophagy - animal	128	KEGG	14102.726261085956	14715.891955436256	14506.93066575354	15212.893136254246	14734.27653625016
Autophagy - other	32	KEGG	14823.740947698072	15554.893756904825	14679.902312474936	15142.747738388975	15055.409699183141
Axon guidance	175	KEGG	13008.744002510222	12769.39816764711	12815.201881343613	12872.432414614545	12251.54743875086
B cell receptor signaling pathway	71	KEGG	13214.792318273721	13247.94829917869	13200.873775534694	13705.26747531875	13552.283378334932
Bacterial invasion of epithelial cells	76	KEGG	15441.219088647735	15575.199891660646	15494.092733805826	15892.28696700261	15565.59197817279
Basal cell carcinoma	63	KEGG	13116.993836025196	11804.503353358403	13089.450937233214	13499.054456815358	11726.465202615456
Basal transcription factors	45	KEGG	12973.159846197437	15089.107350938337	14071.844121286327	14788.686097355709	14408.690492530806
Base excision repair	33	KEGG	15249.576449688928	15133.575835493048	15538.774700255988	14952.56946623768	15192.89691142381
Bile secretion	71	KEGG	8224.508401727473	6264.3460202061115	6993.926493495515	5205.314552198115	8075.31234173556
Biosynthesis of unsaturated fatty acids	23	KEGG	12913.939090853424	13664.783689530947	13028.000770735925	11626.82730740665	13172.027521643791
Biotin metabolism	3	KEGG	12647.441366686244	12234.73232452658	12547.904335217416	12429.162443464156	12749.519890190972
Bladder cancer	41	KEGG	13513.95586518348	14038.430014622587	14228.683746304743	13910.476661352535	14180.745055393656
Breast cancer	147	KEGG	11746.434134214851	10758.570458235068	12101.681634677794	13815.600481380965	11391.824591423685
Butanoate metabolism	28	KEGG	10905.583261370772	8973.75270940949	11021.940477995251	10782.540260193206	8738.033932927798
Caffeine metabolism	5	KEGG	6849.02034166301	7311.838960806669	6993.528020359057	7855.150722714196	6391.790802759819
Calcium signaling pathway	182	KEGG	8641.408202360224	8241.667596746824	9385.582912121234	9668.459196680855	8664.311165322802
Carbohydrate digestion and absorption	44	KEGG	6102.517044982874	8300.750849456655	1914.3195946828614	7008.436732480788	8419.217068213997
Carbon metabolism	116	KEGG	12836.032880835444	13882.243947728519	12637.988977384275	13807.256990637332	14004.673642395963
Cardiac muscle contraction	78	KEGG	8932.953123846843	11084.371277104732	9354.89877913457	9659.026874470015	8077.27222893205
Cell adhesion molecules (CAMs)	145	KEGG	11300.723762654949	10730.187825006835	11365.257160822952	11285.597026375774	11626.646935318473
Cell cycle	124	KEGG	13374.360291828472	13764.606853951473	13605.918874005374	13747.421658770836	13556.602903254636
Cellular senescence	160	KEGG	13583.941616101753	13850.232896055899	13563.267140138616	13899.68895591209	13712.643503889236
Central carbon metabolism in cancer	65	KEGG	14566.417269150514	14212.750700634744	14678.909553348112	14397.684382386113	14345.677996069116
Chagas disease (American trypanosomiasis)	102	KEGG	12903.609593327454	13650.412192997015	12981.053254413884	13738.598264375796	13153.61852803655
Chemical carcinogenesis	82	KEGG	3889.6518604171715	4342.733791342767	3878.577896701969	4115.064142215099	5177.826176819434
Chemokine signaling pathway	185	KEGG	11652.965306534028	11289.942302621359	10002.25823899284	12126.485555315836	11936.301248891243
Cholesterol metabolism	50	KEGG	6812.243073858882	6107.039929925938	8849.295045596025	7761.936574403474	9565.952074267436
Choline metabolism in cancer	99	KEGG	13144.725096588434	13432.0282855678	13063.76593772815	13853.12416679375	13311.579635619193
Cholinergic synapse	112	KEGG	10264.229724938346	10140.374213090397	10661.461569660338	11211.55611243241	9772.768832547046
Chronic myeloid leukemia	78	KEGG	15898.420462209582	15849.691000981287	15608.59388086733	15915.62108831769	15474.10104152718
Circadian entrainment	96	KEGG	9184.861486459968	7847.81016210293	9387.871152941867	10296.834915648476	8010.895675877537
Circadian rhythm	31	KEGG	14415.512901833214	14191.407718066574	14262.95273594263	14560.870802783733	14094.726580236245
Citrate cycle (TCA cycle)	30	KEGG	15719.680957575167	16197.757684212242	16465.144582490415	16344.86508524225	16285.09444977863
Cocaine addiction	49	KEGG	8006.254215205128	8060.770007762006	6679.410845900611	8765.69827514976	6690.8805818266965
Collecting duct acid secretion	27	KEGG	8011.532399120841	11308.743776959198	10351.717623631497	7160.52733777777	11855.1617697875
Colorectal cancer	86	KEGG	14453.81573872543	14904.845473329944	14419.803809217838	14915.098129306027	14639.481195568364
Complement and coagulation cascades	79	KEGG	8550.758509856632	6406.802330716603	7824.654158532259	4703.880801082271	8684.03742423385
