	count	db	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
2-Oxocarboxylic acid metabolism	18	KEGG	2.6275119412829953	2.6538495888206217	2.3097408529056844	2.1472611195162856	2.5034983671333086
ABC transporters	45	KEGG	1.0478755505074875	1.0083960739050915	1.0448837874436934	1.0439002427392816	1.1103744826490425
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	1.4018997191677363	1.622038488812433	1.4710571795844878	1.7546711493597322	1.4185939614899752
AMPK signaling pathway	121	KEGG	1.4232151176348444	1.7281859086370066	1.511188650728222	1.7397303455054218	1.4567282190149495
Acute myeloid leukemia	66	KEGG	1.5715881812860737	1.7107561038368941	1.9018960112765817	1.7987834835964254	2.109839708987378
Adherens junction	72	KEGG	2.1064978733097175	2.278347318224119	1.8152581356237654	2.495434902314725	2.143478488076816
Adipocytokine signaling pathway	69	KEGG	1.3688928327935677	1.5137726369065747	1.377357525644017	1.5237412509531079	1.295085649235541
Adrenergic signaling in cardiomyocytes	144	KEGG	2.272929738398344	3.205287598217131	1.6533519404438186	2.719524149097641	2.3488522798342957
African trypanosomiasis	35	KEGG	1.1230752506175694	1.6926256205601877	1.0947675678219906	28.03320877034581	1.1906587792134171
Alanine, aspartate and glutamate metabolism	35	KEGG	1.3850693752516374	1.1449155239261386	1.3362607663507944	1.1775368973575124	1.3085441355834442
Alcoholism	180	KEGG	1.876137903348217	2.5897964217273914	1.8500685732848403	1.9904302362041655	1.9096319670180797
Aldosterone synthesis and secretion	96	KEGG	2.0017708043864526	2.8453503910128113	1.3964424356296363	1.599633527550012	1.2296755159773842
Aldosterone-regulated sodium reabsorption	37	KEGG	1.5304452428157689	1.3952062065940265	1.4926183222091478	1.5992086249925	1.4364776215889534
Allograft rejection	38	KEGG	9.862678949332786	7.55669848709609	12.634436895377046	17.581774875591535	11.622098103442339
Alzheimer's disease	171	KEGG	4.612082918358739	4.346186974552353	4.609044574812898	4.264580511237064	4.913311651504744
Amino sugar and nucleotide sugar metabolism	48	KEGG	1.3896654346316248	1.4741348494251323	1.3873602135822185	1.5605463918740345	1.5247959648101532
Aminoacyl-tRNA biosynthesis	66	KEGG	1.624257152362848	1.5715390221290286	1.73393134898579	1.6006995851211616	1.6649180041073193
Amoebiasis	96	KEGG	2.045168443353783	5.189284481139685	1.7655901503380131	3.8951218241517207	2.4174840495168475
Amphetamine addiction	68	KEGG	3.3112967341027044	3.6356352554734146	3.0742543951218684	2.4887752328553385	3.303636892182186
Amyotrophic lateral sclerosis (ALS)	51	KEGG	1.533374765871259	1.4889256506888573	1.4683683344224805	1.4074481579203462	1.6193934483664207
Antifolate resistance	31	KEGG	1.2768495059249096	1.2929225079168465	1.3314156309888048	1.2153460561894056	1.2770135810313303
Antigen processing and presentation	77	KEGG	12.491944413451927	8.223499688566205	13.781306243962224	10.781892247323283	15.44000042717613
Apelin signaling pathway	137	KEGG	2.3250532608477243	2.375968651138498	1.8656662865044333	1.853641280344917	3.014616930057483
Apoptosis	138	KEGG	1.4068500879964185	1.5481843061720761	1.4433146229454732	1.4200062114213527	1.5807198010112808
Apoptosis - multiple species	33	KEGG	1.47229898964957	1.5333861245955274	1.5359892672305113	1.7516764960824511	1.7395327119864477
Arachidonic acid metabolism	62	KEGG	1.3734162252229818	1.0399949155521078	1.3308475274373306	1.5451927239785352	1.509487308428205
Arginine and proline metabolism	50	KEGG	2.5203104077489944	2.415430626428186	2.50268006659335	2.632271012158226	2.326483324380574
Arginine biosynthesis	21	KEGG	1.890908526971174	1.346793327787934	1.735336323159365	1.437813271559065	2.4022651104536616
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	KEGG	4.718328802799172	11.57120449113921	4.0216495663007565	3.163503579490147	7.017823770272846
Ascorbate and aldarate metabolism	27	KEGG	0.8205116664003979	1.1596970660746073	0.820835484548902	0.8210948863775686	0.7923649005783848
Asthma	31	KEGG	3.841501541147284	3.418004098588824	5.938184780746327	10.996804480876396	9.524780843116009
Autoimmune thyroid disease	53	KEGG	7.41208547560098	5.562608994935289	8.935940637059817	12.530174733922296	10.023836100055972
Autophagy - animal	128	KEGG	1.7237703908464386	1.983894322457231	1.5759123546327656	1.924670339350947	1.7033632916044024
Autophagy - other	32	KEGG	1.7756219674823666	2.0999267320588078	1.7152409578156496	1.8464530062970868	1.8504340899801097
Axon guidance	175	KEGG	1.2148665957164535	1.2166891042601011	1.1321503934821713	1.253698318524562	1.1379442413554135
B cell receptor signaling pathway	71	KEGG	1.369530590363451	1.3276919510666123	1.3889009525122213	1.4251336117958866	1.431470774233047
Bacterial invasion of epithelial cells	76	KEGG	2.967328109653897	5.057453472260964	2.515756769273291	4.75843398446285	2.8785501312061514
