	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
2-Oxocarboxylic acid metabolism	-2.5889166702941564	-1.699959286791879	-2.5700829072593376	-1.8065375232379322	-2.229642920275065
ABC transporters	-0.3248615268577507	-0.34115317991714644	-0.35865650324993664	-0.36323271216840775	-0.46445020224038663
AGE-RAGE signaling pathway in diabetic complications	-4.016787076798902	-7.762303802503489	-4.01207434638685	-7.791319314494606	-4.097423172000801
AMPK signaling pathway	-4.1456794306598805	-5.798383326073868	-4.148887143836981	-5.904071471214216	-4.029883673697165
Acute myeloid leukemia	-3.306208476335842	-4.269176139328349	-3.637987689601497	-4.585473976112142	-3.7840882193050893
Adherens junction	-7.7000378838622465	-7.362139756405457	-6.9095687239339565	-8.153473905352433	-7.064010956617094
Adipocytokine signaling pathway	-1.6542932981498375	-1.9721347352972884	-1.5973477614597185	-1.9942639189404268	-1.350646727219315
Adrenergic signaling in cardiomyocytes	-1.4004096169243907	-2.6572099446647157	-1.3803597510432992	-2.8729945767902354	-1.1659204856408591
African trypanosomiasis	-0.4571640955199004	-0.72533752326928	-0.4403077443910385	-0.7228231150043793	-0.6340778936567588
Alanine, aspartate and glutamate metabolism	-0.9532235181403387	-0.5980722081489629	-0.9012695193586134	-0.6504218923991908	-0.7107942494978705
Alcoholism	-0.6939648226190352	-0.7755984834278995	-0.6663172146630337	-0.7328430150339983	-0.5756706019385659
Aldosterone synthesis and secretion	-0.8301748600211892	-1.5674477070521984	-0.9079540218187186	-1.6845937542124343	-0.6517071448401546
Aldosterone-regulated sodium reabsorption	-0.7191558295158025	-0.9244840116616394	-0.6563860317932199	-1.0696691413193724	-0.7762639805859965
Allograft rejection	-1.8361277057951484	-1.3212363908852738	-1.9125222416614331	-2.4996169421427634	-4.528483783330856
Alzheimer's disease	-16.048129681902843	-15.942132031003812	-16.463670092561355	-15.989130585023888	-16.27772001475242
Amino sugar and nucleotide sugar metabolism	-2.1596813787323783	-2.252353846926054	-2.3557016113980906	-2.281084322886959	-2.4649792587681563
Aminoacyl-tRNA biosynthesis	-3.6644899370974953	-3.345246162376043	-3.8382889410908936	-3.629914760133759	-3.6130827989238425
Amoebiasis	-1.2645572816879844	-2.831992478500295	-1.2794493673810012	-3.0476694741638606	-1.6443484551833942
Amphetamine addiction	-1.0704313557731648	-1.5241664978128024	-0.9672390281853271	-1.2290830892854974	-0.827153366042364
Amyotrophic lateral sclerosis (ALS)	-1.2255307240317423	-1.4007342355951067	-1.213184564932522	-1.4840030295068367	-1.3427395795914283
Antifolate resistance	-0.9713007891756511	-0.8821836023414317	-1.060007780984602	-0.7732757395476654	-1.0493866358898085
Antigen processing and presentation	-7.002427023365666	-5.436386738979351	-7.020469923563826	-7.245021402311679	-11.290804491929041
Apelin signaling pathway	-2.3153585885111765	-4.678839936809256	-2.392648600110735	-4.999246696750206	-2.2628037246486534
Apoptosis	-6.779620413442614	-7.071336618540275	-6.93486935344784	-7.43181130786782	-8.138186856339987
Apoptosis - multiple species	-1.3076824475357822	-1.4340681018140125	-1.2980301219515669	-1.4612516425627398	-1.8184437676399667
Arachidonic acid metabolism	-0.15327929290397763	-0.1363142044179183	-0.21269903557535566	-0.13926275425568468	-0.14715146485549138
Arginine and proline metabolism	-2.2180884466073367	-2.037185861807607	-2.1495459092073057	-2.4212309125064793	-2.3697156439467295
Arginine biosynthesis	-0.7362140012492101	-0.7001621734824083	-0.7701061613606235	-0.7584182467170864	-0.7277109839830338
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	-1.1790431402081822	-2.0825126040248327	-1.080908248659929	-2.01351878219565	-1.0478983547055853
Ascorbate and aldarate metabolism	-0.06408108117585375	-0.0875505882309171	-0.07258106065375926	-0.06654218704807424	-0.043824990666517176
Asthma	-0.7768374860610368	-0.444403795215365	-0.7710663336130936	-1.151845475389902	-2.5865925082150953
Autoimmune thyroid disease	-0.7870289138747355	-0.5325127898377299	-0.8297759849583077	-1.1812037030794893	-2.349258281350377
Autophagy - animal	-7.766346505915119	-9.875712501719482	-7.158529020401293	-9.503741655093934	-8.212269145872494
Autophagy - other	-2.625607301768716	-3.3588033531057904	-2.456887409204431	-2.8691873322100294	-2.8014733925388344
Axon guidance	-3.2493905501032416	-3.965185332128074	-2.8774908863921587	-4.26816314137175	-2.3973815038406143
B cell receptor signaling pathway	-2.8113761585684403	-2.9241819021096473	-2.8118092424277132	-3.4630961660410424	-3.2404726601816045
Bacterial invasion of epithelial cells	-7.315611650550795	-8.359896111853448	-7.364526684282249	-9.317324657587363	-7.840138827682259
Basal cell carcinoma	-0.8881852354949948	-0.6194273119074459	-0.9162713566011117	-0.8345134640453786	-0.611630060402073
Basal transcription factors	-1.8782810261787246	-2.364762882406494	-1.903232375100919	-2.2697322133623863	-1.9342383881437313
Base excision repair	-3.0152451480181357	-2.716444472184116	-3.438228700939052	-2.6343452912935583	-3.062455032793745
Bile secretion	-0.1248185360240413	-0.2088154621519229	-0.13163099434947778	-0.26526174302795125	-0.21732691588335673
