	count	db	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
2-Oxocarboxylic acid metabolism	18	KEGG	6304.174662022979	5758.929232863052	8364.32799657339	7203.338161183146	7360.7307598028965
ABC transporters	45	KEGG	14887.976830258944	13009.945752884054	15690.519117965652	14982.192052549242	16591.679943214785
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	13843.467015560898	11416.09449062239	12224.602658943979	10164.51102641541	13062.17789524031
AMPK signaling pathway	121	KEGG	11668.347348491832	8687.747740223273	10067.821972804828	8693.661405093731	11087.386574148471
Acute myeloid leukemia	66	KEGG	10269.783579651077	9574.402272697698	6833.135149638482	8840.284792183747	6074.5025898359745
Adherens junction	72	KEGG	7926.353004211361	8666.609180740874	10128.864424946945	6020.6213178956505	7495.087737174749
Adipocytokine signaling pathway	69	KEGG	11347.705395138917	8391.910953229057	10736.739216085494	8662.314650373899	11303.751787141333
Adrenergic signaling in cardiomyocytes	144	KEGG	3219.8235354173926	1102.420069390849	7697.064044137887	1609.5512822691576	1597.8168057404562
African trypanosomiasis	35	KEGG	13251.744942338131	10733.867138788017	14405.216465415866	383.9345821031374	15204.502016769447
Alanine, aspartate and glutamate metabolism	35	KEGG	11132.039919472552	13390.734324162262	11009.50381507554	13580.696634211665	10974.203879121727
Alcoholism	180	KEGG	1857.148965506373	1037.9001953619043	1975.2992356061602	1776.5143169741734	1732.65289147996
Aldosterone synthesis and secretion	96	KEGG	8164.82769440687	1782.6618954034357	13507.561358248904	6896.784027009408	13705.773006617068
Aldosterone-regulated sodium reabsorption	37	KEGG	9479.912677960707	9624.095265351298	9004.800664074382	7943.98387871807	9143.856340516399
Allograft rejection	38	KEGG	494.3769282185984	608.3220589449122	373.40557540284016	292.6156405103199	768.8316046357867
Alzheimer's disease	171	KEGG	2171.4883633744266	2283.969489834544	2224.6803325671385	2434.292041482094	2092.5901638914934
Amino sugar and nucleotide sugar metabolism	48	KEGG	13160.445206523664	11968.895560471285	13968.387403795276	10694.150896655688	10962.624667736642
Aminoacyl-tRNA biosynthesis	66	KEGG	12485.569587234499	12947.449944192915	11498.468883617477	12599.048554351473	12080.946883652898
Amoebiasis	96	KEGG	2697.980134708417	811.0131726949919	3764.164723320014	1304.289857201585	2308.606725987495
Amphetamine addiction	68	KEGG	1226.5121110243158	1312.793068621926	1514.0681225491937	2236.223903074982	1281.5220711434438
Amyotrophic lateral sclerosis (ALS)	51	KEGG	8667.654262952821	8126.325217877153	10000.344153817843	9633.579036406729	6834.309098432464
Antifolate resistance	31	KEGG	14918.837318300251	13258.326845420843	13550.850450535014	14589.689265662617	14793.768594403678
Antigen processing and presentation	77	KEGG	513.7175097837352	782.0264516870322	458.97390805095944	651.0579080542444	546.6486172333676
Apelin signaling pathway	137	KEGG	5283.669557364158	4489.553772129039	9177.30552324742	7184.384324816918	1309.5872631615805
Apoptosis	138	KEGG	12813.529165246722	10785.501689078827	12040.402500288783	13029.562735340383	10807.510198174423
Apoptosis - multiple species	33	KEGG	11481.605806592397	10901.154599032858	11179.330409472668	9190.71550005307	9861.743274096658
Arachidonic acid metabolism	62	KEGG	7132.6890953842	10212.798821791363	6773.00661089009	6853.8070899205395	7863.946692754442
