	count	db	C3L-00103	C3L-00103.norm	C3L-00097	C3L-00097.norm	C3L-00088	C3L-00088.norm	C3L-00096	C3L-00096.norm	C3L-00010	C3L-00010.norm	C3L-0079	C3L-00079.norm	C3L-00011	C3L-00011.norm	C3L-00026	C3L-00026.norm	C3L-00004	C3L-00004.norm	C3L-00359	C3L-00360	C3L-00360.norm	C3L-00369	C3L-00369.norm	C3L-00418	C3L-00418.norm	C3L-00447	C3L-00447.norm	C3L-00581	C3L-00581.norm	C3L-00910	C3L-00910.norm	C3L-00416	C3L-00416.norm	C3L-00448	C3L-00448.norm	C3N-00194.norm	C3N-00194	C3N-00244.norm	C3N-00244	C3N-00242	C3N-00242.norm	C3L-00765	C3L-00583	C3L-00583.norm	C3N-00168	C3N-00168.norm	C3N-00177	C3N-00177.norm	C3L-00561	C3L-00561.norm	C3L-00917	C3L-00917.norm	C3L-00607	C3L-00607.norm	C3N-00246	C3N-00246.norm	C3N-00733	C3N-00733.norm	C3L-00791	C3L-00791.norm	C3L-00902	C3L-00902.norm	C3L-01302	C3L-01302.norm	C3L-00907	C3L-00907.norm	C3N-00953	C3N-00953.norm	C3L-00814	C3L-00814.norm	C3L-00817	C3L-00183.norm	C3L-00183	C3N-00150	C3N-00150.norm	C3N-00573	C3N-00573.norm	C3N-00577	C3N-00577.norm	C3L-01352	C3N-01200	C3N-01200.norm	C3N-01214	C3N-01214.norm	C3N-01220	C3N-01220.norm	C3N-01522	C3N-01522.norm	C3N-01524	C3N-01524.norm	C3N-01261	C3N-01261.norm	C3N-00495	C3N-00495.norm	C3N-01175	C3N-01175.norm	C3N-00834	C3N-00834.norm	C3N-01176	C3N-01176.norm	C3N-01178	C3N-01178.norm	C3L-00606	C3L-00606.norm	C3L-01287	C3L-01287.norm	C3L-01281	C3L-01281.norm	C3N-00148	C3N-00148.norm	C3N-00646	C3N-00646.norm	C3N-00149	C3N-00149.norm	C3L-00908	C3L-00908.norm	C3L-01313	C3L-01313.norm	C3L-01836	C3L-01836.norm	C3L-01286	C3L-01286.norm	C3L-01603	C3L-01603.norm	C3N-01646	C3N-01646.norm	C3N-01648	C3N-01648.norm	C3N-01649	C3N-01649.norm	C3N-01651	C3N-01651.norm	C3N-01361	C3N-01361.norm	C3N-01179	C3N-01179.norm	C3N-01180	C3N-00831	C3N-00831.norm	C3N-01808	C3N-01808.norm	C3L-01607	C3L-01607.norm	C3L-01861	C3L-01861.norm	C3L-01882	C3L-01882.norm	C3L-01885	C3L-01885.norm
(R)-mevalonate biosynthesis	3	HMDB/SMPDB	5355.001107148806	5538.429386738818	5331.710121058017	4896.554403699997	4973.022385346833	5036.408524364934	5243.843291241078	4885.154379406039	5261.785068664398	4718.0977750868215	5332.3590011521865	5366.705919430864	5231.112347008016	4944.888310314773	5111.9011023118255	4891.709549754478	5520.831514958681	4720.307310373907	5067.975627882383	5233.298548109088	5008.996972275244	5194.1191178637455	5044.883593310365	5100.229347953802	4920.081996331003	5295.451686965029	4742.873410585623	5045.659308248833	4849.934755451865	4978.5546894652	4846.825704306973	5426.502685160804	5148.529443981083	5375.6805973187575	4905.941058786298	4943.947526478801	5115.713400148171	5304.415276211972	5397.636995627089	5361.322598913626	5327.200898320915	5221.141897405622	4983.124209950106	4950.905968334393	5196.567942282763	4785.666155522656	5078.343985492117	5004.9015681720175	5121.185035494165	5137.944220513117	5616.787715052155	4810.716283735485	5343.73670379332	4976.322122826695	5287.257201632462	4776.9045316608735	5189.231144122142	4831.002690892428	5380.904678598032	4910.052740908907	4892.166365974185	5084.895576811014	5309.413767063223	5120.923150710161	5017.382327046378	4806.27591684131	5343.991340692872	4863.602464441844	5317.703427893453	5225.59385649946	5308.690503054577	4873.629617244873	5303.990587847319	5283.224818176408	5451.185585936891	5385.4827043746	4844.07548097333	5251.698587231955	4909.094043920219	5398.5137855030525	5288.4823578241585	5021.255120230863	5319.297279723652	5291.275543829665	5297.5922803900075	5037.748426663283	5285.344549959998	4940.4247899314805	5413.447913454804	5222.5006994536725	5568.415033133318	4780.780756610259	4904.457807457635	5154.832022953076	4833.652871648632	4852.360590299372	5360.969664211482	5041.674827267301	5126.850064788956	4857.580468053815	5424.252690970395	4164.078168758621	4706.925364876931	4579.026895082258	5331.520850298709	5063.8209978435225	5319.116620007072	4801.227134910443	5480.978899312828	4699.29381110007	5260.015342900764	5183.156916907118	5218.543216371119	5060.663208408921	5264.502642634321	4734.241266382191	5030.622243953734	5044.343279617174	5503.456819303105	3947.7267372113765	5148.94232536315	4850.085481430766	5404.60450925183	4614.630511161215	5234.468218786274	3679.45047160713	5169.460066238623	5401.881128636793	5543.204258810796	4948.194962917737	5015.035090538288	4807.768507115974	5125.260863402297	3888.937107672884	5293.692305862228	5021.589370404978	5000.576330506506	5308.231967211401	5219.931682382338	5433.846547449914	4918.86241531901	5331.589767967154	5331.983011254127	5176.16193575281	4843.975893855472	5408.083109243954	4830.268838276697	5174.555576398861	4782.282097217927
(S)-3-hydroxy-3-methylglutaryl-CoA degradation	2	HMDB/SMPDB	6289.999999999999	4791.0	5761.000000000001	4192.0	5952.0	4176.0	5724.0	4665.0	6114.000000000001	4697.0	5928.0	5511.0	5658.0	4318.999999999999	5411.0	4769.0	5774.000000000001	4344.0	4382.0	6241.999999999999	4735.0	5785.0	4714.000000000001	5969.0	4032.0	6002.0	4016.0	6054.000000000001	4099.0	5841.0	4349.0	5954.0	5129.0	6011.0	3853.0	4316.0	5934.0	4133.0	5936.999999999999	5969.0	4458.0	5987.0	5949.0	4531.0	5968.000000000001	4225.0	5958.000000000001	4462.0	5561.0	4156.0	6190.0	4143.0	5754.000000000001	3907.0000000000005	6019.999999999999	4155.0	6009.0	4517.0	5820.0	4085.0	5814.0	4473.0	6238.0	4295.0	5596.0	4327.0	5982.0	4075.9999999999995	5950.0	4623.0	6323.0	4145.0	5990.0	5773.000000000001	4653.000000000001	5805.999999999999	4083.0	5647.0	5113.000000000001	6094.0	5580.000000000001	5077.0	5766.0	4877.000000000001	5817.0	3913.0	5908.999999999999	3840.9999999999995	6010.000000000001	5991.0	6111.0	4153.0	5614.0	5037.0	5421.0	4522.0	5752.0	3990.0	6064.0	3964.0	5879.0	4235.0	5760.0	5544.0	5726.0	4196.0	5908.999999999999	5527.999999999999	6010.000000000001	4051.0	5967.000000000001	4158.0	5828.0	5673.0	5974.0	4160.0	5736.0	4373.0	5724.0	4212.0	5661.0	4203.0	6167.999999999999	4158.0	5674.999999999999	3962.0000000000005	5664.999999999999	4291.0	5925.0	4287.0	5851.000000000001	4108.0	5743.999999999999	4122.0	5728.0	3688.9999999999995	5415.0	6018.0	4058.9999999999995	5643.0	4016.0	5958.000000000001	5847.0	5670.999999999999	3936.0	6117.0	3999.0	5972.0	3956.0
11-beta-hydroxylase deficiency (CYP11B1)	11	HMDB/SMPDB	3489.0	2851.0	3307.0	2436.0	3577.0000000000005	2809.0	3463.0	2655.0000000000005	3330.0	2823.0	3438.0000000000005	3361.0	3294.0000000000005	2573.0	3216.0	2634.9999999999995	3615.0000000000005	2622.9999999999995	3439.0	3423.0	3055.0000000000005	3344.9999999999995	2064.0	3590.0	2448.0	2998.0	2435.0	3458.0	2072.0	2908.0	2821.0	3538.0	3227.0	3588.0	2238.0	2193.0	2737.9999999999995	2462.0000000000005	3456.0	3503.0	2972.0	3161.0	3224.0000000000005	2454.9999999999995	2875.0	2252.0	3010.0	2541.0	3406.0	2251.0	2970.0	2301.0	3285.0	2571.0	2992.9999999999995	2330.0	3698.0	2230.0	3815.0	2689.0	2883.0	2815.0	2872.0	2367.0	2786.0	3347.0	3391.0	2311.0	3605.0	2696.0	3421.0	2474.0	3222.0000000000005	3159.0	2368.0	3060.9999999999995	2403.0	3420.0	2478.0000000000005	3152.0	3267.0000000000005	3318.0	2866.0	3088.0	2890.0	2184.0	3499.9999999999995	2287.0	3222.0000000000005	3553.0	3403.0	2422.0	2367.0	2702.0	1993.0	2505.0	3441.0	2294.0	3395.0	2245.0	3488.0	2510.0	3251.0	2913.0	3501.9999999999995	2828.0	3408.0000000000005	2681.9999999999995	2758.0	2360.9999999999995	3343.0000000000005	2656.9999999999995	3242.0	3475.0	3176.0	1992.0000000000002	3669.0	2036.0	3738.0	2138.0	3420.0	2067.0	3503.9999999999995	1924.0	3453.0	2528.0	3194.0000000000005	1986.0000000000002	3483.0	1959.9999999999998	3840.0	2053.0	2999.0	2199.0	3617.0	2173.0	3378.0	3004.0000000000005	2816.0	3318.0	2225.0	3475.0	3488.0	2842.9999999999995	1651.0	3347.0	2102.0	3083.0	2446.0
17-alpha-hydroxylase deficiency (CYP17)	11	HMDB/SMPDB	3489.0	2851.0	3307.0	2436.0	3577.0000000000005	2809.0	3463.0	2655.0000000000005	3330.0	2823.0	3438.0000000000005	3361.0	3294.0000000000005	2573.0	3216.0	2634.9999999999995	3615.0000000000005	2622.9999999999995	3439.0	3423.0	3055.0000000000005	3344.9999999999995	2064.0	3590.0	2448.0	2998.0	2435.0	3458.0	2072.0	2908.0	2821.0	3538.0	3227.0	3588.0	2238.0	2193.0	2737.9999999999995	2462.0000000000005	3456.0	3503.0	2972.0	3161.0	3224.0000000000005	2454.9999999999995	2875.0	2252.0	3010.0	2541.0	3406.0	2251.0	2970.0	2301.0	3285.0	2571.0	2992.9999999999995	2330.0	3698.0	2230.0	3815.0	2689.0	2883.0	2815.0	2872.0	2367.0	2786.0	3347.0	3391.0	2311.0	3605.0	2696.0	3421.0	2474.0	3222.0000000000005	3159.0	2368.0	3060.9999999999995	2403.0	3420.0	2478.0000000000005	3152.0	3267.0000000000005	3318.0	2866.0	3088.0	2890.0	2184.0	3499.9999999999995	2287.0	3222.0000000000005	3553.0	3403.0	2422.0	2367.0	2702.0	1993.0	2505.0	3441.0	2294.0	3395.0	2245.0	3488.0	2510.0	3251.0	2913.0	3501.9999999999995	2828.0	3408.0000000000005	2681.9999999999995	2758.0	2360.9999999999995	3343.0000000000005	2656.9999999999995	3242.0	3475.0	3176.0	1992.0000000000002	3669.0	2036.0	3738.0	2138.0	3420.0	2067.0	3503.9999999999995	1924.0	3453.0	2528.0	3194.0000000000005	1986.0000000000002	3483.0	1959.9999999999998	3840.0	2053.0	2999.0	2199.0	3617.0	2173.0	3378.0	3004.0000000000005	2816.0	3318.0	2225.0	3475.0	3488.0	2842.9999999999995	1651.0	3347.0	2102.0	3083.0	2446.0
2-Hydroxyglutric Aciduria (D And L Form)	22	HMDB/SMPDB	2721.3968914896923	3001.189028364475	3003.115956527531	3140.8453970743894	3012.2369833612584	2746.4562125223274	2675.170843576875	2950.3808699990996	2967.9180124144996	3206.7821303779697	2886.2263909227786	3036.703466521806	2787.9593067691217	2946.0375058930213	2935.6191862089936	2956.0839967161373	2890.4382869809456	3120.4410886211776	2623.0625816953316	2730.281097039358	3091.4471005001133	2945.2298826379556	2978.073764578836	3103.935009870964	3075.315287179967	3012.836444794294	2770.5693887917923	2991.152775744867	3289.026730164337	2870.5532800302194	3291.8712603469403	2909.728983993495	3050.544510199025	2818.0885362838926	3167.49562685211	2848.6801862764305	2906.3166610643943	3271.8218084217756	2895.8820038611907	2923.641630125344	2846.8813306601887	3146.2827431173214	3076.110516947032	3171.281574882666	2847.4249798443366	2823.4443010477116	2939.925898219925	2996.7729867007306	2755.06554665187	2898.5315594655	3095.0804643014426	2927.986314452677	2617.441783573676	2685.3289340488072	2877.9761350543504	2932.1858174362583	2827.064354228258	3316.5513569616264	2872.291847094476	2908.206715801507	3479.471642578414	3058.438644501496	2848.3875507192456	2847.84717833927	3011.133382512348	2925.070117670195	2600.334611388252	2955.3496584816503	2977.0785123463434	2865.848444137209	3120.745960770612	2909.97323893667	3165.867548064964	2967.7285610383997	2908.7479809191013	2837.1531598206184	3125.7324106945066	3040.6019185565574	3123.908408846138	3136.332390754044	2793.304536731672	2965.9944377935344	3042.3329266175847	2787.272125011235	2895.612686901296	2607.651468708805	2736.7404773959106	2778.412389994607	3090.593779663005	3194.135652245138	3145.410922927219	2702.381194689325	3237.534474897108	3008.2166255837806	3239.7282859046436	3425.5588958815	2706.2183863431756	2722.9369267803972	3030.2023894813888	2919.135197296752	2853.277856751974	3221.4442702561373	2838.5585506173284	3248.3593876642676	2842.4408255425838	2962.8355885506858	2764.5672566304547	3289.0013165569526	3119.1088380657584	2990.4095901347723	3164.4832174358494	2599.4369887804223	2959.799967020324	3044.509280512174	2774.8727434917973	3567.5771303990227	2915.5114409306207	2959.6875276751025	2921.8243321364916	2847.5591830492654	2901.5905839313646	3014.504209622736	3099.149640815998	2923.823719598007	2414.542414120084	2994.345810332752	2913.239575468748	2922.9827232950274	3181.962109528287	3203.5688829253063	2973.9184570175466	2839.46948482598	3091.98681229069	3044.0654152895595	3217.725945171052	3363.260961986813	2914.8195041429603	3021.505927584031	2809.98374635137	2903.8326636911916	3205.843424545477	2983.4318880040187	3223.393178204217	3360.182763668673	2581.505903837038	3041.0823400989916	2661.407310468784	3029.1177713348297	2652.6563415195037
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	30	HMDB/SMPDB	4204.681654420043	3748.872196746342	4399.033888633425	4169.3719846455615	4516.736176768022	3577.638412324533	4445.058400246738	4027.2014253361717	4500.635750909739	3980.998568070564	4352.52689618723	4040.7154040615414	4564.553166064104	3854.991378983949	4362.299150118788	4153.597738273545	4413.8291658159305	4052.425837919077	4277.07522839981	4370.93613997451	3979.9252725349875	4441.175434137413	4098.078732723473	4467.684310447786	3766.3240099458953	4379.398944513	3940.2009674403675	4318.632870036791	3801.87484681263	4522.369067937316	3886.4750021736636	4264.354592757108	4255.427407389822	4495.271515455684	3694.2278554596087	4167.093915305078	4309.898488348052	3699.0598712838955	4290.035087041133	4231.533105588207	4278.16054713905	4405.321989620093	4261.578161253751	4089.7472338394623	4649.083219893579	3821.774792218066	4483.724429244464	3885.7444952639994	4280.423126900719	3921.3068704313428	4305.351332632022	3743.8126766105465	4273.408551984488	3564.7660138138285	4434.026650061803	3946.3086992467397	4284.90163184476	4009.653117561637	4448.450736579232	3748.4619944110823	4336.777160054349	3850.586914329133	4345.018201287873	3510.339051566689	4515.744683246763	3831.5684250562026	4233.158839555068	3994.08386750643	4539.976724124724	3820.678454742705	4436.827108740992	3707.309923333969	4429.936086805839	4336.004372742031	4070.5407357659847	4371.696824577916	3752.4722673812175	4492.949702194661	4266.972392265265	4381.439325996544	4601.9647691988375	4273.594673179592	4190.890699544716	3613.3537076114562	4438.95020273221	3734.04851694134	4371.762702093048	3703.804569780603	4159.623271354957	4199.707187123681	4378.815344947444	3676.3019928769963	4232.394372599949	3789.0561329086277	4256.5747473572765	3643.36667074106	4491.656291515182	3737.4922467333945	4534.465563245893	3613.5888089570462	4366.602200072424	4155.408428651377	4326.813384801476	4199.123743238977	4106.416323860505	3919.257899338086	4318.497191170919	4264.324656449294	4363.42456572882	3885.749727874348	4415.03328099952	3668.422777499375	4326.742202716631	4411.971225430371	4569.944546261054	3780.8619514082693	4676.6656513806665	4005.3123734650817	4219.542330007452	3754.583837412365	4369.982893902937	3548.6408389089274	4251.017616763296	3795.887023243333	4523.93301172853	3943.8146191735773	4378.551966338272	3869.7877715957898	4150.631733539056	3877.027684888902	4380.129037936249	3720.1595431737287	4518.924648632616	3481.1262902743842	4428.2253347343685	3331.259297490427	4456.742050910489	4489.336593833011	3458.995380184013	4417.958297790966	3753.613175864738	4512.392786659962	4210.901368941239	4429.962019848081	3798.6595383711365	4376.586065048788	3697.2463871994114	4316.182505455017	3310.9965250719347
2-Oxocarboxylic acid metabolism	15	HMDB/SMPDB	4071.5879662239454	3461.222149716947	4034.6496351714027	3014.260612877003	4041.9415262239777	2944.5026862096106	3831.3475446073085	3039.724237555591	4105.327556532481	3099.206381839273	4164.269052923278	3864.920503378309	3920.22976744748	2919.596122397954	3670.10364506457	3220.5926552333826	3913.2778484207906	3111.2064641063102	3380.17979663192	4009.1172701030646	3130.390343832549	4016.9697552335915	3562.2073291333063	4222.657250964639	3130.3391487981735	4076.2345321436883	2875.547692129512	3701.5775949213075	2754.8610679657086	4133.429864963239	3027.4250294628623	4083.2463654527082	3445.06591416571	4099.321552957912	2739.6161064229163	3407.9702703148328	4023.42920653222	2938.912954523716	4112.379876828537	3872.708733555007	3097.243395432564	4106.1882353487035	4111.923784789512	3076.055033769467	4054.06950955361	3134.443979857224	3881.5526345335734	3216.176218480244	3803.9969312295007	2987.173313583596	4150.163345491823	3122.7997586835263	3873.2328507396746	2933.9597102014386	3902.195112387689	2950.156704813414	3970.927960070025	2961.6442228884384	3952.7538891813642	2818.3849722330892	3893.242864398581	2965.104718253463	3925.569346990408	3372.4989840731523	3879.8680435709857	2747.7418204422715	4055.565499411508	2988.960142919441	4064.230555479532	3559.258867069078	4365.109259325574	2933.9907154592174	4045.7657832003515	4006.820471459733	3278.138016854042	4294.86571857756	2956.2530042192748	4022.8061288780873	3471.2816403443276	3991.9018641280727	4121.830535478395	3926.2709154622967	3862.778803985595	3639.816856195302	3835.5234930440233	2981.5034432877865	4099.376789961869	3065.7689491952983	4077.5877256525923	3922.9839806217606	4028.362339037887	3098.262426130761	3972.1470150985215	3364.6337991317114	3656.171246969867	3035.788723268257	3974.5322385980276	3060.654484609667	4168.643058017854	2836.8049933493744	4026.929556199129	2959.490186149454	4114.85654391077	3913.0493107971574	3970.4008766721536	3066.0193169948393	3964.1560144456726	3602.4083135681462	4200.070244782283	2879.901063626799	4157.691574333438	2736.439982868367	3624.4550592246637	3821.395032591669	4103.207759020923	3099.335603373664	3860.9694572272133	2871.154453877275	3917.583035777834	2993.09354435336	4036.8213933961374	2916.169018575343	4090.3986466118718	3109.688095024844	3908.2220077137076	3131.4802197850695	3759.258051024522	3105.379117970807	4080.4822988299316	2941.2844951256443	3945.71622608224	3064.8714951895467	4057.993980282881	3279.9325422019824	4208.479389652579	3101.5352027746494	3711.745851954422	4132.7039983687	2989.2125768695196	3973.924321257191	2939.5866526366453	4125.807127541086	3854.250873722001	3944.6850116992177	3027.5828779521694	4046.839618529744	2904.77364519217	4143.599370440916	2807.144707397128
2-aminoadipic 2-oxoadipic aciduria	13	HMDB/SMPDB	4246.518873256065	3403.5816950778794	4031.720115964438	2786.3991465649915	4096.181336177804	3259.126866876123	4047.585989169249	3422.620628544181	4363.610181301082	3010.8897495622286	4138.063192025174	3818.331480488731	3946.419497794681	3029.264717154445	3706.0355803626576	3127.980643350034	4157.954759099031	3099.926393548652	3215.226557876242	4172.930224337401	3302.962702125204	3985.792911325533	3588.2198881774384	3994.3289949480545	3034.208046270201	4132.2653941	2781.016030759001	3967.991851782359	2824.18533349506	4201.782489316978	2846.6606306764656	4176.524135395577	3729.167149413823	4171.2222292035985	2910.0262734563807	3005.407416479472	4166.439568375438	3060.1370526860483	4188.5309740365365	4139.3282228759235	3153.668755101211	4334.663900975834	4083.219226921823	3172.3054601513954	4105.473782711175	2830.299981638438	4054.500730601275	3028.772566574375	3845.473217479523	2892.464795041347	4386.464678333101	2724.9519771898804	3997.9262851471403	2743.632905138577	4248.463448761801	2870.6716516446936	4121.301903295067	3062.9479273478414	4060.0019405938365	3045.681383686611	4120.470529752705	3007.9499908183857	4093.446438362483	3068.703598394458	3914.8855559193826	2765.672279522278	4260.6053217989065	2796.292940455196	4099.616741368667	3803.877995006272	4249.550519577581	2803.2424199510633	4129.645559161081	4134.661709323126	3333.018049680087	3829.1523566172646	2795.717739542572	4054.178263327699	3483.285238206841	4018.260948014248	4335.108854572344	3900.7279862044443	3992.614393886451	3263.341074686112	3984.460594633529	2892.348309819597	4161.168490896049	2897.33492605689	4291.213122850524	4178.9444753829175	4185.711525398153	2711.8411816782946	3948.0992192812328	3016.0608103416594	3128.144657504405	3046.6397682590723	4114.863920568879	3245.5043339410568	4126.36219828165	2843.26978530649	4161.836133884797	2760.1566416570695	4166.695256562335	3744.2555830851143	4002.401624654985	2951.6747991697484	4069.3044036177475	3736.3441916974834	4129.3905297729	2816.3970749013265	4289.684912365852	2920.8673044684547	4020.083374215238	3878.60410106869	4203.941096799447	3065.9531153043213	4120.935955553261	3102.961171351639	3909.0233392025607	2825.8982000511814	3970.122244746274	3106.877623915462	4337.505293789946	2803.9661520044006	4367.996768434772	2973.3041039433947	4027.72568808799	3090.1567385855024	4188.8502162042705	2963.8633789852806	4140.963909518474	2691.595030267038	4170.161193509634	2663.465111793276	4134.151288923886	2822.2845000138987	3897.0165333899004	4214.875839730979	2881.288271075204	3868.6710437342763	2723.4010406877214	4325.989183766644	4077.6648909600626	4100.696718990878	2987.9229126835335	4160.618264675805	2866.739664235193	3977.114738972208	3036.7818716012807
2-deoxy-D-ribose 1-phosphate degradation	2	HMDB/SMPDB	468.99999999999994	298.0	525.0	350.0	527.0	332.0	472.0	264.0	493.0	319.0	430.0	447.0	479.0	307.0	589.0	304.0	527.0	335.0	306.0	425.99999999999994	357.0	477.0	295.0	636.9999999999999	350.0	579.0	311.00000000000006	402.0	286.0	506.00000000000006	405.00000000000006	383.00000000000006	363.0	534.0	354.0	253.0	448.0	307.0	395.99999999999994	507.0	277.0	376.0	395.0	364.0	533.0	299.0	520.0	489.0	437.0	368.0	504.0	278.0	346.0	382.0	419.00000000000006	291.0	353.0	288.0	458.00000000000006	428.0	589.0	394.00000000000006	497.99999999999994	394.00000000000006	534.0	296.0	496.00000000000006	331.0	482.0	239.0	485.99999999999994	279.00000000000006	452.0	394.00000000000006	275.0	435.00000000000006	334.0	455.0	252.0	513.0	344.0	263.0	341.00000000000006	311.00000000000006	442.00000000000006	240.0	468.0	387.00000000000006	582.0	239.0	466.00000000000006	302.0	324.0	617.0	450.0	405.00000000000006	489.0	369.0	557.0	314.99999999999994	481.0	600.0	457.0	412.0	449.0	348.0	421.00000000000006	492.0	261.0	319.0	300.0	322.99999999999994	313.00000000000006	260.0	458.00000000000006	352.0	542.0000000000001	392.0	305.0	348.0	521.0	326.0	507.0	322.0	334.0	372.00000000000006	376.0	276.0	294.0	404.0	456.0	278.0	322.0	307.0	515.0	433.99999999999994	257.0	470.99999999999994	372.00000000000006	515.0	331.0	452.99999999999994	324.0	539.0000000000001	359.0	417.0	409.0	494.0	335.0
2-ketoglutarate dehydrogenase complex deficiency	21	HMDB/SMPDB	3332.4106973937733	2993.1533150570535	3242.010722545671	3010.4339980088303	3388.1906595198966	2750.492111653326	3291.6107607770878	2662.505430200335	3497.212264808138	3046.880122902788	3183.4412082009108	2912.7692483642554	3258.3161302679664	2980.075207342022	3015.549620807572	2866.384130135577	3240.3180896629983	3124.7022784000064	3067.224757986096	3298.2808243788554	3102.0349369840037	3072.2728424812967	2797.6115788429597	3562.9682748948053	3070.2151862816	3396.2122070268997	2817.5356555681747	3095.264172954865	2855.067425522311	3539.2131592053547	2954.321741330372	3253.4736299012056	3057.735010901954	3197.535804156949	2822.6120998957686	3143.941108674536	3293.2828700352497	2835.320746826772	3354.3985780431212	3195.698452694009	2921.356695630788	3561.742656775968	3521.603756289029	3155.3551095011267	3370.138673846213	3222.5587732293643	3227.354443299962	3183.6281663977065	2953.6919372479238	3026.463427066244	3553.5615118322	3154.637175949222	3028.768267003412	2886.049256558908	3426.4323696316046	2921.3649710294203	3304.7099720744027	3136.4930111273056	3082.779588410483	3010.555783246605	3422.9431096521735	2845.3494357513655	3429.2804083423257	2988.581180178154	3371.368072902843	2854.7283507475204	3318.737711169241	3035.258940173621	3636.9626573799555	3131.462647602717	3696.895402250832	3145.041203317589	3344.0941254414547	3528.703045982016	2948.47439506194	3598.532000858329	3085.37361073915	3132.182761190617	3148.6528392019013	3250.226146384901	3215.2465134237473	3170.7788459142985	3408.8034747476872	2949.8413679995556	3195.4297352433896	2885.0900697635093	3229.7079956952716	3089.845111600173	3440.2638402268617	3159.7313087401626	3234.3710191940445	3185.4913388303025	3235.3966543885817	3106.15188951232	3308.556590443993	2686.0273416982413	3306.5239647791554	2749.385296210496	3628.9488758614852	2944.3515617755693	3257.0079279546208	2547.1826523056957	3383.7858880065687	3365.251416570111	3142.4025660437874	2902.4025911276685	3226.482604286656	3306.3972496961137	3448.2251566961263	2889.150288898046	3315.4383913724655	2720.8912899960137	3246.020400695468	2861.8253322273026	3460.188923927612	2811.7333006011286	3277.581420875289	2674.7801973228015	3211.9534391502907	2897.8244672208943	3107.2703188444375	2969.508436008854	2993.398588602764	3203.1809311607367	3172.4785785019412	2972.5363970938206	3112.419467853354	2823.9129858402925	3415.5470435490797	2712.7174994153816	3003.800260338705	3183.454974081791	3327.1434890025157	2882.470253636311	3416.8675884345475	2715.6760987843563	3007.5552837906353	3435.928037491359	2994.604216850654	3277.153650176819	2984.551308208289	3309.3610884690484	2947.3862721613914	3324.176984334206	2531.329092065692	3354.677389397828	2519.819957100403	3511.241723769568	2881.2251803826534
