	count	db	C3L-00103	C3L-00103.norm	C3L-00097	C3L-00097.norm	C3L-00088	C3L-00088.norm	C3L-00096	C3L-00096.norm	C3L-00010	C3L-00010.norm	C3L-0079	C3L-00079.norm	C3L-00011	C3L-00011.norm	C3L-00026	C3L-00026.norm	C3L-00004	C3L-00004.norm	C3L-00359	C3L-00360	C3L-00360.norm	C3L-00369	C3L-00369.norm	C3L-00418	C3L-00418.norm	C3L-00447	C3L-00447.norm	C3L-00581	C3L-00581.norm	C3L-00910	C3L-00910.norm	C3L-00416	C3L-00416.norm	C3L-00448	C3L-00448.norm	C3N-00194.norm	C3N-00194	C3N-00244.norm	C3N-00244	C3N-00242	C3N-00242.norm	C3L-00765	C3L-00583	C3L-00583.norm	C3N-00168	C3N-00168.norm	C3N-00177	C3N-00177.norm	C3L-00561	C3L-00561.norm	C3L-00917	C3L-00917.norm	C3L-00607	C3L-00607.norm	C3N-00246	C3N-00246.norm	C3N-00733	C3N-00733.norm	C3L-00791	C3L-00791.norm	C3L-00902	C3L-00902.norm	C3L-01302	C3L-01302.norm	C3L-00907	C3L-00907.norm	C3N-00953	C3N-00953.norm	C3L-00814	C3L-00814.norm	C3L-00817	C3L-00183.norm	C3L-00183	C3N-00150	C3N-00150.norm	C3N-00573	C3N-00573.norm	C3N-00577	C3N-00577.norm	C3L-01352	C3N-01200	C3N-01200.norm	C3N-01214	C3N-01214.norm	C3N-01220	C3N-01220.norm	C3N-01522	C3N-01522.norm	C3N-01524	C3N-01524.norm	C3N-01261	C3N-01261.norm	C3N-00495	C3N-00495.norm	C3N-01175	C3N-01175.norm	C3N-00834	C3N-00834.norm	C3N-01176	C3N-01176.norm	C3N-01178	C3N-01178.norm	C3L-00606	C3L-00606.norm	C3L-01287	C3L-01287.norm	C3L-01281	C3L-01281.norm	C3N-00148	C3N-00148.norm	C3N-00646	C3N-00646.norm	C3N-00149	C3N-00149.norm	C3L-00908	C3L-00908.norm	C3L-01313	C3L-01313.norm	C3L-01836	C3L-01836.norm	C3L-01286	C3L-01286.norm	C3L-01603	C3L-01603.norm	C3N-01646	C3N-01646.norm	C3N-01648	C3N-01648.norm	C3N-01649	C3N-01649.norm	C3N-01651	C3N-01651.norm	C3N-01361	C3N-01361.norm	C3N-01179	C3N-01179.norm	C3N-01180	C3N-00831	C3N-00831.norm	C3N-01808	C3N-01808.norm	C3L-01607	C3L-01607.norm	C3L-01861	C3L-01861.norm	C3L-01882	C3L-01882.norm	C3L-01885	C3L-01885.norm
2-Oxocarboxylic acid metabolism	18	KEGG	3962.59638416877	3461.9844295700177	3922.781756215636	3108.4387995493894	3990.079852296948	2980.2220137185	3766.812141342498	2972.9823351161067	4086.543224032921	3142.6738745622515	4005.032189575203	3816.7125671900408	3836.155161512669	2916.550571225294	3510.983979972312	3117.9062877161364	3994.577472683746	3186.8607300598856	3150.1485692258943	3906.715483141299	3103.801189972578	3889.7306552358773	3399.2331592436362	4075.3732420565416	3073.9230177828285	3963.269599553084	2870.0877899054385	3750.547585367522	2890.5860536156983	3955.3793835372794	3156.4786228417847	4054.521234240289	3475.280251100941	3980.745750552548	3004.7646193684204	3312.419720678929	3946.8464239586933	3107.263170288108	3983.439687870507	3835.151014157975	3031.3393589008997	4195.58734661855	3967.1750280715587	3015.9753394987833	3980.4189756708274	2972.922997074982	3916.752776152365	3057.9651180861247	3733.962368697936	3056.155270667114	4101.001123663497	3222.595360426582	3798.6285734126004	2992.3618335363194	3893.4919707875883	2960.8458414177444	3929.7765127124535	3139.0130838285	3833.712790900043	2946.2938212847066	3980.239189769222	2701.753578106082	3841.0452892451212	3319.7414411434647	3750.492350726959	2700.5563943679144	4066.237769662262	3065.995494087954	3937.6723428485743	3420.3870925483807	4199.625788337159	2894.8441980197895	4015.3480549589967	3980.859649358161	3264.8444707687277	4016.379917690233	3180.026394374671	3917.584693947649	3354.4657460355165	3952.9785086903485	4048.4849112728225	3798.878626797632	3797.374013701248	3563.8888803306195	3771.772381350712	2794.7011652805145	3964.956283510637	2962.0039370690747	4048.6288127378834	3929.5416632271595	3984.058733288098	2984.7368696389826	3736.883308710665	3386.0368202838863	3424.0761186300874	3252.6641807777864	3933.0165667407523	2947.8794923600417	4054.574499361462	2889.3327306785663	3911.9733095547035	3008.229955154123	3997.713573817928	3642.5401060910735	3842.80828745482	3123.941232145666	3936.4288453735526	3549.3627377206626	4037.9992836674205	2941.2522135272493	4283.324039728795	2765.2061110173436	3642.158022408012	3746.109384946254	4034.305211812039	3341.824081084832	3789.600104194006	2877.760865232409	3856.9804070969567	2838.6733468636885	3963.770544403694	2975.4277181437747	4027.4765049994116	3135.859856555084	3918.533114340162	3177.167828062024	3710.4067581153286	3088.69412436301	4005.0423150158117	2974.159815657674	3871.225805124367	3028.9275217509216	3948.2065176785222	3220.379912423512	4036.3710746947568	3326.6511944385275	3592.848537023411	4054.3587549907616	3035.641928863122	3904.596359648206	3078.7765891664276	3998.21755610264	3856.4249070172204	3797.682278400676	3145.3236224427715	3965.5046469931035	2905.025497962646	4052.1663780738445	2771.785778585879
ABC transporters	45	KEGG	3508.6996451867876	3639.477048047474	3808.5496220815207	3286.781320608446	3859.2172973211564	3606.6418811686885	2754.8665601532775	3698.3661180601284	3685.3705673799022	3621.596343943894	3742.105838343565	3495.232300691621	3538.3757336645117	3595.0582048701185	3390.081725661291	3619.6399321277145	3879.708921441928	3718.2139117931683	3738.3127823611408	3238.867596582283	3870.5227720639064	3579.0471007882284	3787.897406717116	3734.5467608845106	3610.8927175827957	3613.2867856834223	3472.560224000341	3429.485644300139	3596.204474173143	3596.283945579686	3934.4919658597355	3394.0255211597514	3860.5821384783985	3759.9062660679388	3597.1608512116013	3654.704770802741	3374.3385344546627	3638.9663873995864	3576.347199192129	3003.5731707543364	3901.02006443181	3491.8077582728506	3038.021508956964	3889.0235124727437	3624.672468295648	3641.954384841384	3501.797231263555	3672.5994441672915	3168.574428613292	3609.2221038336975	3430.887068831356	3504.7672390429902	3074.696374017538	3803.5208246482753	3588.851120481296	3917.3624251052065	3602.4465265600334	3729.270492549791	3727.904963352761	3366.0543100279424	3619.8270256047776	3844.8232784260395	3413.844711335408	3688.140654228215	3422.7877002894147	3849.7667877163067	3348.960756548982	3328.202412264315	3647.902053107603	3799.1319059495386	3907.091044099536	3659.047955155884	3617.3658196156653	3669.90684475971	3679.5288806596327	3564.086867003532	3832.8560339502396	3710.0535498001022	3980.1115641593256	3973.238396217253	3278.908833429739	3914.8832732677506	3650.002901573764	3522.6734695544246	3288.844890902522	3727.5147914245404	3579.47818919875	3571.2119078044266	3486.144709196134	3660.361342139272	3866.638156809968	3576.686272965776	3529.0028415134443	3954.75759415964	3660.323653836088	3762.5647685105455	3687.582182091265	3606.7152853294847	3582.6244884371627	3941.17504277447	3705.3772397612124	3741.082089602259	3619.500585400347	3890.0376057817684	3419.8687732470626	3819.9941974478897	3654.3574020195347	3978.3357642271826	3622.3190193859746	3695.013812696974	3908.4639919743377	3471.7874409405167	3625.027077579074	3583.0175915664713	3465.3058894656097	3767.990274086453	3376.147850632875	3651.401557059305	3840.0719247329903	3828.135025486437	3090.6408758315692	3705.959479346254	3480.854462581777	3640.8341283178834	3280.8159195661483	3535.110317425168	3642.569279566719	3638.6080579103514	3452.024592853047	3640.570454932544	3533.961274505919	3196.4924358344074	3693.8228405108252	3687.8127324585794	3506.832481467855	3514.349368048591	3593.347656935894	3467.0388794167975	3627.40552008258	3483.8872881114135	3502.910794857017	3350.844090530918	3805.7044887256084	3544.8981288718014	3501.8754608105746	3531.891102348203	3429.950138917906	3488.1104865122397	3578.124358071103
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	4668.024336393861	4115.841103842769	4542.0947457201655	3864.033173452883	4634.08987724982	4150.849361032309	4249.7752998658625	4009.8640724493657	4744.996509575552	3837.553998803218	4102.109900806599	4091.3880056254343	4332.700402994991	4212.774980912113	4377.355208360706	3765.341054116057	4443.428913210318	4041.540417073523	4185.019959092369	4796.904907094752	3667.0187250255626	4277.0167522083175	3750.2980088806503	4147.827995888457	3840.8374506712285	4340.814744106233	3671.9330675164597	4767.158331767845	3774.389279546538	4862.664269989504	3703.679400276535	4468.543617490087	3988.333221464799	4533.417534230932	3939.0144399543988	3901.786583251352	4757.802665018234	4108.149734021752	4212.959444792033	4983.650937173949	4083.8932873106924	4851.629498736321	4378.529238977884	3696.528199690695	4565.4429701916815	3797.5145003460448	4768.336619997862	3722.1806717904647	4355.456000700221	3972.419601681497	4575.566447158877	3827.5272996395997	4438.246837877729	3935.6198761517994	4991.781045669964	3930.4622749791547	5207.109106758618	3692.8761275047887	4778.550361171716	3779.9994062393816	4806.7655535647655	3637.115828874809	4533.860437068337	3881.1487268418864	4404.775392035104	3846.0970490701216	4524.407806119762	3908.8372682236118	4609.160810909434	3879.7893348584385	4658.832743789949	3797.959595238478	4570.68199041883	4599.8566030359725	4256.066380630565	4022.9696584922103	3769.830828794611	4151.76087924395	4061.6892369837565	4754.027828837772	4576.103426726409	4729.491498872567	4310.093719534459	3879.3809132356746	4408.648286411683	4406.209958748845	4860.465822221888	3953.2892188411865	4633.320520827169	4456.883890725565	4618.899142674106	3796.6013418194925	4823.840946436013	3817.3328681605103	3833.3648461183293	3711.282037128456	4803.468868609339	3823.07920730795	4651.818624768332	3769.4194754319005	4516.595823981431	3699.024384472866	4663.462048344895	3675.9070262182595	4469.905374060245	3827.944975732973	5050.679846311686	3695.0941327365135	4822.789174912522	3639.2885822575945	5207.651845017806	3973.1302971826967	4291.408782635787	4593.472742742588	4671.001157068825	3770.781264163237	4954.262905404677	4182.669450278952	4559.347138244528	3806.038949272788	4722.214428720226	4301.948450670522	4904.577949239176	4004.7176365142564	4434.232552776073	3695.256447087848	4346.542780321489	4075.837971313438	4862.640564967395	3817.0709302442647	4869.547379714742	3929.084252747899	4655.523820194691	3757.1184978843235	4244.575924135367	4106.788069706065	4248.00913812159	4611.986267877585	3780.148501268903	4968.124602446128	3927.6887489768383	4801.56023393865	4266.983361558682	5204.543902938095	4124.21744778904	4541.654443085157	3968.5414322172796	4240.8847371476495	4021.7664663820674
AMPK signaling pathway	121	KEGG	2451.725269509882	1981.2812587918204	2628.0616737291793	2600.746080956695	3525.7277377590535	2126.0550395117984	2601.8717129554707	2690.784157359501	2740.105094854539	2269.3083519264005	2261.2070940239523	2373.8671225607463	2547.2719767701087	2232.1549394109907	2641.8260836043987	2464.094911939114	2910.4598506129296	2337.660473550087	2784.0900147823436	2676.484678565456	2219.0231573136543	2765.619054887617	2147.4932047719776	2636.7657315827682	2328.6193459098495	2837.3201116510113	2524.982647442065	3060.0381442998164	2353.4822193104737	2817.0474188050935	2392.506706400862	2648.687572428054	2107.703758112615	2596.0920045666317	2477.9976581742294	2248.7405928760463	2790.5139190307727	2405.6059292123946	3054.2682819295064	2242.160049951043	2920.7358592428423	2584.542903281889	2882.18658265528	2416.736270179512	2577.5332302671363	2408.58028855022	3126.646497741836	2198.750900037135	2281.4419394344063	2547.2379665509025	2692.1886700626037	2322.747115986337	2170.6640539803334	2323.1947517408125	2785.470806824739	2394.982777588063	2393.411744216991	2270.947851971239	3313.8971533147264	2463.5546318949696	2458.068869790432	2434.5190920204077	2493.8641530556915	2362.1983733056336	2663.9259668715627	2146.920627108642	2529.4684890926114	2474.992946321593	2936.4534043195504	2346.636572676306	3004.4327655207953	2350.0608664616384	2844.624089333282	2375.5697715444785	2317.728339078896	2634.1161721404883	2580.3359153384904	2237.082816548324	2799.8813068631443	3051.013750720944	2469.143352140945	3865.244629995969	2752.2424959521823	2503.4247138666724	2548.9348172066784	2439.8060171335787	3318.1109160664823	2626.0535995912023	2389.856154744323	2527.022514634465	2841.839313136814	2606.7824904591093	2688.2504237873945	1981.3002337481394	2517.553540012392	2122.129104683108	2791.441467595639	2015.6041184413848	2620.595456564555	2500.5254514588414	3260.3709194302933	2097.710309456995	2976.990850092432	2679.1192679086357	2586.6071223080817	2427.0222552885975	2833.586536445318	2545.5958497072024	2451.8814086637362	2505.9521824115454	2550.6359846093774	2424.195109522902	2089.8099430517673	2602.6773491609456	2607.2815441273565	2251.447163016135	2340.9780350687897	2302.0648720774034	2792.6562047411144	2344.380814514673	2043.5918105326195	2464.6856284073183	2765.8035091523784	2240.9483031984587	2487.4667231082035	2278.219476631334	2790.0218012840423	2255.592181676502	2495.4128983891696	2509.109467077989	2594.071073054665	2452.3917112446147	3217.8212378915914	2204.421825189144	2643.440847159991	2152.940449930432	2397.6383879296122	2789.44503527196	2701.590836494653	3045.8705929758275	2846.6004861435376	2428.0010435651434	2780.764405976659	2724.3151335009484	2334.5401214068693	2776.206302429829	2382.4390815557013	2907.3875061134922	2314.2514174192315
Acute myeloid leukemia	66	KEGG	2847.1028372883798	3599.506128539199	3276.8794019675597	2818.2089816324046	3684.024852795095	2911.2659513425815	2621.0460739387663	2850.306809066942	2954.021760051929	3942.550099037977	2640.1946511287642	3882.3624167590733	3417.3760686323058	2800.786813716998	2483.688698871798	2702.2212499852717	3438.4126752490947	2597.4750375398394	2822.7422745498466	3379.2717588866935	3947.436603236363	3476.0088972859685	5019.595575887688	2238.5948217312725	3162.088667281335	2152.4101391241475	3425.3313659519795	3161.5078595212985	2725.8939274684676	2629.7665689114733	3047.750990796036	3538.9886232580416	3981.358861044762	2455.9073265989073	2816.016667939403	3002.3798599492684	3026.6342586772616	2966.908107129078	3387.670941498093	3031.171358219994	3197.648284467772	4312.482043958979	2929.8755757275508	3604.2895870470297	2307.6620946134017	2956.9118520623497	3323.57163200063	2748.2959892587396	2188.8143149920224	3389.605646498364	3531.1831762129364	2722.273671194322	2534.888942992081	2490.2819953270077	2630.244701481471	2764.673952804796	3808.2861117764605	3320.5808891772563	3185.4726033036513	3412.28715047146	4059.023984670615	2942.9985326240126	2591.177378903934	2875.726602465108	2564.236960127624	3572.1754388288014	3164.3463619276195	2818.9087138689106	3186.052183207514	3199.431639191542	3694.833245970232	2793.1763932045765	2658.7545718839074	2804.1541070212074	2609.803394527861	2750.416821860994	3466.872859293041	2855.150397097516	3960.1521158437176	2401.693060878814	3702.624916637664	3498.247703119644	3181.9985340848293	2804.451799361901	3018.5960333365033	3129.0711516318033	3335.093692212191	2795.583183183741	2598.1423658771655	3632.459522137086	2709.7462735446106	2309.496051608957	3418.596592566545	4340.919216774729	1694.9459093374721	3957.800940616102	3410.836261847154	3241.9566227797945	3010.693253952565	3683.624812432279	3552.6972130329095	3835.235705458408	3718.7316633320843	4918.799969470585	3433.267969348949	3491.441770919313	3303.760211458125	3123.171990193657	3008.038340022206	2980.047942275953	3181.6261967559694	2898.9274776909338	2627.452182480867	2969.7208413163685	2977.4977581801695	2810.974364818198	2282.168623619213	3964.5863680290563	2943.3777297205747	2863.5677307534693	2368.198368889483	2655.505832699234	2548.67245310357	2619.304467200723	2908.0085460510822	3217.147732562157	3189.5903631797887	5135.109024561047	3766.696494028718	2976.506293868051	3171.570082445388	3142.5385088558737	3471.221256953157	2864.055473357378	3214.1405190474266	2731.328870161292	2723.1427288297564	3427.20834179518	3286.528372810106	3540.3358026507194	3002.2869381760033	3281.906891779021	3306.297513968341	3135.425251793734	2685.67212091883	3308.9150411603064	2676.5079180055536	2877.4023577611283	3205.7177396282264
Adherens junction	72	KEGG	327.3685499391577	198.59719760626928	326.86091356205634	225.31336896045755	236.37634843865712	245.29020803669343	308.6619450632014	234.76280437786028	198.37129510647793	267.74742266311256	358.736822624952	231.80268158261745	407.206718014432	242.64479722365397	340.94268334502266	289.0376962119	368.53049876263486	242.50276320886383	340.5320774419346	285.63067246125684	165.304418246316	288.8823172413259	260.43354288541803	226.70662419763923	253.16991560806372	384.969870935843	235.55742941414226	224.33043230134453	308.87555586878034	376.8836973341968	225.39572356084818	238.93328228912628	142.16230042574486	335.7134703998475	215.75941490601005	205.05675314460186	349.19422696955934	256.6205338912512	275.87595608057245	263.27894420132515	255.3346265379885	278.17769490207314	248.60349912151932	238.96230924513463	221.2408132040289	227.3303254963831	272.74673047956566	223.85222033062587	365.20030011620685	209.82019980382367	327.41388277983384	214.2497767178561	253.17765710581742	304.80881229784853	279.11780767946175	235.38915254490686	271.5900726778429	254.82191619520594	414.6135565180191	247.61360488625047	233.24244266113317	250.8189730409874	284.50143014334384	232.68526473008666	356.7326603427303	241.4381300700884	300.2376856994229	227.40321976727304	354.1258247053628	274.71253580771344	244.46485250253696	209.84866112028635	233.6819710483594	345.123626420095	240.02166514569845	299.1849072306842	221.3873446856274	143.80297034874374	266.5564674526378	217.1498943320554	310.79936847804237	278.40755776935526	337.33810974649407	239.11343521557615	427.6240277446928	259.01998351782294	267.9552856853527	210.35212002547794	231.65400731176013	292.4834601452629	270.11819243817934	214.34546683324484	308.54474198272584	234.2956908602586	206.49647095965514	255.10641600314696	329.9132076171839	248.1503248409926	339.1263593211701	240.05070281808779	351.7458482856737	293.0027108802416	242.65515253209125	242.6008652426917	340.6093829952438	251.10805867225193	262.80613077012237	178.97617885112894	296.33092350875387	225.70629106710038	429.63829553587743	251.93986024438112	346.3612219079951	244.3359696441948	286.24058513927815	250.92820492798137	237.09745173697962	243.0112876105099	259.9574702375808	239.23866935286202	230.63010846901213	198.81199869795043	294.58234311474916	240.88567306275013	315.3478252673757	222.09723430949578	591.9446348605132	255.48996147846054	274.34058725082224	296.0252375058344	262.4278882473006	242.3325460344487	278.47794714539356	283.74818069153173	232.9912665036923	252.98840042161044	359.4585344069437	263.4674005788576	253.2477150034369	408.1140100384551	267.1805592982474	404.838952086812	276.983660464039	249.17390368564978	226.4391320489767	335.19781049481037	276.4970312622502	252.51495607371302	220.4600380871777
Adipocytokine signaling pathway	69	KEGG	4315.017392780705	4551.065173763167	4357.131188104224	4576.843590305892	4324.862588854029	4437.874053762765	4171.005166422055	4578.504247999589	4239.78331729441	4686.330336950919	4475.896014211003	4556.918851229653	4215.26748304927	4620.352028873778	4164.652652255521	4668.901086368478	4315.624067596187	4687.825164789671	4264.77223616471	4182.638152936405	4449.2116074441665	4311.411824087353	4538.478822573189	3829.9548978381235	4651.071477428894	4240.109811468992	4392.841020759878	4414.888134855991	4600.680936621587	4192.486274940978	4480.521711053113	4287.895558754273	4864.997566146265	4005.7358538436624	4698.956050329609	4520.052477564949	4427.078114040098	4523.1423781277745	4371.046852575372	4299.55167364583	4409.8976911992295	4128.749314016068	4160.576396848975	4741.907089499211	3949.3600238674853	4576.2332524879985	4223.653245439633	4409.404306756427	4056.8194315709547	4812.7026544319	4082.009999371448	4569.11212650137	4003.4266141937255	4367.316903829925	4191.976359910356	4526.831803885095	4621.182129636827	4748.005349649454	4465.953831042946	4591.870705574147	3958.9412208716553	4399.5938899343855	3954.0231607152914	4478.286881032779	4036.020391618007	4720.339395534308	4194.766610998835	4561.943243688068	4099.424603340812	4815.359690611883	4260.064793951358	4688.195801580595	4098.306644449681	4261.226276876158	4191.769341103495	3824.7441142339762	4583.56628535118	4149.370379832628	4787.458454209455	4140.606216178716	4322.01194720884	4975.829693199711	4116.148752466805	4462.192011662022	4708.827146442605	4613.722132974938	4131.101477363577	4479.762197048799	3709.1683614016165	4733.822706275803	4374.547704809488	4426.761586592595	4585.865322372946	4273.302287525574	4605.017930693811	4238.950633081793	4101.496219103641	4246.657460080678	4159.430692678906	4546.273457223284	4674.763226622871	4389.421853078148	4070.261064345992	4568.1183841532265	4290.998118923574	4324.827596016214	4174.313432566396	4262.6495863283335	4686.910144736705	4442.32956050705	4531.475145080848	4437.977051558555	4339.628494463731	4604.184757158155	3859.3735129312877	4439.855882296638	4148.2367121820025	4800.516498605003	4561.818034015915	4772.876264499382	4074.0018726167636	4264.691641687732	4078.3348814549504	4685.052377276884	4936.448660271728	4277.636333813019	4497.934813155488	5021.425067622789	4372.943337356504	4242.2431725564775	4009.607795587656	4596.263614223739	4785.155941053093	4110.260663076341	4596.519840729332	4617.847979114618	4480.0354809410865	4452.373091593992	4669.671495776046	4267.194451048844	4585.578051813404	4216.616027646923	4558.074746271378	4430.105296305651	4373.798221471189	4291.661441768101	4614.388154792159	3682.9100091633513	4405.257827434198
Adrenergic signaling in cardiomyocytes	144	KEGG	4948.129515401941	3526.3218874366426	5301.036589882104	4204.690450432244	5328.508899946867	4193.45855655698	4516.3185323865555	3928.01172906103	4948.904187151895	3786.087951402161	3914.159939582441	3058.8177550120963	4721.339304900153	4351.392126017519	4967.943979398212	4569.044436167514	4438.939207330472	4381.070115836041	5271.186670873972	4608.784452373283	4035.1089336833465	5324.577460536632	3640.4009227723614	4875.590791542575	3691.4387359606712	5145.789365810181	3456.3481820127085	4952.231609883749	3903.8806586963656	5012.171404985617	3972.39234422537	5017.766962034503	3359.8921440689437	4903.3100222992425	3946.9987027466145	4276.507906021764	4466.749897648545	4439.686180901993	4469.668690126528	5291.285298341291	4779.711287880805	4797.654908467079	4453.378529309432	4492.589276461784	4143.991017006542	4230.455897069792	4789.009764642874	4041.2075381488357	4894.06956272085	4136.485016101805	4924.90200196831	4224.719144494872	4822.610768166982	3955.4419438998175	5089.640076659828	4369.274094108049	5174.589467547467	4278.384149130276	5185.132073088694	4615.865267591182	5225.26723995037	4521.165667753871	4455.839156839081	4064.6193073452946	5124.15482261173	4226.329960476191	4664.872724550933	4682.889555504454	5112.561648085201	3453.8118199545133	4473.6766189503605	4580.996912137491	5258.6475784014665	3481.3049217828216	3917.168813212609	4638.45718600046	4332.807707791025	4552.733674412417	3665.074188485254	4635.614795114984	4002.605280598963	3868.040594809335	4369.422199038691	3836.6580222014386	4067.385436993765	4693.352064656605	4635.896379324765	4434.695238231569	5095.49463449686	3677.322316149144	4899.246641924123	4245.668695842846	4915.404373403802	4101.664521329166	4278.827882369077	3700.098856695698	5335.8825477793025	4230.047111037693	5112.874026862381	3865.5022433918584	5066.689046532366	4471.644397931188	4958.587584661515	3917.572551048687	4923.267175566933	4178.796805647145	5193.4985440937435	3457.1603603744215	4438.483850574232	4550.976712257332	5070.353272548667	4538.869000051086	3828.067819106935	4133.912121169463	5154.739109221855	3649.1081921805885	4347.03201190178	3725.718722279655	4369.570115499502	4089.472040139657	4815.5700846521395	3592.5834813559363	5048.378553913605	4303.016700542287	4399.236345937918	4226.156956855553	4581.665104270849	3750.841985669858	5018.382666416788	4123.5432385532595	4698.010663433407	4266.566359866106	5230.7171459278825	5065.189385641894	4724.516995837556	4214.434818955804	4070.7774542609964	5286.424965816728	4586.292693445151	5041.822131061057	4122.305643993163	5046.653687440972	3949.444455276895	4671.22125154169	4329.96958460192	4763.455867109079	3999.6217486079477	4545.387179822151	3541.6122201075223
African trypanosomiasis	35	KEGG	955.8039437838826	1309.7120816762342	136.80897275779958	156.0467677493353	162.26150535172073	1595.4189151331311	671.5621700956597	1473.8269036164884	480.91156709551365	177.1868177222654	732.6123489901411	1736.9136810438913	345.67676157218705	525.2848146049556	112.97507290729864	352.7688417251358	1096.0447389733026	221.03108243680413	307.95022660295837	152.4374596702264	389.2549312045462	512.99018782027	801.4591431424378	27.067780025520367	437.67596568118284	25.660605508824197	448.28941109656876	459.6070011362526	299.22417569349875	3.483439404096068	403.3766199360731	825.3622787147368	968.3732566535011	286.7861517314823	547.0102853595012	872.6668631968861	77.98336828869556	403.2229293969873	754.9077564679826	390.4264171657835	883.9958101251876	83.50806783985453	303.0336444137831	239.26857115476935	85.40034729778304	455.54379729992866	3.420227001464694	691.3255068422752	760.384485604856	660.5208586851253	10.014563513621596	234.83661608221936	420.69958121282883	577.85853712005	44.07724853161198	480.2027026902586	464.4913811330584	265.2515688270644	1066.8597206182246	672.126116638709	50.66115418186076	309.33646323785655	222.32401497030264	1442.9806515785774	10.353969033834531	270.796881921062	1203.961996226943	213.45935958557735	93.49692563976599	778.0258982683205	405.34459826558106	232.63944700883545	3.7534813246065686	114.86406196038098	640.6718110236363	536.1263003394093	287.5990687907148	178.84010304202806	1087.7429721979051	1475.3751229508305	1801.691534257728	1366.3879111995714	31.841048804834884	887.6068310411415	342.7567002568219	392.1126687537045	742.8182048532333	424.4963741867163	8.879265196767621	1738.8883893207446	539.4252561891808	265.8174697639428	3.3534107323736064	492.7312965768248	157.50926375245726	327.29330395181694	835.9368695441308	620.654676311457	19.056417600240174	388.22914829244183	494.0133059319047	616.7304280385375	1643.2020187876954	317.38895569509793	450.48741643961375	783.1901560210011	648.4843684968382	366.57321035057663	1740.2771446698487	619.6311428084115	419.0064330361935	720.3621609936176	1051.835459879141	1050.098849548919	125.97529147097715	688.0847196918878	310.6579547069191	1689.5127500074907	1472.2233437795774	397.20029890725203	612.5440686963163	520.3417193164271	102.64107808759725	338.7279060857211	1590.7303831920176	761.7716090928126	753.7203858815955	1661.9697158714785	773.6949032250376	330.7510500939423	387.27022318187176	487.1881496995671	104.0319165894194	373.3502756799407	65.94703886108115	505.8552645464227	452.1146258611226	99.02573581094838	963.2648078847493	8.772991961991526	320.89447574279507	412.9176546133194	1671.5984361592546	3.6340126740097096	627.8301236749036	71.7427231595658	1119.1986209532479	7.107961653092688	812.7606097591345
Alanine, aspartate and glutamate metabolism	35	KEGG	3821.8991923445424	3486.546614456517	3729.5235638229356	3256.9502526969563	3755.1680969235867	2830.796869277083	3554.4800866782916	3446.364436299465	3731.9485710039608	3696.4180559026963	3845.155759825193	3628.9058073371934	4047.4918957203563	2777.528733418107	3577.250144690637	3560.487139051218	3770.7212161700227	3557.0970886876835	3179.1388989087372	3667.8610620951845	3397.4531260504777	3820.334684465837	3446.366552626821	3724.4628617437215	2767.880785759286	3832.1265045482455	2738.2328254199256	3937.489111158186	3244.7258736805675	3788.5124988556026	3482.3658744871323	3873.252744720841	3730.416894386953	3656.6528274493444	3489.0744598658143	3425.647439720457	3951.484859120974	3310.2054459705055	3619.89686474819	3858.141421874724	3245.5139554534185	3954.015068660804	3722.7325094305556	3354.80126707467	3797.902466836623	2873.726961089519	3995.158678453226	2988.3970262963358	3757.118492171402	3290.1525118019013	3814.7653219887193	3237.298566154029	3669.505840761624	2869.323375634836	3740.875677028573	3026.766157579098	3748.448107588488	3582.2760498861326	3655.416417496671	2920.495004396755	4074.9396463608828	3184.517086384285	3734.6807066860874	3430.6419267461374	3715.5472037724294	3068.777184480207	3612.6467953169313	3195.8767893043155	3855.9400003588976	3152.323859584261	3775.9589832711968	3424.9433927203845	3833.033847781741	3629.637289281902	3300.599349429492	3439.280201983746	3311.7792466931814	3945.8750703465503	3829.2748086274755	3669.7460711409044	4048.172286373643	3591.88392794188	3797.7726284986707	3453.774673508667	3622.562096243292	2941.8608421344807	3552.450478695937	2554.3165741868165	3943.2989988130034	3980.0758660260626	3732.170509655249	2797.7533228575794	4020.483593331845	3474.7683766001974	3736.4248466903578	3058.4867271029284	3466.34363721349	3217.431545373658	3965.0659350377255	2697.1327491200714	3848.0399857169114	3324.4064279148156	3669.5300724455888	3887.587359135936	3640.1599487518283	3284.6788261570327	3547.3172773233346	3675.5485910581333	4018.2420515525882	2855.1758238701714	4039.0794124607432	2879.464360495446	3886.3979625816705	3774.5597903126277	3826.7249377042517	3481.6272720243637	3742.042268582094	3238.123766896901	3755.707005221798	2838.838338456237	3656.770169956884	3027.06492383378	3798.6737973151903	2947.7494477545342	3438.5126134538505	3155.2079356940803	3760.0018781603853	2942.720258657568	3982.8562283978117	3367.9313723524037	3610.53817428201	2459.7573828844293	3827.46454502846	3655.75553547918	3949.801857875987	2675.3768317842378	3597.0367970214074	4036.7679836175735	2938.028761152935	3878.233649517335	3032.3978642954585	3834.720254656597	3904.1359304442512	3906.5141458099733	2434.334978858783	3864.889978956895	2456.352047639235	3911.745957631849	2421.3112978356726
