	count	db	C3L-00103	C3L-00103.norm	C3L-00097	C3L-00097.norm	C3L-00088	C3L-00088.norm	C3L-00096	C3L-00096.norm	C3L-00010	C3L-00010.norm	C3L-0079	C3L-00079.norm	C3L-00011	C3L-00011.norm	C3L-00026	C3L-00026.norm	C3L-00004	C3L-00004.norm	C3L-00359	C3L-00360	C3L-00360.norm	C3L-00369	C3L-00369.norm	C3L-00418	C3L-00418.norm	C3L-00447	C3L-00447.norm	C3L-00581	C3L-00581.norm	C3L-00910	C3L-00910.norm	C3L-00416	C3L-00416.norm	C3L-00448	C3L-00448.norm	C3N-00194.norm	C3N-00194	C3N-00244.norm	C3N-00244	C3N-00242	C3N-00242.norm	C3L-00765	C3L-00583	C3L-00583.norm	C3N-00168	C3N-00168.norm	C3N-00177	C3N-00177.norm	C3L-00561	C3L-00561.norm	C3L-00917	C3L-00917.norm	C3L-00607	C3L-00607.norm	C3N-00246	C3N-00246.norm	C3N-00733	C3N-00733.norm	C3L-00791	C3L-00791.norm	C3L-00902	C3L-00902.norm	C3L-01302	C3L-01302.norm	C3L-00907	C3L-00907.norm	C3N-00953	C3N-00953.norm	C3L-00814	C3L-00814.norm	C3L-00817	C3L-00183.norm	C3L-00183	C3N-00150	C3N-00150.norm	C3N-00573	C3N-00573.norm	C3N-00577	C3N-00577.norm	C3L-01352	C3N-01200	C3N-01200.norm	C3N-01214	C3N-01214.norm	C3N-01220	C3N-01220.norm	C3N-01522	C3N-01522.norm	C3N-01524	C3N-01524.norm	C3N-01261	C3N-01261.norm	C3N-00495	C3N-00495.norm	C3N-01175	C3N-01175.norm	C3N-00834	C3N-00834.norm	C3N-01176	C3N-01176.norm	C3N-01178	C3N-01178.norm	C3L-00606	C3L-00606.norm	C3L-01287	C3L-01287.norm	C3L-01281	C3L-01281.norm	C3N-00148	C3N-00148.norm	C3N-00646	C3N-00646.norm	C3N-00149	C3N-00149.norm	C3L-00908	C3L-00908.norm	C3L-01313	C3L-01313.norm	C3L-01836	C3L-01836.norm	C3L-01286	C3L-01286.norm	C3L-01603	C3L-01603.norm	C3N-01646	C3N-01646.norm	C3N-01648	C3N-01648.norm	C3N-01649	C3N-01649.norm	C3N-01651	C3N-01651.norm	C3N-01361	C3N-01361.norm	C3N-01179	C3N-01179.norm	C3N-01180	C3N-00831	C3N-00831.norm	C3N-01808	C3N-01808.norm	C3L-01607	C3L-01607.norm	C3L-01861	C3L-01861.norm	C3L-01882	C3L-01882.norm	C3L-01885	C3L-01885.norm
(R)-mevalonate biosynthesis	3	HMDB/SMPDB	2777.504748204813	1837.0547974075316	5857.16898766794	1728.5639291812947	4046.6719812626748	503.9680576776195	5323.661610346992	34.8330332883529	4950.850944060938	1291.8701504586022	4877.22966476335	1523.6052438914194	4446.403738332272	3277.13615493213	5500.131591814287	2787.6351654223367	5966.2278167321565	1452.8252167871096	4116.264952175705	5124.726326749607	1663.348408418335	5072.129504980143	999.3773257698751	4028.3692342495356	2205.832282624361	4943.007247802298	1925.453001917613	4613.941424264204	560.0889115574533	2141.8596101480925	2252.3048077618546	5343.222958334801	1971.1078382176413	5778.67150705848	2481.3269803231556	702.0259802425039	4249.326591228301	2625.9642147291693	4825.948640423467	5239.498098963328	4000.135953967634	5059.48367220896	5038.860454201638	1693.0305505936385	3030.767312968446	1817.9199290213085	3355.056020168112	4340.06842546821	2557.907984681922	1367.610109619979	5648.785739303129	2446.45881285804	4953.304216331231	1492.001335049282	5251.321482406101	1919.5577881663164	3953.179640570088	2575.7850134230416	5819.02831783179	1360.5173039616416	4043.9804116410373	2374.5784270241966	5626.269913690403	1597.4060652932267	4142.180412892356	1981.0728299748887	4528.646366242679	2686.856227924312	5869.115514036731	2789.3802144528777	5088.540289195511	2102.7750491833876	4884.262090510572	3998.0992041713052	2730.595868491166	6032.2685099052815	3094.6121811057324	4827.290400923422	1785.1058645611793	5348.929339573391	3964.5192941618825	401.88136146527785	1053.9055661250015	587.7274751145314	5087.8562145691985	2816.3021940007607	5467.413538655597	2672.3245640181926	4402.502818561809	3007.715551341034	5727.2980657351445	2849.8736120803974	3690.088761980679	3033.9476739507513	1500.081232093376	2471.9368309644215	5839.482500502107	1375.848517024276	5282.139228865002	1507.173613373219	5666.001049844719	58.127630284706626	2394.744956436659	989.5674146646325	1548.460828720719	1332.4823693834542	5978.777883430093	2862.6664823334036	6046.179233237086	1992.34953134505	4102.331103643638	4426.051260174567	3272.544509770646	310.6694273268782	5054.639936314317	2362.907452569104	2985.2888793976185	1394.2856366304834	6011.759984703701	28.76464224175388	4245.010216316473	469.04418850374367	5217.76745787386	593.7952886405398	5056.529193942538	8.565121418209937	3823.095594640646	3673.776802531102	5535.715351354719	3321.0225568357423	4656.722821967048	2069.038100880605	4856.222097236502	45.14691774422769	2953.5968728022267	139.01346809769385	4379.326154349819	5794.535741454985	3405.107175685689	5326.648410291512	2225.8522798624904	5303.968968880012	3654.8660107674045	4445.7046552094325	780.326697494846	4302.1886484234865	298.3539647454529	2018.1399205506225	1471.0562455653214
(S)-3-hydroxy-3-methylglutaryl-CoA degradation	2	HMDB/SMPDB	6570.999999999999	1939.0	6200.999999999999	266.0	6428.0	273.0	6316.0	1032.0	6484.0	1364.0	6331.999999999999	5925.0	6094.0	425.0	5601.0	1331.0000000000002	6249.0	225.99999999999997	412.0	6585.0	1434.9999999999998	6299.999999999999	1383.0	6413.999999999999	156.0	6447.999999999999	163.0	6551.0	163.0	6297.0	440.0	6420.000000000001	4149.0	6459.000000000001	134.0	296.0	6496.0	174.0	6388.0	6478.0	455.0	6430.0	6413.999999999999	667.0	6431.0	223.99999999999997	6485.0	587.0	5977.0	225.99999999999997	6519.0	143.0	6241.999999999999	103.0	6430.0	184.0	6439.0	555.0000000000001	6263.000000000001	231.0	6376.000000000001	550.0	6554.000000000001	221.0	6103.999999999999	407.00000000000006	6455.0	232.0	6367.0	880.9999999999999	6580.0	216.0	6398.0	6284.0	980.0000000000001	6348.0	212.0	6100.0	4091.0	6518.000000000001	5928.0	3763.0	6346.0	2184.0000000000005	6361.0	53.0	6426.000000000001	91.0	6450.000000000001	6470.000000000001	6487.0	215.00000000000003	6081.0	3351.0	5630.0	759.9999999999999	6208.0	113.0	6474.000000000001	113.0	6394.000000000001	320.0	6156.0	5915.0	6286.999999999999	244.0	6382.0	5880.000000000001	6374.000000000001	222.0	6420.000000000001	203.0	6357.999999999999	6233.0	6426.000000000001	253.0	6219.0	461.0	6238.0	260.0	6179.0	222.0	6505.000000000001	213.0	6140.999999999999	101.0	6154.999999999999	228.0	6338.999999999999	312.0	6297.0	215.00000000000003	6225.0	213.0	6257.0	71.00000000000001	5568.0	6434.0	161.00000000000003	6127.0	178.0	6440.000000000001	6367.0	6180.999999999999	114.0	6520.0	140.0	6418.0	195.00000000000003
11-beta-hydroxylase deficiency (CYP11B1)	11	HMDB/SMPDB	6117.0	2691.0	5668.0	575.0	6235.0	2146.0	6229.0	1182.0	5768.0	2386.9999999999995	6005.0	5898.0	5687.0	821.0	5615.000000000001	1016.0	6249.999999999999	817.0	6226.0	6080.999999999999	4328.000000000001	5900.0	107.0	6208.999999999999	589.0	4385.0	643.0	6196.000000000001	127.0	3545.0	2177.0	6176.0	5376.000000000001	6234.000000000001	401.0	198.0	1847.0	559.0	6091.999999999999	6233.000000000001	3966.0	5274.0	5519.0	519.0	3185.0	239.00000000000003	4300.0	739.9999999999999	6129.0	291.0	4271.999999999999	370.0	5710.0	948.0	4492.0	398.00000000000006	6327.999999999999	177.0	6392.0	1298.0	3072.0	2153.0	3252.0	351.0	2124.0	5737.0	5922.0	466.0	6235.0	1416.0	5923.0	630.0	5456.0	5227.0	341.0	4711.0	548.0	6069.000000000001	570.0	5218.0	5685.0	5716.0	2981.0	4784.0	3364.0	172.0	6132.0	410.99999999999994	5500.999999999999	6183.0	5913.0	555.0	280.0	1414.0	78.0	672.0	5998.0	344.00000000000006	5868.0	342.00000000000006	6175.0	785.0	5572.0	3358.0	6204.0	2447.0	5960.0	1391.0	2209.0	520.0	5794.000000000001	1139.0	5589.999999999999	6227.0	5319.0	91.0	6329.0	96.0	6380.0	178.00000000000003	6132.0	128.0	6134.999999999999	74.99999999999999	6083.000000000001	843.0	5392.0	49.0	6052.0	68.0	6415.000000000001	179.0	4475.0	247.99999999999997	6316.0	246.0	5917.999999999999	4353.0	2187.0	5821.000000000001	325.0	6096.0	6113.000000000001	2831.0	14.0	5868.0	199.0	4940.0	654.0000000000001
17-alpha-hydroxylase deficiency (CYP17)	11	HMDB/SMPDB	6117.0	2691.0	5668.0	575.0	6235.0	2146.0	6229.0	1182.0	5768.0	2386.9999999999995	6005.0	5898.0	5687.0	821.0	5615.000000000001	1016.0	6249.999999999999	817.0	6226.0	6080.999999999999	4328.000000000001	5900.0	107.0	6208.999999999999	589.0	4385.0	643.0	6196.000000000001	127.0	3545.0	2177.0	6176.0	5376.000000000001	6234.000000000001	401.0	198.0	1847.0	559.0	6091.999999999999	6233.000000000001	3966.0	5274.0	5519.0	519.0	3185.0	239.00000000000003	4300.0	739.9999999999999	6129.0	291.0	4271.999999999999	370.0	5710.0	948.0	4492.0	398.00000000000006	6327.999999999999	177.0	6392.0	1298.0	3072.0	2153.0	3252.0	351.0	2124.0	5737.0	5922.0	466.0	6235.0	1416.0	5923.0	630.0	5456.0	5227.0	341.0	4711.0	548.0	6069.000000000001	570.0	5218.0	5685.0	5716.0	2981.0	4784.0	3364.0	172.0	6132.0	410.99999999999994	5500.999999999999	6183.0	5913.0	555.0	280.0	1414.0	78.0	672.0	5998.0	344.00000000000006	5868.0	342.00000000000006	6175.0	785.0	5572.0	3358.0	6204.0	2447.0	5960.0	1391.0	2209.0	520.0	5794.000000000001	1139.0	5589.999999999999	6227.0	5319.0	91.0	6329.0	96.0	6380.0	178.00000000000003	6132.0	128.0	6134.999999999999	74.99999999999999	6083.000000000001	843.0	5392.0	49.0	6052.0	68.0	6415.000000000001	179.0	4475.0	247.99999999999997	6316.0	246.0	5917.999999999999	4353.0	2187.0	5821.000000000001	325.0	6096.0	6113.000000000001	2831.0	14.0	5868.0	199.0	4940.0	654.0000000000001
2-Hydroxyglutric Aciduria (D And L Form)	22	HMDB/SMPDB	2890.1309075787753	4242.536184355715	4239.723299961317	518.8346677108386	3925.944341159555	511.624661252017	2978.0899677743437	2700.291759066523	5124.202947216655	2150.936792826719	4184.1377214386985	5380.407827103695	4191.342707349608	629.381129884841	731.391134815675	3152.1795996903434	4170.0638641810765	539.8619702073269	240.15440681282809	3846.7737684667313	3379.6209381095828	4450.700741750444	3751.4254591064487	3207.7745445898186	547.9754371231793	3969.735083459092	760.8688988459477	4258.793170865892	536.953059148771	3469.544329163124	786.0806368654681	4636.465660614771	5222.74927787218	3875.8742219881115	687.4399884455041	878.6396054712332	3288.4817934094626	783.296195306074	4380.638478195548	5369.115528664636	1279.8550072640696	2299.186183092128	4830.7797299746135	1451.0501108166804	3544.4553169906067	1079.7615476189399	1955.4016444125984	874.2071563731793	3015.2198567119917	862.4548957752255	2593.306363381914	627.2197331154251	2636.9119770931525	470.7052218970659	3087.8597846950306	270.3605933831248	4253.477706929153	1305.4889322217869	3008.033024124168	757.9059124983478	896.1804357888855	1618.8619170100674	4394.904352700918	883.4078947195892	2244.3017794616417	1274.7337086499251	3113.65429507795	710.3988552840426	3374.066453696373	2555.5617140272047	4935.972138611271	595.6843986841329	2143.7439103831794	4703.505452048918	3272.251768283046	3705.799167138187	695.824284459422	4641.6035820009665	4739.812923336417	4659.858981069693	3972.905959592446	5132.973752485599	3939.582981325432	2344.127430329727	3767.9280126781555	791.8998056988421	3885.1914155568593	739.468736538759	3455.1648372365503	5593.165620380479	5119.295613555139	700.0288505831085	1901.7704641946657	897.9059193615175	3207.1445533495416	353.629851184867	2171.0481006714017	822.8902900650128	3980.5134419839287	425.81706651665183	4431.917279088581	472.25010003465627	3427.845997277314	3852.3805524320614	3272.049570280733	871.7659084073501	3228.279987967268	4738.296864054002	5259.787612184327	701.8861915419558	4470.232149606611	811.3595350204477	4199.630840155547	4608.3884047868005	2835.252693097774	450.8772758151749	3683.575648967285	639.2283252437337	4106.692302428889	663.1181872524133	4972.305781314239	879.2804368470161	4571.282438452396	581.6494081404462	2487.72095734409	809.3536338148272	3740.9742269818685	1665.8905590468512	5208.7466862038	907.0501435144453	1432.6212171638124	700.6045968906694	4910.314033784629	790.5163319282891	3823.0951807926504	697.909795637902	2957.2774119096152	4498.261021337026	683.6954162496407	1201.187283275707	725.268247375984	4526.815583992357	5625.961494843674	3063.5737124390857	987.8205145552552	4614.33567617126	885.1578118108442	2411.0596465313874	796.8031754077225
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	30	HMDB/SMPDB	5764.738803304542	3721.4134282197765	5544.0775841029235	700.9709021167911	5239.882595410687	975.4690266421237	6149.987530642383	3453.4731273207008	6260.668760337652	2253.7181168751126	5405.5384549636465	5641.876853248581	5732.647763117873	1217.3113169401286	602.7009674803907	2356.929238780139	5873.008719921819	1165.8784934880373	1136.6466501088987	4533.370177668942	2122.3821868682426	5029.249313989021	3074.2850748114192	2900.717597146413	518.8871519641557	5970.58472022134	390.60560270001764	5726.44463708795	676.5040795127796	4976.426162629282	498.9648447383552	5870.550863504713	4674.362862128478	6012.117809800986	757.3617690915369	1203.501153736496	5966.091439632359	587.1218814537316	5986.673758222221	5768.451237022535	1010.1887913027828	6170.262657819084	5728.399074656864	1428.8894445466485	5821.804791873278	565.1408699370419	5896.507020790487	712.9206162034762	5686.064832969966	722.8089243986924	5981.834631565447	556.75813798075	5545.516095117575	413.087034205177	6042.651899341728	710.331625324676	5606.2153447048595	935.4295940059044	5015.932536195589	471.92492789389837	3815.9359281242896	1372.9738145313943	6104.305625306473	915.292989809944	4789.698847130006	644.8076124007445	6362.793867794607	537.818174370242	5753.754999852715	2474.8985980865286	6153.803288121041	745.2124831423295	5858.4443277683295	6273.952841857737	2945.3639429942423	4479.71440621628	470.3358205129289	5825.772242163433	3808.447537058687	6079.4346612603495	6120.013800226841	5591.283380648307	5857.835686350893	2709.056027915708	5877.726715986686	855.0084181435169	5865.397787645564	677.8913850877868	6070.55571612741	6290.241434330612	6120.272855248772	461.16866870788454	4939.910111518915	878.3524621813285	1412.1616089100057	832.1633552656192	5908.760211676961	797.9209093136344	5600.655374838291	389.76923377994444	6190.9167706079825	637.8009080467366	3738.1774501997056	4178.712463239092	5836.526339883801	673.1802510950835	4845.739084414263	5314.394288792944	5122.610861305143	427.37197357930296	6279.652622736712	802.0882808054538	5862.052750323809	5846.687361719135	6267.023139268947	602.4957490948763	5681.610988393213	769.5650605917319	5194.917164259336	730.8241373340405	5152.656614558432	596.2312630338862	6219.8158144672225	566.850241461954	6182.69533310905	394.6224625832668	5974.187037375462	1508.5759498732184	5591.121613868232	713.9861633754416	5716.174473984891	923.2142217600028	5273.958074987327	650.6192640982131	2558.497511613399	559.5020789399758	4115.953934486387	6159.478066733658	997.8364340738708	3624.48691202695	592.1402498255928	5913.649978452719	6214.173239198373	5066.608842854223	661.9225787810325	6320.1402795380245	549.4251416225967	5251.715300864457	309.5107469233774
2-Oxocarboxylic acid metabolism	15	HMDB/SMPDB	5672.819032366204	3905.616109555088	5355.294411047753	796.7957556598614	5237.340502161422	1463.0360434010724	4514.209268916208	2345.6393766380447	6005.116467036591	1407.345199288196	5118.965893124003	5505.717103816919	5528.806601132161	1068.1223241738403	2787.6399599634265	2087.7666162965556	5768.944967662964	1129.411150733912	429.6806142597433	4867.7812846809165	1848.7695727467838	5474.397311571405	3058.858395233383	4410.627683193992	699.4707571312549	5711.947691956629	777.9408404521035	4890.873303532939	913.9476346462023	4843.895665014177	1007.4516951434401	5784.220681754091	4621.057301453984	5442.861800103024	682.4185061716064	764.373942071623	5902.047753295355	817.094957799371	5497.357357138871	5666.092902976609	1155.4019687483628	5574.779562413729	5703.765758113894	955.1195746515446	5796.224193248491	1179.5203713974388	5876.059932258434	959.7109920113061	5066.45526621536	1754.073850838689	5846.447159738374	673.3772697807442	5241.387169670961	852.7726980324693	5788.007996967209	910.8540378493526	5490.824758932922	940.3363723158817	5071.197432305954	1425.3348132142937	4022.0911595743755	1039.1041764830045	5297.954161825313	1972.663328004008	2446.312317562415	838.1015594179951	6223.854390985691	1381.8844638877763	5054.371019663387	4095.4117725086326	5636.281938866311	566.117037973934	6064.328819028721	6040.926442307895	2918.1724880034626	3819.2204049950055	735.5141925157603	5575.098068447155	3027.75490386369	5469.3971184493275	5940.779074632986	5344.704352299178	5613.613512808598	1777.819975482703	5468.743801775981	950.3730349887131	5447.68844080512	791.0835026949196	6037.627112126478	6033.17286189855	5621.8887326025615	715.8629091544643	2864.2920187047657	1056.428470082335	472.6592324214283	1708.5309532005906	5667.511684277655	1278.0655729907512	5616.713514473241	924.9074612049343	5616.171216006645	978.0930309754275	5372.852950175105	1401.689637434987	4880.516703200281	956.9934266359036	5829.490681644517	4623.720280868761	5681.929087600409	1021.3885287379048	6197.67379560075	742.1328881942894	4814.538863234871	5438.632507376943	5829.287656449091	981.2750966917761	4336.853631453349	995.4311609235072	4291.255177247018	1595.991941335372	5809.878926052971	1289.0443352866762	5996.533961989944	1084.946323861638	5748.6050394808035	1091.5474246808087	5192.096473025538	833.8006493062121	5775.329712847769	1532.2304188463597	5204.031583762374	1058.9984719352333	5336.242650385049	1134.0750605705146	5137.386294383219	1701.8941080529632	2913.9746550642376	5842.526461070656	946.7352682280148	5056.917969078567	1048.8961134254448	5460.616817674304	5890.317122541939	4353.084905724301	1059.011096473697	5799.162969052946	830.657498747344	5758.318783197544	1328.809908874853
2-aminoadipic 2-oxoadipic aciduria	13	HMDB/SMPDB	5947.862343695277	3361.1047442423796	5608.7302071778395	365.2996528978429	6083.677818052239	438.8471823128548	6079.514972763526	2789.974508345719	5826.721278355304	1207.3758197776137	6027.696745812899	4404.367390059341	566.7229646538888	467.76925159114774	3649.911217476244	1694.4176667756872	5909.402749839199	847.0300352667866	2069.3681519761894	4430.703149208138	1509.3933296058112	5935.982030176078	3646.3508877671065	5617.975548637436	380.4744835878304	5833.173172436257	313.3856089650978	5620.801784941364	474.84049388800304	6168.125661861053	354.53723547079295	6160.722589279538	4467.471538516952	4990.424448665376	332.51956879241476	739.186214393828	6095.957607845725	382.82667465798335	6213.449190431308	6276.311269954696	1483.1745693087826	6323.957804607032	1819.8072345447129	561.2058164192871	6011.708383473002	500.7646945123921	6094.535977335552	628.3293154919526	5456.3236031166925	547.4758796142003	5927.884844144037	199.98927219661283	5951.824509468157	332.3664309666168	6081.671057251265	310.89025347854835	6014.574142201698	890.7635966487437	5791.586170933548	529.3079049607489	5892.085040344826	800.0324240614673	3032.390860737035	804.6192757948724	5700.529977813777	460.8444234305485	5773.114137276008	324.27237261138305	5935.357005278999	2423.5883983246404	5601.174959224137	264.88244780422184	5787.370192399363	5270.928417185967	2234.0494296518123	1519.2543274161353	407.6041497494529	5838.3477018572785	2701.552479337624	5917.953185202997	6188.202989179536	5692.099827003642	5864.157603632598	1825.4212438319469	6198.791489830442	657.8526482104363	6068.348519061966	315.9110361176631	6250.858344190417	6149.836425351117	5148.442243648603	231.69676969904984	5079.71178281942	376.2221144124291	574.5425794411533	398.45871604043595	6143.867169103727	477.96163924576337	5723.906192421926	377.78642922321166	6239.612167781036	519.8493506628473	5032.8751140862705	5160.123186021382	5750.549683534992	424.83810405385515	5565.318687427697	4854.340242939728	5819.143828441848	273.3473055944888	6295.586296692413	464.34990832274235	5891.485005209875	5843.685724544552	6289.020533543762	742.311406548567	6073.285222945332	687.4299228359406	5205.9646418648335	428.6636648275605	5238.654523969272	694.1550120041047	6318.870745683318	330.5826620258078	6135.564484770125	577.3547113478052	6104.621264846788	1087.7278805022213	6210.827092646089	752.6284441038396	6021.419773280476	391.3497843694514	5503.39791144336	456.45292564300496	5951.8722425183705	400.79264411431154	5759.811930678153	5827.465861765705	513.1442684544919	5112.875099614421	364.54743367159847	6361.707616411205	6180.957456595068	5359.812811001654	465.04002183577285	4014.8972852941006	586.422585312575	4877.900702580717	323.41384206191896
2-deoxy-D-ribose 1-phosphate degradation	2	HMDB/SMPDB	4761.0	783.0	5407.0	2038.0	5525.0	1663.0000000000002	4922.0	435.00000000000006	5079.0	1359.0	3956.0	4205.0	5255.999999999999	1002.9999999999999	6176.0	1131.0	5460.000000000001	1422.0	944.0	3821.0	1875.0	4994.000000000001	756.0000000000001	6019.999999999999	1919.9999999999998	5966.0	1346.0	2819.0	754.0	5226.0	3202.9999999999995	1995.0	1850.0	5553.0	1905.0	395.99999999999994	4547.0	1004.0	3005.0	5502.0	531.0	1894.0	2837.0	2145.0	5623.0	957.0	5266.0	5034.0	4202.0	2301.0	5182.0	699.0	1385.0000000000002	3018.0	3509.0	878.0	1892.0	689.0	4407.0	4221.0	6078.0	3179.0	5234.0	3054.0	5582.000000000001	961.9999999999999	5196.0	1440.0	4771.0	314.0	4936.0	708.0000000000001	4366.0	2626.0	706.0	4117.0	1417.0	4611.000000000001	383.00000000000006	5259.999999999999	1685.0	423.00000000000006	1386.0000000000002	1274.0	4515.0	367.0	4837.0	2769.0000000000005	5983.0	202.0	4508.0	1094.0	1062.0000000000002	6268.0	4558.0	3288.0	5020.000000000001	2120.0000000000005	5643.0	1175.0	4942.000000000001	6080.0	4539.0	3128.0	4603.0	1736.0	3516.0	5088.0	349.0	1313.0	455.0	1393.0000000000002	860.0	248.0	4403.0	2045.0	5790.0	2817.0	632.0	2041.0	5637.0	1444.0	5372.0	1333.0	1152.0	2525.0	2269.0	560.0	605.0	3478.0	4377.0	783.0	1062.0000000000002	1079.0	5132.0	3886.0	459.99999999999994	4617.0	2373.0	5400.0	1408.0	4461.0	1103.9999999999998	5785.0	2348.0	3563.9999999999995	3312.0	5298.0	1629.0
2-ketoglutarate dehydrogenase complex deficiency	21	HMDB/SMPDB	5725.138991351073	4049.421811292042	5389.992965493968	893.2291857454508	5879.53793770559	1433.406378686978	5151.136522025647	2537.5979059158003	6216.13762797091	1316.2016843282338	5355.842078191631	5421.971374684201	5860.435668405861	1247.389714417679	2627.5121367569964	2133.881495544118	5999.329226765151	1014.5724551151116	517.8070768394093	5623.390342966086	1193.4841839576075	5466.341872259978	2561.9543112161073	5025.7309179094045	611.409003351138	5579.1782826532635	717.3813621846757	5625.7397285597435	960.8185998499296	5293.252683998783	672.3760517479557	4032.724230556983	4421.691970581592	5430.056389523705	529.6635433196802	1518.034341080623	5963.03305248057	849.8604768116585	5789.666740268582	5547.574696014037	472.91418090996297	5854.697239519842	5925.384916368732	735.8935320843035	5969.58398125196	860.5918634581551	5725.906884355411	795.3971125620554	5143.85419982088	1442.8169369935822	6052.572574507116	528.4331184077375	5389.664727770108	1038.5258725044018	6012.903219686423	501.15362555111903	5812.616257214333	976.6731244986071	5229.634971032368	1419.1416625883498	5096.950696202436	951.7293971249727	5563.760646044932	2195.1479501305	2245.893801461863	609.5524297463733	6257.188582200165	881.0786593457135	5682.232012123652	4384.051990029392	5965.956301814026	499.7800418202877	5931.904969677671	6150.985313229904	3098.5584955081054	4563.166536295428	544.7015545821524	5818.53957191894	3214.2200414550634	5899.683834317995	6068.505880528225	5414.10366291021	5833.655758543139	3443.187058186704	5689.123890964056	935.404459764379	5754.674325949411	610.873832896992	6093.2333835515565	6133.7587677958	6023.447532309247	447.51356743709255	3723.2737919036254	1209.7608163944533	532.0975304276574	1282.2818345601029	5828.887566686162	948.5200572439393	5769.093427067907	1038.521090321862	5875.5619304707225	555.980402928164	5982.225288699469	3801.229006554307	5168.468745570077	804.5236574987118	5953.8846217299615	4638.11627469533	5766.583654156115	936.9596825881266	6191.56569747554	557.9015182300284	5735.756733628205	5414.09558319887	5948.75331557752	1373.9447760877688	5131.261271967985	768.7081160798286	4692.640701316148	491.5464992926153	5277.292000342089	1313.2231592000783	6014.711821939945	775.0993654492729	6060.5241045775165	1000.6137490897701	5734.362767182353	1465.7967924318575	5675.780983997056	457.02177891010683	5325.162176557145	806.6880549015414	5628.9258436328655	849.7138692680957	5349.5959293578635	1056.399278018603	4669.469947350863	6008.567675829552	1145.137569475619	4665.426369252738	1195.9279866262173	5600.43984985297	5923.625360827243	4709.252012958773	841.6949238414088	6005.073813422576	581.1713087229778	5440.610090470808	1457.826543938679
