	count	db	C3L-00103	C3L-00103.norm	C3L-00097	C3L-00097.norm	C3L-00088	C3L-00088.norm	C3L-00096	C3L-00096.norm	C3L-00010	C3L-00010.norm	C3L-0079	C3L-00079.norm	C3L-00011	C3L-00011.norm	C3L-00026	C3L-00026.norm	C3L-00004	C3L-00004.norm	C3L-00359	C3L-00360	C3L-00360.norm	C3L-00369	C3L-00369.norm	C3L-00418	C3L-00418.norm	C3L-00447	C3L-00447.norm	C3L-00581	C3L-00581.norm	C3L-00910	C3L-00910.norm	C3L-00416	C3L-00416.norm	C3L-00448	C3L-00448.norm	C3N-00194.norm	C3N-00194	C3N-00244.norm	C3N-00244	C3N-00242	C3N-00242.norm	C3L-00765	C3L-00583	C3L-00583.norm	C3N-00168	C3N-00168.norm	C3N-00177	C3N-00177.norm	C3L-00561	C3L-00561.norm	C3L-00917	C3L-00917.norm	C3L-00607	C3L-00607.norm	C3N-00246	C3N-00246.norm	C3N-00733	C3N-00733.norm	C3L-00791	C3L-00791.norm	C3L-00902	C3L-00902.norm	C3L-01302	C3L-01302.norm	C3L-00907	C3L-00907.norm	C3N-00953	C3N-00953.norm	C3L-00814	C3L-00814.norm	C3L-00817	C3L-00183.norm	C3L-00183	C3N-00150	C3N-00150.norm	C3N-00573	C3N-00573.norm	C3N-00577	C3N-00577.norm	C3L-01352	C3N-01200	C3N-01200.norm	C3N-01214	C3N-01214.norm	C3N-01220	C3N-01220.norm	C3N-01522	C3N-01522.norm	C3N-01524	C3N-01524.norm	C3N-01261	C3N-01261.norm	C3N-00495	C3N-00495.norm	C3N-01175	C3N-01175.norm	C3N-00834	C3N-00834.norm	C3N-01176	C3N-01176.norm	C3N-01178	C3N-01178.norm	C3L-00606	C3L-00606.norm	C3L-01287	C3L-01287.norm	C3L-01281	C3L-01281.norm	C3N-00148	C3N-00148.norm	C3N-00646	C3N-00646.norm	C3N-00149	C3N-00149.norm	C3L-00908	C3L-00908.norm	C3L-01313	C3L-01313.norm	C3L-01836	C3L-01836.norm	C3L-01286	C3L-01286.norm	C3L-01603	C3L-01603.norm	C3N-01646	C3N-01646.norm	C3N-01648	C3N-01648.norm	C3N-01649	C3N-01649.norm	C3N-01651	C3N-01651.norm	C3N-01361	C3N-01361.norm	C3N-01179	C3N-01179.norm	C3N-01180	C3N-00831	C3N-00831.norm	C3N-01808	C3N-01808.norm	C3L-01607	C3L-01607.norm	C3L-01861	C3L-01861.norm	C3L-01882	C3L-01882.norm	C3L-01885	C3L-01885.norm
2-Oxocarboxylic acid metabolism	18	KEGG	5724.630767377641	3896.491928131795	5442.695242932111	794.758198889405	5236.087898788924	1793.428111462856	4686.757430256907	2278.8393944584586	6024.314903168375	1285.420495801516	5228.690413767024	5532.37394448232	5573.924103070363	1018.075059872858	2768.378220591464	2071.2550642750516	5604.994750619009	1092.6382905750506	382.70906117286387	5006.624431168617	1781.288591564757	5555.064499288696	2856.5750532523543	4520.232579519752	683.8690677630375	5765.243697609261	738.2859964135589	4942.71525284149	902.9504569630176	4960.404423016087	985.3164274614471	5736.726624342816	4756.324765874457	5522.195320316481	651.2460763993927	720.9283967041538	5930.824415920626	788.3235721794633	5556.314190622038	5729.071772041284	1243.8300439241739	5128.127158881507	5762.790126350833	1088.8126964162477	5840.72786746733	1373.4405562775335	5881.679111360078	1321.1544553186534	5153.757867449007	1750.6497800814402	5888.992951141835	655.3084529840228	5313.699617178621	840.150789080935	5845.514313783883	900.9321907983012	5529.606804058504	929.3585532838398	5152.284931003451	1405.541842981108	2260.007616903388	959.8825599982309	5383.570557098825	1913.0398201524133	2750.7927905053316	1148.928890408114	6236.102174043721	1291.685167864407	5182.741225996497	3970.374603898497	5682.167499464364	567.2200077767483	6087.7268573074625	6064.339296875596	2916.0864892853147	4081.2388769573276	735.3254958441449	5650.949941675773	3122.6291015667716	5508.937739718973	5986.9205338065685	5390.366456486058	5670.94334498016	2221.49935794195	5538.080987333729	822.2717354162936	5460.487820974568	789.1052658410441	6045.412061484875	6053.8422742724415	5614.584783407936	692.3971274798162	3061.4989906829	827.4389930432749	465.8379427746195	1689.7638209826034	5663.759645707807	1189.178201305044	5663.247847376407	888.0365817206298	5677.0163109208015	937.1787959899708	5469.801649917015	1625.0155342029357	5004.584408210671	953.1490926930402	5854.592707394631	4714.239670932841	5741.612376728194	1018.911257035651	5803.112967414957	913.3297241121264	4937.498323545623	5501.529758270435	5868.40288474692	951.532435895282	4535.812444990849	977.2478509954154	4381.869393320448	1353.3473541946387	5836.57999015409	1288.583386218328	6025.913497980733	1066.935211735988	5788.658427216807	1091.3880602128988	5280.219829365575	806.579185469134	5798.805121753141	1518.494191784982	5296.56690342614	998.8338161249322	5409.456689897848	1035.6375519534163	5176.170089004818	1589.5445159583244	3144.1370403894234	5881.304353916107	918.7003495484556	5007.178242049478	1048.191975257612	5546.457955542588	5935.289805418928	4515.635944386376	1058.3033661380991	5859.462444469665	1057.4777805920887	5804.407897318901	1273.4925270675021
ABC transporters	45	KEGG	1100.0732806937804	3716.101086372949	1790.0875684311945	1952.1808307016793	4195.1247583508475	1488.4230149482607	1008.870227862265	3880.137995931754	2002.3163744495987	3510.275629969207	454.8041488697019	1845.005351351981	3065.5391162758824	2013.8791842918595	1599.5285934734336	3873.288876927118	4451.948226743085	4675.810185548358	2112.6749762338513	1562.299915473154	4449.12474592418	1443.082114483803	4291.8854114945225	1916.8517186986721	3166.7058203185393	1823.0484268479665	2468.1937225143106	668.8109177865281	873.334302901588	673.1266654831542	5124.8727072649135	554.4226382465422	4897.652901385832	3549.3382220964645	2576.289481731196	2386.1811277513775	230.02960486742606	3329.331730252215	2555.3443496738937	1914.2615167434142	4950.582127955549	2828.6623321671927	361.20541379809015	4431.967919528249	1232.5992698826396	4094.625077501207	1121.618472834019	2783.049048509283	1421.1661801112218	2619.562129114561	448.7147934119236	4139.340050797621	540.8432579066167	3206.373847577791	1472.6637953205898	4885.221298319666	2721.4443881744373	3936.397953539222	3254.6615726237865	1520.0700294705523	1272.7334754834365	5046.549120786026	1331.063358353375	3657.1666382406997	1020.2278574885236	4503.987694318656	1117.252821262229	2257.648209604138	1545.8005435038656	4923.690161370042	3537.8620797858744	4474.280955463593	1630.9589146968842	2927.6922781222456	2728.926535846597	916.7833637262763	3466.6855722504692	1848.2608940781752	5057.561932433262	3308.825390483512	201.2736173793482	5548.129962367329	3369.447690273974	3477.8586523678046	608.0151772064592	4841.491167840993	3882.353770327681	3243.1667932815517	1753.704065050127	4927.125391274024	2443.9931260778812	4066.0835319275416	1450.7749631697764	4545.030656412093	2509.79768887386	4331.2810960318275	2116.8973302277764	2568.932860896825	872.5874856087495	4713.110689449993	3538.749991486835	4569.937624722628	2736.8950351703065	5015.530223435723	462.57288439156235	4728.171638481316	1641.357511000768	4428.378573184431	1861.4447929250655	3937.770705538015	4190.192629003226	1852.635628664118	4522.249252628761	4709.991073757743	203.92731298331114	4633.788035551143	848.5570405135497	3776.13146057372	2225.2775594334616	4782.843830368812	1732.92097996877	4124.160007721245	1807.5521898009906	3912.5896079691433	2700.1275333858603	3340.372722170298	2919.7586041588106	3056.521176795157	833.1348409046042	3785.8083215086017	812.9733026594195	1577.9363260518226	3943.558012960296	4192.440361219877	1523.824591024088	2752.4974866735597	1435.80615001535	1629.9275463652154	2871.5411961194986	1272.0730023304618	3889.7540278759025	1279.1085548645453	5350.356916898213	225.82694576173014	1506.395365137845	2810.7080496723192	2085.446943320339	1137.7436055557725	2811.2568991083076
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	4633.334611656765	3395.6537669109593	1546.9041139235549	4343.359575582643	2753.168331544453	3702.622484100995	5124.850636137268	3776.573201885259	2737.9251090803823	3747.808888381499	3512.8549142781562	3889.1119188849116	5068.4940843501345	4010.5106824579916	3849.883292448156	3312.8965695352827	2628.300205686838	4219.654085927557	4158.296789432615	4394.327400899603	3495.6529085265433	3188.0339098262684	3438.774531605879	1602.5432679867658	4290.603813552453	687.4855683019388	3597.931150192864	2524.9738821688375	3808.7347770429587	2800.9587158933823	4107.227156194526	1203.8946300471528	1455.8057089785245	4029.9400614539586	3874.4860873178554	4021.172176459467	4762.875544381523	4528.262089990473	1218.3501845874641	4503.303009656424	1536.1930859586948	2732.4984501868944	3555.311107519597	3722.6102363471105	1623.1719017905311	3782.202594875003	1761.0468568844453	3489.8336427369927	3720.717326839135	3972.1215144889043	2471.2318359757755	4248.385324498271	1902.9605251229948	3570.97425684303	1369.5502028226458	3738.5760726364933	1920.5426249272848	3257.061683083853	5533.253148540052	4164.050486522596	2684.2438462444384	3945.5465243129443	4478.9198141019315	4175.413803178201	2584.8443938038254	3992.391813153699	1560.9581453275405	4099.769527025005	1292.8561794835807	2592.1852422509205	2333.9184955758465	4157.478988332728	1621.406463362738	3422.869871769623	3503.9916622929604	1972.1095143542132	3729.508617139979	4169.015497674272	3734.717697074948	2942.9245513447477	4810.756194641856	3838.0080359367153	3177.5479166063437	4402.621496643557	2286.3624840057237	3793.8355244640948	4621.440163665553	3708.0222694265117	3822.5855478279177	938.671336606743	1735.2725473477976	4045.0982673895087	1999.5268348044992	2850.2597126328747	625.5023958912341	3836.8002471863915	1302.631954096851	4155.930898207379	1581.8474470796784	3895.358170078978	2390.1120049355454	4088.9566985303995	2084.6027403567846	3619.7110736852605	4595.418763816177	4092.631852711527	2077.7987510701164	2696.9899068656255	1558.6250177597929	3703.78047046778	2746.679325068638	4126.831131131838	2995.730496728253	3748.5070062557943	1090.748770261624	4041.2890628448354	4967.961317354058	3847.811975437309	3937.3010346498013	4218.374987862605	4723.205325918176	3444.3455404277306	2698.3760087862356	3867.092809856228	3947.7021692855665	3049.426180790247	697.6876089765307	3838.564343582321	4780.059358543941	3786.403025858766	3588.5303642231147	3987.911932586894	2571.9486435340914	3752.6372973849016	2000.4523310878892	3975.99619940803	4840.331909418569	2125.50687358199	4069.310245217811	2564.662756445461	4273.432541727001	2630.03968570126	3617.609009711686	1138.5512050754032	2858.5721965237253	4566.2609140139475	4384.909907584015	3179.9535575034906	4042.7650401429273
AMPK signaling pathway	121	KEGG	3827.4630608046987	4431.041207689871	3366.589072850611	1738.6161269431495	2833.9363888111784	3291.5123299527854	3772.994093791757	3572.5254269559455	3480.639603664265	4076.030221638721	3892.610720005193	3731.314141725851	3040.534809743805	4121.390361377803	3184.8096266141642	4410.319278159615	2873.913332969303	4075.77189896586	3979.349439076133	3861.3054305437445	3790.320920925774	2780.0569321155085	4291.742141228029	2544.5445313234445	1877.9679084254976	3520.5333895644017	2071.197751099307	3125.370872213339	1394.60923940777	2536.9890884621714	1840.9565646207097	3941.568078172022	4237.5639440868945	2624.834387618198	1573.4544358692187	3572.072956350392	2989.6173457890045	4057.14351106306	3361.9533032459967	4397.24356000023	4203.649846473257	3620.3270779129602	3088.9109220098876	3814.367660802259	2869.511225213887	3318.9722829800453	3017.2845164662635	4736.454870365181	4062.211639960996	4232.516029516575	3402.3564724882053	2953.738261976397	2842.9193997541724	3508.080837337694	3023.174406678146	2370.7663598621502	2613.82259456375	4163.07973294944	4404.576785244927	3228.7054710943794	2528.5359990974075	2815.132571964139	2485.056455173258	4016.0651498881602	3870.0603493213644	3619.5241857979627	3400.3075661188486	2338.6594608821033	1187.8094203106457	3972.2998388666115	3099.405370208043	175.18921735851822	3709.3588954208553	4092.2005551339616	4188.452280420067	2953.7871832419205	3768.483628495201	1774.8901399402753	3849.6463225277785	2667.3769326652227	4090.7319203715083	4139.539522007246	3642.4981972705923	4144.147298459575	3914.216022640159	3722.211364999649	3226.9463136423133	3701.2417653786133	2096.367629225379	4258.459185387283	2707.515109145277	1375.6958153557907	3566.274189060692	1680.0750052045933	1727.0935749165762	1899.3026562456414	1759.0295741917837	3977.3219767980827	1242.1788668103566	2500.8255701583157	3758.1306690501833	5276.9713018731345	3295.2605088796495	4762.261042866077	3418.0247567485203	4320.5193122999035	1024.3488253924165	3354.444155560358	3286.4878974000203	2942.8817772572206	4310.888491919133	3416.3532406138374	4176.344099441336	4167.782811557841	3481.1401963011763	1751.8766569715963	3386.0576789252927	4348.85778595823	2863.3091684994997	1120.229266664598	3902.666884085933	2819.820780152839	3407.6975691027037	420.44401203486876	3819.8668927867275	1212.0985358386315	3783.1231570085356	4390.287645439687	3904.1544819429573	3794.3002286986775	2342.8724449391857	3084.845383216795	3956.4488686432014	3028.6427072079246	3659.7383974996997	829.0779992332338	2314.6595611658313	3412.7189447645032	3779.1871169255746	3473.3978409475008	2392.5257861916234	3796.7874517498103	4143.871296121241	3967.2542557966085	1930.8299163397835	3511.932604265785	2923.0992583296425	4288.801009610088	2625.460671803401
Acute myeloid leukemia	66	KEGG	5058.543914890224	4404.92594843277	4716.976414607329	4681.899862258276	4896.352149286938	4069.0093699694708	4836.908249859433	4706.015595875588	4521.603544020655	4573.197788834056	4594.094351646787	4177.300897093472	4275.638311730287	4518.252840908345	3022.9673486607617	4721.384373328733	4280.594418662687	4795.765440769424	4462.846319178705	4980.982758593668	4038.5273890869075	4327.108222533519	3696.2724561849973	2970.6914850398975	4489.3035674799075	3212.435579043544	4106.699650758358	3810.334424915789	4239.428867285148	1326.148921449931	4386.838815698556	4743.278083944633	3151.5060161959177	3879.214568669917	4496.629488704539	4425.799399907019	3653.6812713281834	4410.434134124924	4399.585554666105	5329.772581859161	4272.305497485368	2978.0026579510704	4573.819321693101	4226.991986966167	2046.0676856208734	4375.959961779044	3876.518529580776	4694.523894896009	4228.494109831228	4491.916445741705	4779.783769263486	4352.864435033712	3993.2600122266417	4407.454278240152	5135.1985375365475	4259.459860006571	4341.8134492875215	4400.718213138402	5203.069998639952	4120.745978451469	3473.948714013238	4407.6930695553	3253.446089226849	4346.514972277538	3971.9078674113766	4692.892822296123	4331.696022685295	4522.1686922789495	2438.6754894708947	5331.993563043288	3197.308820506694	4315.803125870959	3862.0724339233375	3330.266823874344	4375.101624595845	4445.97841513749	4110.695186462232	3037.389608224341	4570.850031919052	2885.459242051129	4710.470180422331	4014.6276866373955	3304.917867192746	4757.724698365015	3108.0848789899596	4126.601557202321	4414.625267890554	4163.135396788135	4257.133713520909	5388.087763229701	3124.45282471804	4180.626654606723	2910.138152225103	4389.545559233957	2620.4209944623017	4313.883290275787	2472.773899430012	4907.971833422618	2573.8288212587577	4188.887262063116	3807.9698343596397	4742.070771012782	3057.0891590735405	4022.4352325474697	4508.9806516146955	4262.116940439249	3667.6149485464834	3880.470373962509	3263.382533156377	4398.920567023275	2896.842390922122	4455.107226170173	4795.309255991034	4620.566548610329	4786.474662394387	4406.851834462862	5358.116762904353	4490.642220167646	4328.337771052462	4491.435415669305	4451.603807113569	3955.7719790178235	4615.956783815886	4305.167472380075	4017.438368264211	4464.542894045241	4660.971848516757	5095.67300121059	3195.883420642943	3824.1135803883826	4757.373160926681	4543.787981429873	4245.076105222988	4636.759764880033	3491.423096927911	4298.694662944629	5300.901477825574	3745.170685104523	4560.808581773253	4315.960362749894	4617.537708978891	4074.13068758952	4640.402115844741	3720.455355336139	4334.148205642778	4010.2019865110374	4550.705890622342	4832.931953272956	4289.241532500085
Adherens junction	72	KEGG	5470.499933710651	2551.590355987759	4671.223386866243	4215.066271517192	4594.695910497057	3222.530627449764	4552.293522649323	3590.073697216384	4693.510431691085	3864.365020938267	4739.197734252237	3053.2336092832657	5041.126027382972	3977.3966835715783	3006.02765782313	4011.42969994471	4321.22837208514	3928.8925809889142	3612.191305979159	4599.006519091465	3567.7520216664816	4669.568430966321	2806.7494576866984	4653.928282438531	3717.2953112003725	5478.578567239554	3645.5502910560595	4460.860963987502	3834.271806418398	4451.185840568935	3991.0370687768986	5060.760351310638	2546.775108465245	5373.070161940121	4081.8618218821607	3942.508006062636	3009.41276381758	3724.485310037857	4650.046576838835	4985.828091718574	1425.2519679153231	5443.513753770354	4405.914195798157	3714.1964257293344	5032.935743957966	3588.337556519016	3752.3723508764688	3379.2999166397663	5349.309246615658	2749.924018471953	5424.845761812923	3991.550746429638	2986.5194138611064	3728.8024740923056	5032.211991242928	3984.145505935401	4980.744582925065	4252.573337369051	5606.94105350786	3847.717593508819	4218.619852523102	4090.423084788908	4219.071228256324	4142.485607557972	3610.1762788329506	4207.14867446488	5477.690038481868	3612.057689096307	5197.942139073479	3173.0699555387637	3848.5155892786693	3984.258835801517	5355.935981813509	3202.387721059694	4134.76634289081	3582.1305349264253	3692.636045437126	2694.1780786332806	3492.718205367369	3847.9509765666294	5443.473445313445	4198.447757966534	5030.307841045442	4248.736691052688	4218.599989072648	3630.608965204952	4591.305856751921	3698.5005502102913	4549.753856977387	5139.118431779431	4878.034475001829	4274.5772562512575	5687.48913007652	3720.970258282059	3434.314493456808	3166.774715569223	3705.288661090896	3625.1170668161685	4043.892138106982	3216.574233783707	5713.927391878956	3883.027739821457	3873.2306298463186	4199.891555446854	5553.60227007436	4003.89519741482	5258.923955818673	3508.3597675702354	4978.18390005054	3221.684744393656	5214.08584964459	3754.9052639991737	4491.385598339533	4340.854740270528	5567.093452632396	3495.5541830560064	5448.278280105761	3591.648812651316	2967.8655027906075	3984.568439373124	5518.871491178303	3301.4563373355154	2936.9965752140847	3867.3270748022674	5290.889033622451	4068.517781084038	4655.828808234704	3775.439420603476	4551.420071085917	3697.1123261498324	5653.935103155336	3849.2966536015215	5205.774035920848	3570.292593946928	3162.138234656872	3487.7524367503847	5307.1579361449185	3325.206776905694	4150.509376011028	5054.967904219066	3952.2746695447026	3385.99387971315	3826.3888634845757	4909.745536909363	3926.4046548793804	5093.72859839922	3846.2640361244926	5033.820909182191	3629.0513525049732
Adipocytokine signaling pathway	69	KEGG	3710.138036788851	4000.8036478509684	2803.14956998447	2294.7222049121424	3010.545467908934	925.0696551661667	3931.0404873328985	2395.912634193667	2594.5522147789306	519.6739731723628	2175.400510167452	3040.4060479085724	3859.8610645433896	3716.367227852791	3307.861974885746	3468.985032691326	3246.031215370061	3981.734322142671	3209.520823275026	3545.189751586898	3227.146353672273	3937.7459455688186	1960.235380083808	2604.140393022659	3170.3965968610014	3649.439618628731	2182.120121563353	2059.1863018721688	3487.170370776051	3136.019986560415	2260.234440037587	3516.470258476987	2853.986192000879	3412.0174566043843	3446.244918288467	3129.2904488768622	3208.5904640959197	3845.253310562181	3611.6239079100537	3488.0066248972303	2811.8645317023697	2963.621542098142	2740.805084376443	3514.7069067053153	1346.999848034641	624.7225470834252	2461.9910216935923	3241.995362567552	1863.9501429275672	3998.7448038905595	2913.928216977696	3393.634508010095	3456.7290239571935	3330.550029932747	3967.432741909369	2686.5929289613655	3784.766829645982	2636.303453009373	4047.6915136361717	3235.781933817536	2230.9233702965284	1839.5536920528195	2633.6770249811448	4236.755193251395	3515.244915525787	367.0550671368832	3025.5819180021786	1954.1921686836406	1555.481441095124	3469.800406806574	2632.2273606044614	2952.1094336530127	3862.41725702011	3053.7660339706863	2228.0595794337487	2228.634009262804	1880.5579041225499	2120.237485264848	1131.0956971990022	2562.7349311919083	3582.1164881128175	3246.1854433932936	3875.1707253685813	725.7605043522689	3464.4640738442044	2949.7926725742473	2395.191131315765	2700.274874648193	1765.1018692027187	4102.5033700084705	2832.9961438362807	2696.3524525490607	2871.9171332005258	2448.5217755261688	1610.5608521217735	2312.822155622593	1903.3439615302527	2165.661485498355	1905.58111113184	936.0424653260363	3855.3643785362015	2403.6888806801676	2533.8767529683146	3635.025158858785	2621.1833715689368	2742.707549980874	3608.029900326573	2417.244729477187	1500.9753632371035	2891.3848018524855	2343.0079359674946	3391.0583208672765	2015.719109334747	4044.800736355232	2798.1716303918392	3490.648889743509	3843.3591374245098	4347.60808429722	3959.797447609262	297.43911837720486	2935.1479643179637	2262.1657219659437	3268.352029076935	804.7632353398644	3860.219728668237	831.7193727022827	3875.6493721710926	2541.1523415692996	3970.972181173422	2222.3985763851633	2622.7831404569984	3994.3908552969424	4175.759682132724	476.37591497684076	3771.1879454110526	3104.114633116097	2969.7655854870527	3223.1238219508405	3087.386233854044	2258.975594246509	3070.9056944256063	3431.448749749235	3686.4777470345916	2342.574315328028	3880.526660250144	3521.2668898575103	3745.148981991659	3457.4359931008944	1626.63398213857
Adrenergic signaling in cardiomyocytes	144	KEGG	2996.7922196320123	2676.7519957810923	3214.7011029514865	3492.25217945153	1054.8427180041592	2580.7945426576907	3509.258820102339	2636.3875381958605	3322.6988021714246	1128.6335432626036	3618.8097506637964	382.5875424047505	3522.101657018002	3088.8157501699643	4142.133975196711	2523.00072840289	3890.880539368249	2964.4302377317217	3296.515558031634	3511.427110515809	1144.6065909608544	1938.4099189163999	3180.4124461417186	1489.4485077591069	3535.8605622413374	3157.9229791284542	1975.8321491806541	3525.650798308383	1988.815230449124	2911.31881708472	2681.229016255156	3588.3960590915362	1351.3308395522058	2502.3549980877874	3011.5721789061395	4124.880894258029	3164.484175584326	3441.866341756568	3310.3406976893275	3889.580263943124	1698.0023050299956	822.5894061859087	3683.6309884564903	926.1901459675994	1707.3326210645128	1572.9779863339638	2227.266175087473	654.9102102096897	3918.8550558687643	2967.540895073631	3649.4259874937347	2252.736935125592	3671.2360675375703	2248.6634570461697	2428.328300488002	1961.8910638592472	1891.9962423455709	2833.5471685979956	3888.9856296923663	2394.159386828931	2887.8796004047354	3071.968287404382	4041.0704221723468	3315.3033619421694	3747.4262992153363	3541.3684474660436	3726.3968828613897	2383.743809761411	3508.828279916771	3318.151023774012	1430.3588899175402	2685.9230652807464	1920.3053464733532	569.015184619157	2263.4961967886165	2258.3250007714005	2615.518546144397	4099.551144319937	1371.5976526693698	645.3293902300957	3555.3238502229833	3943.4942889473973	275.2672240240597	3998.825877730404	3665.295217320392	3580.1010973726734	3239.06342086441	1925.9125410109907	1379.936071127542	3898.7173515572567	2418.436749520882	2420.997783051838	3657.120386728065	3117.8595343624966	1269.5681108096035	2605.043003460828	3081.667300471169	3744.0810237808914	1039.799551826924	1621.733359767303	2656.493356972715	3330.846634150619	2724.6867088344643	1247.44825449517	4106.212357335686	2478.455194121636	2476.7135646590095	1827.8864010479735	2086.368312430255	2819.863020281951	400.0456199205987	3509.861897987068	1225.107322607899	3781.491195850316	3356.1189209115255	3606.503609145339	2911.4163235101346	599.0808250632767	2847.5511161441464	3249.965186756399	4223.835995807786	1618.0084696062374	2263.714572211475	2741.2919393226757	4339.751608463723	2226.2367807417177	2944.602887285993	3177.8319433945103	2020.8141551017427	2264.837245447695	3024.2812341092194	1114.1488758045193	3912.484585456841	3666.9009631458753	1229.6665822108869	3651.722693589348	4178.40087995239	2390.810637296819	3799.3736922866156	1221.9825506375885	3480.9215536439197	2844.556093827737	2644.0545727916433	1964.6593887392046	2706.195313355543	2910.3539314073305	3644.9359218530235	3356.5443650602183	1634.9947227972307
African trypanosomiasis	35	KEGG	1318.6006803381906	4266.77675164273	667.2840675828378	3383.330577967105	740.494508171831	3586.0323753231396	981.6914030889719	3439.0996167983753	921.6691498289599	3535.706562403003	3433.9015134674614	1993.2906018766844	4210.528381325718	3132.7777434953496	2849.096874459114	3800.9660143490864	2713.2947007516505	2612.894768600437	4707.672626827612	1722.87756761741	3138.6945679474156	2462.6030316368865	3161.914169905749	530.969464908826	3140.3325069067064	452.66508628520666	3319.736538262068	144.08972655478405	3254.1680833821524	38.767734390388526	3075.646089002089	1624.6415504679662	671.7407512957024	3231.0246200428433	4800.361739362989	3655.2953816816043	1414.509773398535	5074.3418363595265	1559.4945201247556	4321.047941158653	4074.954332724997	406.32256872411875	599.5049959950919	2258.6029132696963	163.65390265867407	3864.1285539394585	59.8521024576578	3203.651456185041	2597.2433229127178	4831.318180597271	224.06051416489743	4365.56485658812	2349.148846541524	4418.513493296045	366.57517178302066	5265.898012831166	2822.67976432222	3340.070933536697	3536.3814078398937	3828.187980853274	251.04739654669436	3058.5730016078614	2631.1930880082728	2220.7497140793243	473.405404028393	4473.303473691618	349.0992738308816	3625.9083088986367	1522.2443257856746	2418.7511175939517	1156.3782458614317	3618.016766333524	59.502162853979485	321.63937119363453	2988.0988222995456	2246.8810543448776	4163.353101056389	388.39512598323836	3493.504068350141	2754.358382701078	2222.7083994306586	3564.67131469926	552.6984349198716	3990.298153425659	737.5776976501247	4534.852325429206	4540.524844253589	3665.535022486816	357.53323960188436	2611.96762982206	2924.0268690652047	4802.776071324509	4.35150640222458	4518.319531677976	2254.1204451714293	2226.9268455860033	2198.228259869987	2688.4645189173693	233.64122060283555	3633.5711851598703	2585.959298219715	2991.4912081327666	1737.0146121302944	748.8616949197169	2790.075067836372	3689.9116525559984	2554.2346514131355	1217.905266093459	1290.6555096770248	2936.62126370246	3599.684091818104	3760.4070164688164	1093.5115464233945	2533.507333745318	1111.8500614053285	3327.114203928338	4439.652850512295	3231.3809744534465	3620.4720918220096	4041.7941298747182	1175.659015646671	2788.9833706490904	482.13526043039616	3072.7262804517873	99.68222908446162	3143.0503640995953	871.1177268784255	3126.088519792481	1722.9213421906175	2541.172992540258	3338.5061450381663	4001.2161219611644	2036.8443680404073	1884.131301435501	577.7896332596841	3090.810140472077	1800.1612089107807	284.0309607758202	2903.9214841328367	104.61416027647046	4052.6701378480375	2912.005273235963	1512.024600809335	261.9086446555279	5168.888775624314	343.1769879458475	5044.067485697895	134.1982223282757	4657.129126504932
Alanine, aspartate and glutamate metabolism	35	KEGG	4764.719044788967	4084.054485192002	4572.487884114408	519.2877690243425	4920.122187786874	572.5690416391651	3714.2399844411398	3007.871384643487	5185.245916032213	2463.971926356419	3542.249105109191	5604.781022290639	1181.8170170041478	606.8242700848713	578.8599142023143	3528.4634305055006	3988.7012748643483	656.7812667522912	15.077697750221144	2609.677021414583	2569.537834103663	5189.750773446573	3813.167573366229	4603.04305232086	656.7262523614878	632.7610002293732	659.4703078928218	4214.172069860483	386.0818469193339	2786.4532809087023	929.1646943951142	4499.67657125696	5447.753140636048	638.5686885640115	693.8811498751613	679.8446476370045	4058.54121410289	529.4454383616085	2378.1371600611005	5207.575465888259	897.1212947554615	4072.157109702629	4038.610397293833	1166.3434866424775	3794.605277144461	448.7578534076971	2567.064320925391	320.63665368310967	2968.0472870833582	510.20109753911305	2669.4469176577027	669.2373069587304	2191.5980677734997	645.7217923105657	5017.708335123473	461.29340314404584	4853.107389493875	741.8884813522162	4535.659819723908	561.5593781592094	1538.493923606314	982.0423611974621	2565.769054763004	921.934683504433	4108.868629971245	795.4347963277705	3239.4242203699864	565.4362339277499	4100.1303273113135	1201.8633785282975	4330.865048688022	635.9509072801543	452.3287947044618	4944.674993714873	2883.9643416483623	720.2183989109716	629.7890563326072	1207.343954723314	4867.522536058369	1015.8104931880496	3723.2068600708994	5547.021184431525	5022.912873927552	1510.1030177928187	3065.4233228864114	774.2396276686039	4505.040357476793	698.0586988088257	5088.829318814353	5702.713597314797	458.77024241970986	643.3557334953922	2558.650503010292	676.8605851432947	4313.000640327083	198.0750001237907	3347.4358441825375	1001.1448227286545	229.33781700538552	103.54955746557502	5103.894815889526	677.6635752016088	4384.5115908819425	4953.692513616664	2140.354437489336	795.854182635628	1060.5635387635805	5260.650723741052	5184.22692232118	352.5522509672992	4941.868838626078	709.2836693042315	3679.868795633541	5491.053320363676	3322.146172247857	1015.5331977079892	4636.675593503322	559.7369207971836	4613.490809914386	555.8426355281207	447.23073389304295	983.1284248392374	2676.810189989536	212.32160632594312	2944.237754480172	1084.690711493423	2858.9332837864786	497.2986733418434	5399.8351457603885	1312.0505800059693	2167.917321141439	779.4621981916993	5671.604397061858	780.6767364888628	5377.112940034843	580.1598760549789	3684.423123971574	4712.601173350103	536.7927888727968	3743.7897712732347	698.3575127948251	5266.870726762653	5842.3870252472825	4498.363204291976	294.23958658106324	5291.673265186864	863.889871783957	5369.730034183033	733.7067588761528
