	count	db	C3L-00103	C3L-00103.norm	C3L-00097	C3L-00097.norm	C3L-00088	C3L-00088.norm	C3L-00096	C3L-00096.norm	C3L-00010	C3L-00010.norm	C3L-0079	C3L-00079.norm	C3L-00011	C3L-00011.norm	C3L-00026	C3L-00026.norm	C3L-00004	C3L-00004.norm	C3L-00359	C3L-00360	C3L-00360.norm	C3L-00369	C3L-00369.norm	C3L-00418	C3L-00418.norm	C3L-00447	C3L-00447.norm	C3L-00581	C3L-00581.norm	C3L-00910	C3L-00910.norm	C3L-00416	C3L-00416.norm	C3L-00448	C3L-00448.norm	C3N-00194.norm	C3N-00194	C3N-00244.norm	C3N-00244	C3N-00242	C3N-00242.norm	C3L-00765	C3L-00583	C3L-00583.norm	C3N-00168	C3N-00168.norm	C3N-00177	C3N-00177.norm	C3L-00561	C3L-00561.norm	C3L-00917	C3L-00917.norm	C3L-00607	C3L-00607.norm	C3N-00246	C3N-00246.norm	C3N-00733	C3N-00733.norm	C3L-00791	C3L-00791.norm	C3L-00902	C3L-00902.norm	C3L-01302	C3L-01302.norm	C3L-00907	C3L-00907.norm	C3N-00953	C3N-00953.norm	C3L-00814	C3L-00814.norm	C3L-00817	C3L-00183.norm	C3L-00183	C3N-00150	C3N-00150.norm	C3N-00573	C3N-00573.norm	C3N-00577	C3N-00577.norm	C3L-01352	C3N-01200	C3N-01200.norm	C3N-01214	C3N-01214.norm	C3N-01220	C3N-01220.norm	C3N-01522	C3N-01522.norm	C3N-01524	C3N-01524.norm	C3N-01261	C3N-01261.norm	C3N-00495	C3N-00495.norm	C3N-01175	C3N-01175.norm	C3N-00834	C3N-00834.norm	C3N-01176	C3N-01176.norm	C3N-01178	C3N-01178.norm	C3L-00606	C3L-00606.norm	C3L-01287	C3L-01287.norm	C3L-01281	C3L-01281.norm	C3N-00148	C3N-00148.norm	C3N-00646	C3N-00646.norm	C3N-00149	C3N-00149.norm	C3L-00908	C3L-00908.norm	C3L-01313	C3L-01313.norm	C3L-01836	C3L-01836.norm	C3L-01286	C3L-01286.norm	C3L-01603	C3L-01603.norm	C3N-01646	C3N-01646.norm	C3N-01648	C3N-01648.norm	C3N-01649	C3N-01649.norm	C3N-01651	C3N-01651.norm	C3N-01361	C3N-01361.norm	C3N-01179	C3N-01179.norm	C3N-01180	C3N-00831	C3N-00831.norm	C3N-01808	C3N-01808.norm	C3L-01607	C3L-01607.norm	C3L-01861	C3L-01861.norm	C3L-01882	C3L-01882.norm	C3L-01885	C3L-01885.norm
2-Oxocarboxylic acid metabolism	18	KEGG	3962.121460219385	3462.0891889999352	3922.8778838332614	3108.3577355333955	3990.486186764787	2979.9559209302947	3766.720930152044	2972.8360224686826	4086.3793296483927	3142.597679812983	4005.032189575203	3816.864743826305	3836.922215045166	2917.092102728786	3510.982071800285	3118.965489888101	3994.8617659493198	3188.161414549254	3149.8863972147556	3906.7381962722347	3103.7168628280165	3889.7534572655773	3398.609289516319	4075.4426367944666	3074.3697753629576	3963.1413757895657	2870.493817542431	3750.2260834061726	2890.2139990208775	3955.2423564654423	3156.935719367194	4054.9873166244756	3475.159679150914	3981.2327922526415	3005.351987809758	3312.2546351659894	3946.7356853494703	3106.8791855789286	3983.559286919983	3834.9720593035845	3031.423651660483	4195.481668772775	3967.078080208451	3016.362948900135	3980.719812444744	2972.684741501	3917.1911937700233	3058.438338272899	3733.5690130661887	3056.203468738447	4100.984008651096	3223.521020633489	3798.2234494018094	2992.583558789417	3893.950348866631	2960.824790145987	3929.392452613433	3138.780395808225	3834.315204892734	2945.91529126573	3980.667946919381	2702.3471024598407	3841.7880122440647	3319.7414411434647	3750.34705726496	2701.618644801321	4066.230734163604	3065.301509669188	3938.0377445606873	3420.3818217504218	4199.846695383757	2894.890470800821	4015.4281649295203	3980.9149581675056	3264.5272313783507	4016.234691141118	3176.979797679347	3917.6103406567513	3354.292300238335	3953.2307823023884	4048.7212167214398	3799.197708479636	3797.5213865841406	3563.6885539670834	3771.393244435468	2794.7795641798143	3965.079823174736	2962.042514972007	4048.6141395165305	3929.5665521348083	3983.983453827711	2985.514055722023	3736.865145004846	3386.1389623909454	3423.950590878153	3252.6641807777864	3933.088851835403	2947.9541647013643	4054.7191345371057	2889.909058471503	3912.1374242799843	3008.307171257361	3997.5353854950363	3641.8763640073535	3842.5419515060903	3124.550180978077	3936.547567432077	3549.4100399163726	4038.0327189272075	2941.880656847412	4283.22006665359	2764.6648547842947	3642.2510513023767	3746.2801272762235	4033.9833732680418	3342.054890563901	3789.35396871932	2878.2407626513473	3856.8594662116293	2839.289611540362	3963.8557056552663	2975.246238905172	4027.255402277498	3135.132099557676	3919.094110677012	3177.9627749314905	3710.2537052841326	3090.066225326967	4005.3561274921735	2973.2805383585264	3871.19633520348	3027.8922015754397	3948.355170873915	3221.913141678768	4036.2475341690747	3326.4155161809103	3592.95036221884	4054.577628988083	3035.3545824141706	3905.454517754274	3079.7519912817747	3998.48316113287	3856.764109177838	3798.0529341778756	3144.9622955679893	3965.9849398218626	2904.735400482847	4052.1048876759473	2772.835881397313
ABC transporters	45	KEGG	3508.8629061051947	3639.4498524493256	3808.413500032199	3287.2403415600866	3859.137024034859	3606.093935309149	2754.577800400787	3698.1502356636197	3685.258525741897	3621.734195264401	3742.090418380197	3495.232300691621	3538.659036421112	3594.986745804188	3390.043602388704	3620.366507666012	3879.533094147313	3718.239267465763	3738.3434774931893	3238.9861234555797	3870.634054460151	3578.9507778915513	3788.275366706125	3733.9413983851773	3610.7656611421316	3612.654852036629	3471.8062941911758	3429.0223752561074	3595.5676679106427	3596.362910430182	3935.0646266657836	3394.088558907339	3860.0129338403817	3759.9062660679388	3597.520464344583	3655.05525196962	3374.512404498959	3639.0710419830075	3576.057259367983	3003.5222567406477	3901.274169932017	3491.6287756199017	3037.2752352059574	3888.940125987478	3624.794127013756	3642.3583056411626	3501.867021348354	3672.7292994368454	3167.840515169096	3609.383296360516	3430.9667659579413	3504.9225692712325	3074.208043778172	3803.7231974891097	3588.889802774651	3917.173269035689	3602.201414828587	3728.9218490046105	3727.6194668333032	3365.875249809038	3619.8274845870146	3844.5791632163086	3413.556369260804	3688.251830949311	3422.8112772677005	3849.8345343420815	3349.1023825217326	3327.9349290319124	3647.6824181439424	3799.0277085204566	3906.884387757932	3658.7813264792367	3617.7296496594445	3669.634772246559	3679.4937641470506	3564.339606404943	3832.8583134798746	3709.821391416881	3980.139257394684	3973.0153538164277	3278.944380630196	3914.5275949674055	3649.918420716367	3523.496259802855	3288.731415409368	3727.0713636123196	3579.4432747442675	3571.1364512966265	3486.6261546067494	3660.2100230187593	3866.3949882685165	3576.8831203092795	3528.7416548304686	3955.0900149367067	3659.9852022797572	3762.821348996696	3687.2771860734256	3606.598996227158	3582.9160749322523	3940.950094796058	3705.0926453465945	3740.9184322871956	3619.987462372068	3890.3753814225292	3420.2138389897787	3819.8681652400314	3654.1492648512326	3978.4279470269466	3622.32194683086	3695.193108085234	3908.2057402359505	3471.123556033505	3624.921265948263	3583.044272929374	3464.955157640307	3767.7939210237614	3375.482937709918	3651.2780136250863	3840.2614606377247	3828.063159884462	3090.80732033803	3706.024150267659	3480.4284382145297	3641.254880783956	3280.969956889732	3534.2702130535386	3642.529686115965	3638.319326214831	3451.8644728183294	3640.3287651792175	3533.8869596292334	3196.764305300104	3693.7720693366687	3688.6795605801717	3506.926573015619	3514.612047832805	3593.7430157743674	3467.0798080902696	3627.6386156145977	3483.969206803847	3503.419944386493	3350.844090530918	3805.9731689060836	3545.1103153306153	3502.190501319733	3532.0454318124252	3429.602904567235	3487.923371450092	3578.4101957734124
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	4666.568135412895	4115.659062117515	4542.1114788550485	3863.3264170493853	4634.023472835743	4151.039544588217	4249.631230517492	4010.5633325196172	4744.99409222339	3837.2167612609733	4102.536334720782	4091.928586082545	4331.537295581779	4212.047776288134	4377.054721886632	3765.7411311220976	4445.452378189597	4041.7050959852168	4185.281137666317	4796.507635164069	3666.934077751894	4276.529409788462	3749.5728528638547	4148.920417924668	3840.5529146598465	4341.43144564849	3671.56626258442	4768.009109017877	3774.1884773137344	4860.128071462903	3704.047243564774	4466.631475953344	3988.7128901086444	4533.481183691339	3937.5283319543687	3901.5117745385155	4758.013271890888	4108.168187489783	4213.258424966316	4984.0417056183815	4086.036506282149	4852.018270364705	4378.136978001351	3697.793423716559	4565.09910516709	3797.0361854421167	4768.583963969176	3722.383487126715	4354.712632429457	3971.921369132721	4575.869812516025	3827.7650566685106	4437.905273462607	3934.9827990119843	4994.648559219665	3930.7723218199612	5207.43624093399	3693.0165816545373	4780.46537709496	3780.1115291346628	4806.631748872327	3637.5594246890296	4533.899035266746	3881.125156358537	4402.502488214341	3845.7271524851294	4524.182052756076	3908.314850861745	4609.099698097675	3879.6977542150635	4659.138336606585	3798.2464254927713	4570.750393504724	4601.634631598963	4254.435724526648	4023.398199162685	3770.0389742003726	4155.191234365495	4061.7971470810053	4752.944341705387	4577.082277223917	4729.83926608915	4309.941789348133	3879.603035720296	4408.938575644907	4405.890378694975	4860.9444859034975	3953.9233954465662	4633.246141905986	4456.733483620177	4619.510194860549	3796.9754337141426	4825.054813054165	3817.2980537802505	3834.721560439061	3711.507540587573	4803.535570326851	3822.544282785121	4648.489522354425	3769.6629653961622	4516.860969088853	3699.301207885821	4662.311506459887	3677.2868499334268	4470.056153999961	3827.27151279076	5051.136955908598	3695.3687010817134	4823.206356297809	3639.0917534617884	5208.294967197978	3973.564613724159	4291.550048528774	4593.526784747104	4672.688896784535	3771.187699848858	4954.118876508643	4182.101016162352	4558.551129819367	3806.5632365318834	4722.008442787888	4302.216423237646	4904.171858042052	4004.090624703408	4435.976172410519	3695.862793387822	4346.896063268791	4074.7769655354423	4863.123630401497	3817.551325427966	4869.365817227762	3929.0094026026995	4655.804514118731	3756.753816080641	4245.493763054375	4107.521176903843	4248.02235585802	4611.507784950977	3779.661838415862	4967.729847444503	3928.1883122369495	4802.146225329662	4267.795997903806	5204.565867015663	4125.260754014626	4541.087914931089	3968.1546211683094	4241.76320390034	4022.6499369704275
AMPK signaling pathway	121	KEGG	2447.9977765195963	1981.823982705763	2627.3022659594308	2600.2215814149536	3524.246248780307	2125.407825877742	2600.3654765818105	2698.3453660631494	2739.6377753465586	2269.845156720329	2262.40236568428	2371.5271100166487	2546.1169679549084	2232.3778230262874	2641.891931887897	2463.7845374451863	2910.163684717476	2338.037775967011	2784.928888173576	2676.598499498819	2218.463019554046	2766.799527048143	2146.761248183679	2637.212651832801	2328.48063062579	2837.754433992921	2524.4947471688847	3059.534964464651	2352.942759825606	2816.856330240662	2393.103359820338	2648.363154427102	2108.440654503994	2595.09730772646	2477.239524635173	2248.674121326502	2789.8135405666303	2406.2354785394564	3051.8561055275995	2242.3975321052803	2920.4971954329903	2585.0753221339314	2882.3781821389616	2416.8903513280825	2577.6971451668005	2408.011657927235	3126.6356437808245	2198.77093090092	2280.9115163548036	2547.0108122209126	2692.078465173687	2322.6155030738064	2170.006911557884	2324.1857723115336	2785.54095474465	2395.13027750289	2393.1510102430007	2270.775982083057	3314.0606091336367	2463.7620334940307	2460.5472260469055	2436.0504553424885	2493.1530202765844	2362.6274948508844	2664.1526889754687	2146.9901459955813	2531.0913722253053	2475.5315269240577	2936.550441594756	2346.4724385248787	3004.4989257638317	2349.6102802032087	2844.48001203159	2376.0866995850834	2317.9434515009625	2634.1233496666296	2581.4481689884783	2237.480656922949	2800.2722864821153	3051.8066366104326	2470.3718026878187	3864.143446058676	2752.5536240123356	2504.1207665646943	2548.9667262223334	2439.962796211345	3319.5258689345437	2626.801483076028	2389.1132551278183	2527.0637069219256	2842.9548995330624	2606.2351094109667	2688.631394818099	1981.4968497585276	2517.7629293197647	2122.948084398485	2788.7599552306706	2016.454590364654	2622.251859506455	2497.9442836602657	3260.2133888673907	2094.926119087411	2976.7914018341876	2679.00457523813	2585.993633221323	2424.7920646652105	2834.729698235899	2545.5957889909632	2454.0905911747973	2507.074467738414	2550.7492472437566	2425.0026961477265	2090.528875637799	2602.145244120888	2610.8972971486182	2250.710789473657	2341.6077734403775	2301.577361293534	2791.7358615978005	2344.2181742999146	2044.2923758046245	2465.6859296445323	2764.3841447361247	2241.8387161964774	2487.800332782982	2275.5976522053825	2790.307574604928	2255.048062804103	2494.4353438362073	2507.8301858789164	2593.3272277513097	2451.885284641548	3216.9004174873294	2203.2448815082334	2644.0762742087945	2155.143134782465	2396.156080900107	2789.6984378385177	2700.542022966459	3044.859159639678	2846.8213036752804	2427.8985077384573	2778.619204898662	2724.0231304180347	2336.349013858004	2774.860363103049	2382.347032019505	2907.085511539468	2314.5504291442903
Acute myeloid leukemia	66	KEGG	2849.4145523720395	3598.156856999958	3282.0600179491544	2816.39908505611	3684.015140611187	2911.795686575464	2619.454496531597	2850.49199599426	2954.0312130577354	3941.6858281154214	2639.4963282822573	3882.963127363167	3416.196512203721	2799.1797810365365	2481.7847441307285	2702.640307616601	3438.866981162161	2597.67267405294	2822.126792648591	3378.281710490294	3946.935301115778	3475.340834092062	5018.514766956748	2239.5393753784424	3161.5651649528495	2153.0147354734067	3423.488730100487	3160.726883157223	2724.5887397552096	2626.1917502017545	3046.200362455118	3538.7357788922272	3979.5877653846687	2453.519488196988	2817.5248699501853	3000.983307236784	3025.632407454907	2967.1515497733885	3386.8137374478174	3030.720588870183	3199.1420971350103	4305.202005613152	2928.1667277273227	3604.2920359511663	2307.478192371189	2956.8814782011054	3321.850701623666	2748.2098004249087	2189.9496092553586	3389.395305589632	3530.613050130635	2721.9014373865766	2534.3432692119577	2492.7376455760786	2631.9802344074324	2764.4810893621593	3806.3365491843324	3320.4166066441653	3184.652486013276	3412.1060534418684	4060.8179846447056	2944.2960731460166	2591.05030847065	2877.766943887431	2562.015944234308	3573.017797012211	3161.949775216265	2819.090609153901	3185.8568143775506	3202.779238088075	3695.1300629689426	2793.2301786910048	2659.5681770306005	2802.180170726952	2611.067961539322	2751.6795414635258	3464.119741887043	2855.130593112582	3962.900230782767	2401.5257023830573	3701.1873940039927	3496.0437217137237	3181.1395876601173	2804.586035034717	3018.3016568686394	3126.814989109225	3333.561727410335	2795.829403466564	2597.8242549996526	3630.227175894209	2712.3665348488994	2310.5124668232475	3417.3990349410133	4333.895909628073	1696.4677035990676	3955.5066197426063	3406.8906305396176	3244.043620517864	3010.7658597659542	3680.0265213896564	3550.2023857962085	3835.6684602939063	3717.420334198277	4919.314211177421	3434.555007953379	3492.5522751556036	3304.5480246986713	3125.326667635032	3007.1523113504304	2980.488083222178	3181.386289017689	2897.4983171490358	2626.9519730031607	2968.7384460536955	2979.429085180776	2810.045921683474	2279.6575415100674	3966.728505100562	2944.0138849192326	2864.459901311243	2370.301253530238	2656.3477182899665	2549.9942794047756	2619.388088806689	2908.158487526768	3217.8945677399274	3191.0722280030186	5135.029652977868	3763.3594731740486	2977.0271076217487	3169.7555588801933	3142.482495980233	3471.587481735972	2865.3131636714884	3213.689887981431	2731.2225066845235	2723.281837317536	3428.521588221786	3285.572826930652	3541.0909579236163	3001.593976854475	3281.7429365042913	3305.5544909746195	3136.5008476926837	2684.114169086934	3311.098908431683	2676.110937585715	2878.5341584649	3206.9772409633774
Adherens junction	72	KEGG	327.3958832594653	198.67457730511384	326.7109771502819	225.5254086129653	236.29716649437188	245.2851477791562	308.4339722644476	234.73999820248434	200.15786617735975	267.7878978916146	357.4367458682472	231.83679474582786	407.27942427748866	242.72340060327588	340.9429606845117	289.0404836728985	368.91379559958943	242.50488932300004	340.31043647573074	285.7269914200359	165.5432818215985	287.26840584215915	260.498934028173	228.666982649143	253.0982761483847	384.8507715265522	235.5683355303658	224.40671240844708	308.79619240568076	376.84842771207605	225.36621999332945	239.95696548097246	142.03568829525838	334.99602851321214	215.74447429771462	205.05513197598478	348.01865651558415	256.6339175083666	273.98715643182027	263.30860507997545	255.11537498181622	277.7463716483358	248.58519389411765	238.8935374840996	222.63416796212198	227.30048322109099	272.6100119255846	223.84097093260866	365.77842408461385	209.8734272425869	327.5086089369848	214.1995050185474	253.15295781983906	304.8460220499037	277.55680023227114	235.37948983258573	272.2851192015756	255.89038401054825	413.968476056315	247.6004444024367	233.09698439537706	250.83775413356287	284.6114923754747	232.362211722917	356.85651353503425	241.50600176046822	300.13684570493797	227.47134574021365	354.0270450826798	274.89803963500486	244.58397596833854	209.77541558882328	232.90171252831973	345.26658942524654	240.09364831256838	299.4957522949835	221.36539467068008	143.71884192591537	266.5551083076859	217.03478070759422	310.0483253690316	278.6003859017713	337.28002337292315	239.20876992678757	429.3145090059804	258.68550472719846	268.0109573604903	210.3449616283851	231.65976438438602	292.4553639784031	268.8488911858158	214.42208652330132	308.48812904443184	234.2965046805459	206.47853536923097	255.1171190495723	329.82054329046616	248.11574815193626	338.8369315173988	240.0668771058767	351.8812195308348	292.92846032547146	242.65052926559042	242.64867190496727	341.8929795041012	251.24318524848772	262.7608618515814	178.9554436597285	296.57174022268066	225.51818166491515	429.3072350507173	252.04957016057415	346.50426568414815	244.34967024444526	286.2050585891399	251.68014754180078	237.09303381890783	242.91065403817132	259.9750863877793	239.13368199339797	230.58781586020035	198.85121938775046	294.35689250636375	240.83491049115858	315.3487677503155	222.0917877313468	591.8676199413965	255.4749377482321	274.2818632507619	296.0973079635126	262.4347355859081	242.31784108953653	278.734212994062	283.7388267357491	233.01643537170978	252.96923813329283	359.5215216231572	263.10658948779184	253.4066687666398	407.9080959679119	267.4285787684328	405.07145496492785	277.06605469019496	248.93182399915028	226.3075130636144	335.18589416913926	276.5524978976057	252.45313062454966	220.46656149665748
Adipocytokine signaling pathway	69	KEGG	4314.922192867443	4551.721625245688	4356.029131058048	4575.754721243297	4324.169367960518	4436.424098132093	4171.24119266967	4580.420082815385	4241.055955384716	4685.888907195216	4476.1664705896155	4557.506712170792	4213.95777071576	4620.693130134629	4164.988202977858	4668.6903460405365	4316.8057961935965	4688.3234095596845	4262.905068725536	4182.646213334338	4448.000638490452	4310.720018401656	4539.217582389752	3832.2137047261394	4650.3222119549555	4240.435213756327	4392.961866947621	4414.716450431281	4602.712790432647	4192.353312552737	4479.590255312003	4287.252928627115	4864.700150400764	4006.927359056743	4698.235382002902	4520.749202199318	4426.927666420384	4522.059121002197	4371.595284432097	4299.928251355038	4411.280771567239	4127.521370573271	4161.7153747422635	4742.96069713433	3949.324972976603	4571.598654164631	4223.03637779048	4410.800148059162	4054.2407193315616	4811.526859043042	4083.2786692561085	4569.0674860086965	4002.74344741388	4366.448181356328	4192.142161590538	4526.069977651839	4620.565242964512	4748.06751538092	4466.699541239393	4594.727283194423	3959.1416297735195	4399.197911419566	3953.8034974158454	4478.067298149057	4035.4878795216055	4719.574075949462	4194.083648891384	4560.79081440995	4098.356544099778	4815.261700629499	4259.69709630524	4688.22977821072	4100.049481429661	4261.421534190837	4192.054368968582	3825.2769678791265	4583.047326702897	4150.902857219006	4786.411086074826	4141.505345100884	4321.541429167877	4975.836700244937	4117.042440581526	4461.58556868679	4710.000056944743	4614.009678186859	4131.828022609322	4479.883822075472	3709.7631281902104	4733.918197279128	4376.431050785598	4426.810166787643	4585.936393984783	4273.366697531023	4605.095290416798	4238.696930181007	4101.676749002673	4246.270132896785	4158.893416515795	4543.817341589441	4674.721958443032	4388.430526702417	4070.4372629852073	4566.306786224923	4290.4889941502925	4324.643165170143	4174.166754094975	4262.622991264979	4684.582559513889	4442.297286497916	4529.4415433967015	4437.6926102466805	4339.372750753114	4603.890464334987	3860.0367893590064	4439.395737613849	4148.554774098044	4799.83137375296	4562.465214075483	4773.3168292679275	4074.107081159243	4265.439819408537	4078.796420387535	4685.077734402306	4936.429702136311	4279.8597393805985	4498.063594568397	5020.524768491391	4372.767060046684	4241.6054477064245	4009.697455910381	4595.872897005508	4785.487638460325	4109.545581664878	4596.126260581193	4619.747712604881	4479.78960368016	4451.8592659523165	4669.606192332633	4266.867191544757	4586.102083930022	4216.525247799726	4558.491314961614	4429.7905783875485	4374.046505530306	4290.765486625808	4614.2914026094595	3683.8773081477757	4405.273000322639
Adrenergic signaling in cardiomyocytes	144	KEGG	4948.019403578637	3524.879020236668	5301.029666121653	4204.361818862801	5328.76371818032	4193.33641414629	4517.145060993534	3930.513224623279	4948.18929111591	3786.1020264317885	3913.675575189168	3060.2562234250345	4719.164572976614	4348.588840174785	4965.967529701036	4568.316838372725	4439.381305789591	4379.403269729429	5271.333650306194	4608.346528213555	4033.1207441159045	5322.884705359577	3638.516267652195	4876.064190224041	3691.4776893959524	5146.858210605025	3455.9265334005036	4952.63689733208	3904.782654484898	5012.290373321917	3974.3911783450385	5017.78720485552	3359.853261479803	4905.15364013376	3947.9118673746475	4277.632955727245	4466.5177162163545	4439.5246794039085	4468.260470257573	5291.238618193096	4780.88219384581	4798.394408315459	4453.989318304248	4493.954345727148	4145.88981861624	4228.46147777361	4790.0671601230015	4042.412717125679	4892.6489750692335	4135.299899136719	4927.385296539835	4221.030909241132	4824.68868778362	3955.2849375156816	5090.090105250021	4367.322517628629	5175.015114564101	4278.961705020522	5186.027470789754	4615.592633990707	5227.172112447993	4521.177348337673	4455.878952334127	4065.450088305403	5124.143733899504	4226.33918596842	4665.064305314166	4683.532955855767	5111.809698365697	3455.0900539369854	4472.302438990429	4580.900350846965	5258.764526687054	3482.7602007761634	3919.3878653228417	4638.5596620198685	4333.390105590256	4553.23015416222	3667.286382758565	4631.709194627107	4004.401306278822	3869.0889404848576	4365.224912636524	3837.890232790746	4064.10007795404	4696.13658826955	4635.984546613847	4435.084913490919	5096.224477234478	3677.185577747982	4900.041594007396	4244.485943781827	4915.24122219706	4101.785507637328	4279.805693170414	3700.1021946391015	5335.1938437571935	4230.931976698971	5111.869071982509	3865.2526836169995	5067.026467786351	4473.705390685704	4957.397509657632	3918.019823609918	4922.305573924644	4175.8751078234045	5194.071530896805	3457.47393870647	4438.901829512671	4550.313214491724	5071.17728564689	4535.516275588092	3827.1493349378857	4134.384727919861	5155.461592052748	3648.9491447074897	4347.055493595524	3724.723856163895	4368.859372706166	4090.201738781887	4815.784054012663	3594.00927468106	5048.196318706612	4302.999851039842	4399.666055338484	4226.554279162537	4581.788502418983	3750.6440325636413	5016.941255663904	4123.634010838864	4695.259151008115	4269.323453891696	5231.039587572883	5064.596496269415	4724.840042993306	4214.754111447408	4070.3054066373493	5286.959476647604	4587.047057229395	5041.518015457866	4123.361837802329	5046.702007626525	3951.563187255609	4671.783303903796	4329.581884877088	4762.633185295506	3995.9314295769186	4545.713201507109	3542.0031419597954
African trypanosomiasis	35	KEGG	956.0660517663855	1315.6636222441705	136.8094776510827	156.00386030295843	162.1610367026938	1594.9077128347592	671.5621700956597	1473.1185431191675	480.91027940680635	177.3071994645956	732.7179369083555	1737.2853297626523	345.5544425918932	525.4289356561563	113.04986856768825	352.82481199012733	1095.6831471474954	220.98943859416863	307.98280996626426	152.55574560131234	389.2290595748688	512.8585616915096	801.3385147438136	27.067889897018148	437.63491141032637	25.646040177097184	448.34681681766216	459.6819922913981	286.24615510321786	3.483552830692701	403.50927529229455	825.3892880186114	968.1055241307895	286.8136564902151	547.0005239594424	872.6343949862652	77.97820535017863	403.338343844596	754.8460024422229	390.56265781042595	883.9483372165812	83.47475822647937	302.8385267538925	239.22529085265109	85.41640215141554	455.44022825940823	3.420312054531149	691.667539337235	760.6566101210326	660.6903039402017	10.015921686578787	234.67323149332836	420.58504240091446	575.5571508521056	44.098549859112346	480.1896310276736	464.40264172205855	265.3029918659803	1067.4939712135028	671.6900073650555	50.65861616709959	309.37126733778797	222.24946768175562	1443.0644084225914	10.352100146798705	270.78868569378494	1204.1388791368965	213.44864733450765	93.48895946861505	778.0572041899779	405.38274085590837	232.5406886924293	3.754457270206524	114.97035858385739	640.7103300085561	536.2046011172215	287.6416100855341	178.9276403578375	1088.2028287138064	1475.088054551031	1801.745054452409	1367.1070705026184	31.83112086079084	887.3499191957768	342.62308194361157	392.1418593793977	742.6678351043986	424.49923585295	8.882229687911888	1738.5734734122998	538.4536599352348	265.78513621777665	3.352345312752846	492.98644748447066	157.5351093559312	327.30016006484976	835.6240378719662	623.976905613627	19.064159252336456	388.2337910738506	494.1202063292657	616.6881704222543	1643.0860942155066	318.01310793453484	450.37016297019204	782.9497714921174	648.3688212660459	366.4984878209495	1740.80818259463	619.6786715109856	419.05141070883184	720.4101260017493	1051.7677094889625	1050.0836445230427	126.0080735912068	687.8200661737977	310.6463490283783	1688.9336632164293	1471.2586939504881	397.2602483670019	639.3420837770765	520.5221345814216	102.64107808759725	338.614673197076	1591.2761891008083	757.654295161619	754.2612017533252	1656.9110077848788	773.6705978290912	330.7554932662088	387.56729224085916	487.34911202918295	104.02914097137955	373.34225317555666	65.95883238702483	505.8733097859353	452.5695187564948	99.01376782411856	963.0119639429549	8.77102163753198	320.9295477552688	413.0624213857314	1671.7591053493895	3.633537964666392	628.8586902814395	71.79957169903207	1122.3039055109593	7.106954798027765	812.4383303259498
Alanine, aspartate and glutamate metabolism	35	KEGG	3822.846191230694	3486.9544447599837	3729.598826474423	3255.060441143347	3755.4914271095067	2831.0265748740953	3554.759670133487	3446.71723207161	3732.0652839874992	3696.670322592964	3845.2006625937806	3629.1972432658563	4046.9902670248866	2777.2235652506683	3577.7163442483766	3560.016612445116	3771.155045052953	3555.277950578697	3179.779760253129	3667.7820467591105	3397.7928615061833	3819.652983434186	3446.0566673804615	3724.675859098159	2769.021475648766	3831.2064024818615	2738.2554932722364	3937.4856264503273	3244.4457417968274	3788.6916378050064	3482.9049418829086	3872.7842384701153	3730.4136230313443	3656.5524093407776	3487.676296888686	3425.81847241803	3951.1377999494757	3310.4183395800746	3620.0141777045	3858.2309618844592	3245.3589334779344	3953.764231900668	3722.7011551654273	3355.162548302714	3797.670242884743	2873.982791615388	3995.1571452890894	2988.24886318423	3756.9141783465566	3290.9707741966654	3814.9295555542335	3237.409607265481	3669.542730166251	2869.3971455269775	3741.3910144020824	3025.8419316816176	3748.162650240308	3582.647312594905	3655.8015788990047	2918.1925167376553	4074.885740577805	3185.465991734788	3734.8281435428003	3430.5491583490607	3715.7736838680307	3069.537131413209	3612.042503750511	3195.904273144946	3855.5418783285977	3151.915780641891	3776.9660227123545	3425.3552973830338	3832.9812915324383	3628.2979773022857	3300.7788648949486	3439.515020339901	3310.402319630362	3946.7769883175015	3828.899316196159	3669.906237090367	4047.8647812360596	3591.7350015300894	3797.8079332737825	3453.2103224530783	3622.3457539250494	2942.3040180329813	3552.0571108112804	2554.613279295424	3943.190536641166	3979.9318975392453	3732.0947666923776	2798.5085786243426	4020.164971300471	3475.211669491758	3736.43249352933	3058.0642405326016	3466.7118481429693	3218.396164423058	3965.2126122645245	2696.3177454830948	3848.3066789326735	3324.1701572574425	3669.000353060783	3887.2158280216463	3640.1070777590526	3284.930977936423	3547.054187253176	3675.5119667148824	4018.581187330872	2854.6879911721358	4038.2046562690266	2880.82103351407	3886.4946076051806	3774.3106953933857	3826.163079656107	3481.3357818372738	3742.0478092183102	3238.21963862617	3755.395043270047	2838.3312817366823	3656.26306251784	3025.90510877775	3798.9364418650675	2948.171517287131	3438.765592509469	3156.0571915522683	3759.9497561476032	2942.4413327496914	3983.476704822966	3367.832903450013	3609.3363515010738	2459.0053668343126	3827.550545597042	3655.46600465779	3949.8318521804504	2674.9619676451566	3596.855054875995	4036.8147344689564	2937.895118272512	3878.774891771351	3031.6489932864265	3834.9442228541247	3904.106583846177	3906.6778975409497	2434.788903091005	3865.245616410624	2457.0014473025035	3912.3247538743185	2421.999522651673
