	count	db	C3L-00103	C3L-00103.norm	C3L-00097	C3L-00097.norm	C3L-00088	C3L-00088.norm	C3L-00096	C3L-00096.norm	C3L-00010	C3L-00010.norm	C3L-0079	C3L-00079.norm	C3L-00011	C3L-00011.norm	C3L-00026	C3L-00026.norm	C3L-00004	C3L-00004.norm	C3L-00359	C3L-00360	C3L-00360.norm	C3L-00369	C3L-00369.norm	C3L-00418	C3L-00418.norm	C3L-00447	C3L-00447.norm	C3L-00581	C3L-00581.norm	C3L-00910	C3L-00910.norm	C3L-00416	C3L-00416.norm	C3L-00448	C3L-00448.norm	C3N-00194.norm	C3N-00194	C3N-00244.norm	C3N-00244	C3N-00242	C3N-00242.norm	C3L-00765	C3L-00583	C3L-00583.norm	C3N-00168	C3N-00168.norm	C3N-00177	C3N-00177.norm	C3L-00561	C3L-00561.norm	C3L-00917	C3L-00917.norm	C3L-00607	C3L-00607.norm	C3N-00246	C3N-00246.norm	C3N-00733	C3N-00733.norm	C3L-00791	C3L-00791.norm	C3L-00902	C3L-00902.norm	C3L-01302	C3L-01302.norm	C3L-00907	C3L-00907.norm	C3N-00953	C3N-00953.norm	C3L-00814	C3L-00814.norm	C3L-00817	C3L-00183.norm	C3L-00183	C3N-00150	C3N-00150.norm	C3N-00573	C3N-00573.norm	C3N-00577	C3N-00577.norm	C3L-01352	C3N-01200	C3N-01200.norm	C3N-01214	C3N-01214.norm	C3N-01220	C3N-01220.norm	C3N-01522	C3N-01522.norm	C3N-01524	C3N-01524.norm	C3N-01261	C3N-01261.norm	C3N-00495	C3N-00495.norm	C3N-01175	C3N-01175.norm	C3N-00834	C3N-00834.norm	C3N-01176	C3N-01176.norm	C3N-01178	C3N-01178.norm	C3L-00606	C3L-00606.norm	C3L-01287	C3L-01287.norm	C3L-01281	C3L-01281.norm	C3N-00148	C3N-00148.norm	C3N-00646	C3N-00646.norm	C3N-00149	C3N-00149.norm	C3L-00908	C3L-00908.norm	C3L-01313	C3L-01313.norm	C3L-01836	C3L-01836.norm	C3L-01286	C3L-01286.norm	C3L-01603	C3L-01603.norm	C3N-01646	C3N-01646.norm	C3N-01648	C3N-01648.norm	C3N-01649	C3N-01649.norm	C3N-01651	C3N-01651.norm	C3N-01361	C3N-01361.norm	C3N-01179	C3N-01179.norm	C3N-01180	C3N-00831	C3N-00831.norm	C3N-01808	C3N-01808.norm	C3L-01607	C3L-01607.norm	C3L-01861	C3L-01861.norm	C3L-01882	C3L-01882.norm	C3L-01885	C3L-01885.norm
(R)-mevalonate biosynthesis	3	HMDB/SMPDB	2773.4242628471743	1835.3334345652063	5857.852066448323	1729.0749461773346	4042.6329810682173	504.07514999473125	5325.4470023456	34.8206006205915	4946.7010554924855	1293.6299735799985	4876.160874137787	1531.0300846610344	4444.670582587846	3278.832199276232	5499.078934560338	2780.423494877132	5965.293155111837	1450.4206791301608	4113.399299198073	5122.234123712195	1666.0543275974796	5069.6128605809545	999.3540895326537	4028.3692342495356	2206.1225585146835	4941.540650174671	1924.4607454860675	4612.572175265067	559.7521505975341	2145.0934016911665	2256.6445758642994	5342.615789453664	1971.4989514409926	5779.009180484118	2480.735614122267	714.2283163383044	4260.450071313774	2626.3577757255675	4819.874385724621	5238.342750044416	4003.0079849801396	5059.09862734893	5040.279722171071	1688.9939309276053	3030.767312968446	1817.236464049143	3356.5786879358857	4342.313824659221	2555.5600239168007	1367.3777306743852	5648.408024734659	2444.1374741537606	4953.020673855669	1492.1696950960727	5249.814414468265	1920.2226996219756	3955.548409794578	2572.8362653287736	5821.896531033567	1360.9075420285717	4039.848529551451	2375.1647029924284	5626.114234371635	1597.4060652932267	4147.846066477243	1981.3727715319808	4530.016452978889	2688.1879774125687	5869.187657136638	2791.0255302673468	5089.7902238933375	2102.0861757096473	4883.699793908771	4004.7106467950384	2732.4997833472858	6031.607453511626	3102.2533077923085	4823.770623287691	1785.2658601359158	5347.6019749730785	3965.597494008462	401.7493822097076	1053.1658303506078	587.3931669541222	5087.249432774531	2819.6388397474293	5469.876754461107	2678.0653230932367	4410.466507302792	3000.055709072589	5730.807364460915	2850.483232559396	3692.0993414000272	3028.9439525916428	1499.0211790485546	2472.2831423924627	5840.204416966998	1376.2364741629713	5277.205323908308	1509.3178983963644	5666.321801574205	58.13808649583864	2399.00066817095	983.8643020165325	1560.2396044056024	1332.1904140103113	5979.4415227685095	2864.946646987189	6046.833470081497	1990.9035937907386	4087.6279022383555	4424.792073640141	3270.2651462818267	310.45983154739736	5060.121103531925	2360.4398017935814	2974.2404929513814	1393.7796613413168	6012.071276463704	28.76661264172822	4245.238370904009	468.8659862757001	5217.12805870449	591.9726660840554	5058.35604346464	8.565121418209937	3820.715397800499	3666.2241450857905	5533.650743787675	3320.050140250024	4661.479582298933	2062.9773896237625	4854.056568520528	45.19877486077555	2954.0961101846424	139.0115581297171	4369.727699306067	5795.5727587937445	3411.4710281115117	5325.311088296771	2225.933088057366	5308.095198602871	3654.035139758518	4439.392029452302	773.0855523255324	4297.325688325834	298.28925720044174	2017.9410082079833	1472.7449589657333
(S)-3-hydroxy-3-methylglutaryl-CoA degradation	2	HMDB/SMPDB	6570.999999999999	1933.0	6200.999999999999	267.0	6428.0	272.0	6316.0	1032.0	6484.0	1352.0	6331.999999999999	5925.0	6094.0	425.0	5597.0	1331.0000000000002	6248.0	225.99999999999997	412.0	6585.0	1436.0	6299.999999999999	1387.0	6415.0	156.0	6447.999999999999	164.0	6551.0	163.0	6297.0	440.0	6420.000000000001	4144.0	6459.000000000001	134.0	295.0	6496.0	174.0	6388.0	6478.0	458.00000000000006	6430.0	6413.999999999999	667.0	6431.0	223.99999999999997	6485.0	585.0	5977.0	225.99999999999997	6519.0	140.0	6240.0	103.0	6430.0	185.0	6439.0	555.0000000000001	6263.000000000001	231.0	6376.000000000001	550.0	6554.000000000001	221.0	6103.0	407.00000000000006	6454.0	232.0	6367.0	878.0	6580.0	215.00000000000003	6398.0	6285.000000000001	979.0	6347.0	213.0	6100.0	4078.0	6518.000000000001	5928.999999999999	3763.0	6346.0	2187.0	6361.0	53.0	6426.000000000001	90.0	6450.000000000001	6470.000000000001	6487.0	215.00000000000003	6077.0	3357.0	5634.0	761.0000000000001	6211.0	112.0	6474.000000000001	113.0	6393.0	321.0	6154.999999999999	5917.0	6286.999999999999	244.0	6382.0	5882.0	6374.000000000001	222.0	6420.000000000001	203.0	6357.999999999999	6233.0	6426.000000000001	253.0	6219.0	459.0	6241.000000000001	260.0	6180.0	222.0	6505.000000000001	213.0	6140.999999999999	101.0	6156.0	227.0	6338.999999999999	312.0	6297.0	215.00000000000003	6224.0	213.0	6257.0	70.0	5569.0	6434.0	161.00000000000003	6127.0	177.00000000000003	6440.000000000001	6367.0	6180.0	114.99999999999999	6519.0	140.0	6418.0	195.00000000000003
11-beta-hydroxylase deficiency (CYP11B1)	11	HMDB/SMPDB	6117.0	2692.0	5669.0	575.0	6236.0	2148.0	6229.0	1174.0	5768.0	2391.0	6001.0	5898.0	5682.999999999999	821.0	5616.0	1014.9999999999999	6252.0	810.0	6227.0	6080.000000000001	4331.0	5898.0	107.0	6210.0	587.0	4385.0	642.0	6199.0	127.0	3544.0	2169.0	6176.0	5377.0	6234.000000000001	402.0	198.0	1828.0000000000002	561.0	6091.999999999999	6233.000000000001	3958.0	5272.999999999999	5516.0	522.0	3182.0	238.0	4309.0	739.9999999999999	6130.0	291.0	4264.0	370.0	5710.0	948.0	4489.0	399.00000000000006	6327.0	178.00000000000003	6392.0	1299.0	3069.0	2148.0	3248.0	352.0	2119.0000000000005	5739.000000000001	5919.0	467.00000000000006	6236.0	1412.0	5925.0	630.0	5456.0	5228.0	341.0	4701.0	548.0	6066.0	574.0	5211.0	5687.0	5717.0	2979.0000000000005	4775.000000000001	3367.9999999999995	172.0	6132.0	409.0	5499.0	6183.0	5913.0	555.0	280.0	1421.0	78.0	671.0	5998.0	345.0	5868.0	342.99999999999994	6173.0	781.0	5572.0	3352.0	6204.0	2446.0	5958.000000000001	1391.0	2207.0	519.0	5793.0	1136.0	5592.0	6227.0	5320.0	91.0	6329.0	95.00000000000001	6380.0	177.0	6132.0	128.0	6132.0	74.99999999999999	6085.0	844.0	5392.0	49.0	6052.0	68.0	6415.000000000001	177.0	4474.0	249.0	6316.0	246.0	5917.999999999999	4353.0	2189.0	5821.000000000001	325.0	6093.999999999999	6113.000000000001	2825.0	14.0	5868.0	198.0	4943.0	655.0
17-alpha-hydroxylase deficiency (CYP17)	11	HMDB/SMPDB	6117.0	2692.0	5669.0	575.0	6236.0	2148.0	6229.0	1174.0	5768.0	2391.0	6001.0	5898.0	5682.999999999999	821.0	5616.0	1014.9999999999999	6252.0	810.0	6227.0	6080.000000000001	4331.0	5898.0	107.0	6210.0	587.0	4385.0	642.0	6199.0	127.0	3544.0	2169.0	6176.0	5377.0	6234.000000000001	402.0	198.0	1828.0000000000002	561.0	6091.999999999999	6233.000000000001	3958.0	5272.999999999999	5516.0	522.0	3182.0	238.0	4309.0	739.9999999999999	6130.0	291.0	4264.0	370.0	5710.0	948.0	4489.0	399.00000000000006	6327.0	178.00000000000003	6392.0	1299.0	3069.0	2148.0	3248.0	352.0	2119.0000000000005	5739.000000000001	5919.0	467.00000000000006	6236.0	1412.0	5925.0	630.0	5456.0	5228.0	341.0	4701.0	548.0	6066.0	574.0	5211.0	5687.0	5717.0	2979.0000000000005	4775.000000000001	3367.9999999999995	172.0	6132.0	409.0	5499.0	6183.0	5913.0	555.0	280.0	1421.0	78.0	671.0	5998.0	345.0	5868.0	342.99999999999994	6173.0	781.0	5572.0	3352.0	6204.0	2446.0	5958.000000000001	1391.0	2207.0	519.0	5793.0	1136.0	5592.0	6227.0	5320.0	91.0	6329.0	95.00000000000001	6380.0	177.0	6132.0	128.0	6132.0	74.99999999999999	6085.0	844.0	5392.0	49.0	6052.0	68.0	6415.000000000001	177.0	4474.0	249.0	6316.0	246.0	5917.999999999999	4353.0	2189.0	5821.000000000001	325.0	6093.999999999999	6113.000000000001	2825.0	14.0	5868.0	198.0	4943.0	655.0
2-Hydroxyglutric Aciduria (D And L Form)	22	HMDB/SMPDB	2892.0091486654273	4241.999253251512	4241.2959443015925	517.7365553655594	3923.4612086400234	510.382054630965	2986.2794596805	2696.08641490879	5126.198861166217	2148.002569032913	4185.695165489205	5381.586546865229	4197.478239165304	630.3566924800281	731.9397285584691	3148.356823651646	4168.704120803202	547.9258000050295	238.91621075405197	3848.533332907249	3375.101936504945	4452.117260217721	3749.90666937186	3211.874494046337	546.577562301052	3970.3029891725837	760.5889370800938	4256.901560739085	537.3838220110893	3475.462823749312	786.850428910794	4634.873383743012	5223.510990242395	3874.4000647505304	686.6626748738821	879.9630020811559	3289.0924958334745	781.0143462720579	4378.696799842107	5368.1185415304735	1281.7356341982038	2298.230534227004	4830.917694215195	1450.2588346215052	3545.7872479472903	1077.9918060691946	1955.867142582053	874.538406716029	3019.305413513351	861.6118905839129	2593.4902538917113	627.2416999357595	2630.1519679308226	470.1264236183772	3094.449649366909	271.13543815629725	4248.044647232827	1307.7163457723566	2995.3939837140856	757.525110933727	896.3168618584448	1624.487598727403	4391.280049441708	885.5441471830188	2254.0797978825753	1276.183703207131	3112.4407229989442	712.0416145042973	3373.90243592245	2561.4764834872108	4936.565699562784	600.2175748193042	2146.110304880374	4706.198824104442	3274.2801480687317	3703.178804504226	695.8287631341157	4642.571889177122	4740.060159830443	4657.420287632432	3973.1140048357893	5134.743289267811	3938.400822945409	2343.8064442062155	3770.2983778858297	795.379240154812	3879.0112062689627	739.826646145739	3458.4794171265826	5592.807644102145	5121.130807030554	700.8046625568019	1901.2802931321312	897.5372818791571	3205.4612644409467	354.07048705641535	2152.3889152591037	825.9795177500314	3978.485968571928	428.08775030952376	4431.728325804834	470.32824009457147	3433.855429208364	3856.451953353485	3271.7895344739613	871.1442254180482	3227.556156043959	4737.137428390307	5260.112446839241	704.0648815236789	4471.0045501526665	811.1886874711748	4197.519241261506	4611.2870542708415	2835.129425250437	450.5224719184302	3681.248680451351	640.8992717466414	4108.205467748284	663.2643915504852	4974.230835639444	879.9381731545583	4573.311440440919	576.5223578636638	2491.934545931413	809.468955070868	3742.804928675688	1664.9355894015544	5206.324420356486	907.2195687834354	1438.430349711893	701.2717953551432	4908.996051257998	796.3775128559779	3829.1238530129203	697.9119226185082	2957.887456157825	4499.021425026042	684.7389251967309	1204.2535844427516	723.5854973472808	4527.576997512312	5627.073212328174	3064.086447841606	987.4292194874678	4616.762290248987	888.3673219124502	2410.3184312162734	797.3645069954863
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	30	HMDB/SMPDB	5765.082804645001	3720.8990731437098	5544.789707360567	700.6462978695807	5239.989462092181	976.6532216376518	6150.684141608378	3453.7443193872855	6260.668760338867	2260.6386262851506	5405.289173479713	5642.148779156116	5732.887138515696	1217.1807466932148	614.1674060246393	2354.1426965289697	5871.302658909767	1169.6359559852294	1135.4382504772502	4537.782214919991	2122.848914022335	5029.213083122329	3074.896215330429	2901.322009281013	520.9038457383162	5970.990632308366	390.2209116297664	5726.40998575938	677.460529884334	4978.714908055155	498.46679982044117	5870.396602855421	4675.717598591374	6012.2361684602665	755.7132802730629	1206.612509292739	5966.596515372836	586.5750213111091	5986.949441054507	5767.6964453762575	1005.8696085643961	6170.096386838336	5728.460710131348	1408.234668903576	5821.4741410636725	565.4346357407425	5896.288744568086	715.3325069126549	5686.459089475498	725.5532924695684	5982.060835701137	557.6770927890697	5545.906315267206	410.4607346539082	6042.25390892239	716.8942786506051	5606.423887586939	930.6617259814607	5015.897818143867	473.2106541347911	3818.677355119856	1370.4160353089906	6103.794778425985	909.9185159471714	4788.790574371113	650.5767117436238	6362.597021952585	537.8096034352207	5754.349071313949	2472.5094943703134	6153.526470419684	746.4397759360849	5858.486015088504	6273.834428467775	2939.897139706201	4480.817061840578	470.2428286077314	5825.856128547456	3806.7083108826882	6079.355341818812	6119.297410145678	5591.511678647085	5857.5060981222905	2720.587141831846	5877.395224427664	852.3806426418836	5865.320181819282	679.756311564501	6070.238067697449	6290.239179721396	6119.955033501771	462.08739176605394	4939.08489703086	884.7051923882294	1365.4102509064605	827.9767200521944	5908.681441651948	801.5215285993145	5600.185899331217	393.1409763206968	6191.434156681833	637.0929344008744	3743.008292747251	4178.626960194239	5836.849227223921	674.1655446816037	4845.809626334062	5314.958599062151	5123.991597314656	427.99423691993496	6279.49381746645	798.9861412591606	5861.542259931107	5847.20693276289	6266.927561581665	594.0770505372129	5681.813497323448	769.2220094124336	5194.429288656009	733.2283572581995	5151.154619165414	598.2294462752965	6220.130810288258	567.1683977286043	6182.565447536504	394.59924308339987	5973.730599044913	1500.6936719517607	5591.443471961454	712.9077910117428	5716.730556611555	923.1385115826373	5274.469410042336	648.7513619976945	2559.5938108111104	559.921250558832	4116.058845440278	6159.438366147512	993.4114927577756	3623.683085045991	593.227300851319	5913.9214755203475	6214.781971112238	5065.399581092349	662.4606338061834	6320.259442363465	546.6186509479295	5249.772445586243	310.42063774257434
2-Oxocarboxylic acid metabolism	15	HMDB/SMPDB	5674.229713466234	3905.825970687235	5355.05353184924	796.3990138596204	5238.448336970491	1461.4852668307954	4504.179853038166	2345.0380552145516	6005.738830173887	1406.9302129316072	5119.1526694490285	5506.3566171806415	5528.727165719412	1068.6785289673467	2789.3846686990596	2090.6145897599267	5768.361271551943	1134.2142927351033	427.8195190803579	4864.498324883038	1846.0526488183284	5474.4834715693105	3057.798332947497	4409.838635990163	697.7006059825623	5711.596201754487	776.0327207101165	4890.735033092524	913.775618360054	4843.377975639802	1007.902600521787	5783.602555690304	4621.058159836882	5443.101067891256	681.6540734598735	758.6338463313822	5902.2967073194095	818.0908706240903	5496.734893867055	5666.972677839193	1149.143101690254	5576.341562582384	5703.200855906709	953.0914552141837	5796.462873523819	1175.2183521152435	5875.0851076413055	950.8894138089381	5068.464048357793	1756.4752629808615	5846.089940885993	671.9733905502272	5242.3140273347035	854.7243348712258	5787.836137787051	913.1249534387802	5487.8205632556865	937.4454861019351	5071.239673960525	1423.9203733088743	4021.142848185249	1042.6104691607734	5297.497081916013	1971.3978136650026	2446.3863469970197	838.4410906342123	6223.741307161751	1380.6574310823014	5053.627810782338	4096.6740499187445	5636.696548719845	568.0310391418784	6064.513120512533	6041.387609139068	2920.7848582871375	3819.2180678310942	735.5459515900098	5575.516756555997	3029.4240193701717	5468.08462046554	5940.423736241215	5344.940765713307	5613.731970067374	1780.308769041671	5467.822229962071	954.1023303478415	5447.64371384183	792.060180225126	6037.891635373947	6033.253152238738	5620.975129600012	718.5550887622867	2871.0668235416733	1049.2422759215308	473.0962913719039	1705.2698492509007	5666.735131222743	1283.9585518217998	5616.360747037043	931.985066229141	5615.369177303361	976.2310196310956	5372.921978627561	1404.225883807289	4880.252727692711	956.0070817610543	5829.317400644882	4624.678087629639	5681.56344201682	1021.3931851986613	6198.481578750955	741.7173959712759	4812.126915296467	5438.471121796897	5829.332845253086	980.9712161699298	4338.232488628985	995.7705717991679	4290.086192147754	1594.3413965302527	5809.20839292949	1284.9984518360575	5996.182043215957	1083.9805262886482	5750.3867288636075	1092.8884169732407	5192.930592301792	833.9748931370586	5774.803386466353	1533.1535323759344	5204.905227345042	1068.3913668813004	5335.026719333157	1130.6022540740976	5137.235962513792	1701.0256294937988	2918.49365584736	5842.596050379256	947.6915223781835	5056.54226564782	1048.8193953727312	5460.7366157791375	5890.760698080656	4350.562020637957	1059.013431561654	5799.519299536471	832.0466600590973	5759.197051353348	1329.4369176641083
2-aminoadipic 2-oxoadipic aciduria	13	HMDB/SMPDB	5948.88850172738	3361.8467588680837	5609.151317294205	366.43071286481467	6084.56239104671	438.2598739179635	6079.997358272896	2789.478697681865	5827.018021852974	1210.7669250800852	6027.128611521798	4403.974622784745	566.7286829348743	467.01121696770423	3645.9525482517643	1700.4158052205453	5908.614950444246	850.2663436954903	2072.9650592897187	4434.717635809075	1508.6001878451668	5936.454825893662	3647.6703418562606	5618.9803061434695	382.30989162290393	5832.473588042218	313.8134564162244	5620.865081562446	473.67678358108003	6167.570186653216	354.5369666533207	6160.821192909924	4468.737770657223	4990.862314320198	333.4525592366687	740.3598443405223	6093.991217995887	382.05824740338346	6213.64318444306	6276.605524906166	1482.9452535042606	6323.828551034868	1819.746356298643	560.0100181342167	6010.217098140694	500.9268078554827	6094.5358615499035	629.9565205273776	5457.927300298399	548.6482709372398	5929.29690767074	199.99102858066814	5951.087862186302	333.12683857375254	6080.780897258023	310.9053548777898	6013.906581696919	890.4996224567648	5791.210918780146	529.3084183344707	5891.105879599141	799.2991325310145	3032.3909315404503	802.363076507512	5700.432376687004	461.12061698462463	5772.452213524425	324.2723753299355	5935.452988561781	2421.4805775853415	5601.256025678491	264.8908170186596	5786.325650424863	5271.291114273288	2230.653102853375	1519.70275431361	406.9507549457123	5837.553120985863	2698.5823591530443	5918.596591614414	6188.896519580817	5693.100233570033	5864.010237354039	1837.9812989985642	6199.268293342385	658.0423614333456	6067.177323168962	314.29928055981765	6250.854006824533	6150.373382120153	5146.186511554584	230.6981392488721	5080.197883401857	370.05219912695344	537.1109366989562	398.46533624534857	6143.8603302956035	477.8831680372472	5723.644090699178	377.3875673056216	6239.709406229659	519.9634257997953	5031.595595608571	5160.129834724596	5751.119205703213	426.28906611246543	5565.006869556639	4854.3011766699265	5818.732516067465	273.34793254532894	6295.979669164204	464.2087024567451	5892.45533137811	5844.356847043549	6288.829471374563	743.2907282244352	6072.700822548551	687.4261854821219	5207.19417015959	428.6630299358408	5239.342721440788	691.6417378516135	6318.476645410076	330.5819728391437	6135.267789787777	577.4066378284137	6104.148701366392	1086.4388006291545	6210.438773753464	753.5673287973485	6020.635109551433	391.41250379461303	5503.194551310077	458.3764526403057	5952.626550894478	400.77646056634285	5759.619752052205	5828.566927692209	512.1455639383215	5111.772762318542	364.5413370343841	6361.511628913757	6181.049906925209	5358.758714815317	464.0409134344985	4014.679550346806	586.4382751430705	4884.7272298150065	325.40676972815714
2-deoxy-D-ribose 1-phosphate degradation	2	HMDB/SMPDB	4769.0	786.0	5402.999999999999	2036.0	5524.0	1662.0000000000002	4918.999999999999	436.0	5082.0	1364.9999999999998	3952.0000000000005	4202.0	5259.0	1005.0	6176.0	1128.0	5459.0	1421.0	945.0	3816.0	1881.0	4991.0	755.0	6023.0	1923.0	5966.0	1344.0	2820.0	756.9999999999999	5229.0	3177.9999999999995	1982.0	1858.0	5553.0	1894.0	394.00000000000006	4557.0	1001.0000000000001	3007.0	5497.999999999999	530.0	1894.0	2844.0	2151.0	5626.999999999999	960.0	5266.0	5041.0	4205.0	2307.0	5177.0	697.0000000000001	1390.0	3015.0000000000005	3499.0	878.0	1885.0	692.0	4405.0	4217.0	6078.0	3180.0	5232.999999999999	3058.0	5579.0	961.0	5195.0	1441.0	4769.0	314.0	4932.0	709.0000000000001	4366.0	2620.0	704.0	4109.0	1416.0	4603.0	381.00000000000006	5258.0	1690.0	423.00000000000006	1385.0000000000002	1274.0	4506.0	367.0	4827.999999999999	2768.0	5981.0	201.0	4516.0	1092.9999999999998	1063.0	6268.0	4561.0	3284.0	5019.0	2116.0	5643.0	1176.0	4942.000000000001	6079.0	4536.999999999999	3131.0000000000005	4607.0	1736.0	3527.0	5082.0	350.0	1312.0	453.99999999999994	1391.0	861.0000000000001	248.0	4414.0	2043.0	5790.0	2823.0	630.0	2040.0	5634.0	1438.0000000000002	5370.0	1335.0000000000002	1151.0000000000002	2533.0	2262.0	560.0	605.0	3475.0	4382.0	782.0	1067.0	1078.0	5132.0	3889.0	459.99999999999994	4614.0	2370.0	5407.0	1411.0	4461.0	1103.9999999999998	5787.0	2345.0000000000005	3572.0	3316.0	5297.000000000001	1628.0
2-ketoglutarate dehydrogenase complex deficiency	21	HMDB/SMPDB	5725.63004756604	4048.6893664761956	5390.328484206425	893.0883498321101	5879.033340640989	1429.8540063163111	5146.261518912589	2538.5572546135763	6215.969439315078	1313.7341118084537	5356.017461494701	5422.232588979781	5860.5968774338535	1247.6279164983205	2642.2084524420416	2137.490268221273	5999.048486183908	1015.9378388837542	520.2255143132963	5622.139106001194	1196.6040111946859	5466.572964913879	2563.9167382369405	5025.424832639793	612.2875106368297	5580.003267327046	715.1340804069312	5625.791006103753	964.5554412081771	5295.314984120328	668.8011977028601	4032.6970738908035	4421.5357209399845	5430.063364429809	529.661835623617	1517.6402077470766	5962.8140074199655	849.9817214109772	5789.289550805774	5548.422545446186	470.6235554076158	5854.846480055397	5924.6769478861825	735.6045894923469	5969.747145695634	866.3021365210402	5725.652293947161	791.5862434288802	5144.6188646613355	1433.5500120989732	6052.154504062925	526.0005818030091	5389.957508771472	1036.710023163332	6013.1519599362055	499.5458664398104	5810.728745464112	976.8699405423382	5230.322093217656	1417.835458918763	5096.238116232898	953.407361848823	5563.518995971565	2201.385184438402	2246.3303084012796	610.2145637294348	6257.188583374173	880.35421464294	5682.060204956591	4385.996300760159	5966.154037443213	501.97850994538345	5931.632708840475	6151.366505763315	3100.6409653596165	4563.507493688345	541.5742385967933	5818.303525152719	3214.172085850113	5899.745157464336	6068.396687964024	5415.141479682747	5833.07204500563	3443.7903881330576	5688.779852241813	935.7648404703225	5754.826003440899	598.9429241181122	6093.129985078794	6133.914478421999	6023.234374960468	451.11940184679827	3723.0573993357916	1203.340911760147	532.1638202354493	1292.0026643317472	5828.392068998944	950.6732889914011	5768.813393965006	1049.8749461526183	5874.859706021654	559.1470142871107	5982.041355873784	3801.5476112987208	5168.836236015006	803.6459165712812	5953.688761330026	4637.0517376029375	5766.101423575128	936.2875232163636	6192.158509142443	557.2061849960364	5734.978929812626	5412.668674174714	5948.429017011028	1373.1700003105939	5131.429356112419	772.5717995966146	4693.333235750057	493.00710312210026	5277.725950089755	1311.0204092409633	6014.388974277369	775.0140230009456	6061.439201997698	999.3584319047042	5734.294088349233	1465.698626871077	5675.6951353045515	459.09192928085236	5325.367919722918	805.3752870703067	5628.097811691399	851.4192241448947	5349.016530278802	1055.6757884686408	4669.996858151305	6008.602952176174	1138.8614091407405	4665.9059439649	1195.0495588645633	5600.323741971518	5924.454785898779	4708.18516335925	837.7548187048394	6005.501190969001	582.3236463782755	5440.237560275315	1458.6560417127762
