	count	db	C3L-00103	C3L-00103.norm	C3L-00097	C3L-00097.norm	C3L-00088	C3L-00088.norm	C3L-00096	C3L-00096.norm	C3L-00010	C3L-00010.norm	C3L-0079	C3L-00079.norm	C3L-00011	C3L-00011.norm	C3L-00026	C3L-00026.norm	C3L-00004	C3L-00004.norm	C3L-00359	C3L-00360	C3L-00360.norm	C3L-00369	C3L-00369.norm	C3L-00418	C3L-00418.norm	C3L-00447	C3L-00447.norm	C3L-00581	C3L-00581.norm	C3L-00910	C3L-00910.norm	C3L-00416	C3L-00416.norm	C3L-00448	C3L-00448.norm	C3N-00194.norm	C3N-00194	C3N-00244.norm	C3N-00244	C3N-00242	C3N-00242.norm	C3L-00765	C3L-00583	C3L-00583.norm	C3N-00168	C3N-00168.norm	C3N-00177	C3N-00177.norm	C3L-00561	C3L-00561.norm	C3L-00917	C3L-00917.norm	C3L-00607	C3L-00607.norm	C3N-00246	C3N-00246.norm	C3N-00733	C3N-00733.norm	C3L-00791	C3L-00791.norm	C3L-00902	C3L-00902.norm	C3L-01302	C3L-01302.norm	C3L-00907	C3L-00907.norm	C3N-00953	C3N-00953.norm	C3L-00814	C3L-00814.norm	C3L-00817	C3L-00183.norm	C3L-00183	C3N-00150	C3N-00150.norm	C3N-00573	C3N-00573.norm	C3N-00577	C3N-00577.norm	C3L-01352	C3N-01200	C3N-01200.norm	C3N-01214	C3N-01214.norm	C3N-01220	C3N-01220.norm	C3N-01522	C3N-01522.norm	C3N-01524	C3N-01524.norm	C3N-01261	C3N-01261.norm	C3N-00495	C3N-00495.norm	C3N-01175	C3N-01175.norm	C3N-00834	C3N-00834.norm	C3N-01176	C3N-01176.norm	C3N-01178	C3N-01178.norm	C3L-00606	C3L-00606.norm	C3L-01287	C3L-01287.norm	C3L-01281	C3L-01281.norm	C3N-00148	C3N-00148.norm	C3N-00646	C3N-00646.norm	C3N-00149	C3N-00149.norm	C3L-00908	C3L-00908.norm	C3L-01313	C3L-01313.norm	C3L-01836	C3L-01836.norm	C3L-01286	C3L-01286.norm	C3L-01603	C3L-01603.norm	C3N-01646	C3N-01646.norm	C3N-01648	C3N-01648.norm	C3N-01649	C3N-01649.norm	C3N-01651	C3N-01651.norm	C3N-01361	C3N-01361.norm	C3N-01179	C3N-01179.norm	C3N-01180	C3N-00831	C3N-00831.norm	C3N-01808	C3N-01808.norm	C3L-01607	C3L-01607.norm	C3L-01861	C3L-01861.norm	C3L-01882	C3L-01882.norm	C3L-01885	C3L-01885.norm
2-Oxocarboxylic acid metabolism	18	KEGG	5725.915243854914	3897.54367975277	5442.459724829268	794.4746243795066	5237.065687295371	1791.7982654419716	4677.831101501112	2277.7347791872558	6024.966277240467	1284.7910723978475	5228.82639424849	5533.277773944468	5573.999612487145	1017.9124473773725	2769.6431751378027	2074.1373767252067	5603.928330975377	1096.2904141813083	381.76592012155686	5003.706558523871	1779.8572983565502	5555.1444993408695	2853.6213858528704	4519.4238605858545	682.2860095611475	5764.9248207679275	738.1610400155192	4942.519239003223	902.6201402878983	4959.869932406922	986.0330658008427	5736.160816224936	4756.332832639353	5522.414910041461	650.3001696091613	715.5866438241542	5931.131569436936	789.0567148316056	5555.827320724745	5729.940867919109	1231.9395999298447	5131.534187058945	5762.226523331261	1086.6874270110548	5840.947419624681	1369.9759670354622	5880.786832367777	1317.9773068867783	5155.402469116533	1753.0515173413307	5888.666836555916	653.656544374732	5314.496220915413	841.9675337654306	5845.352743556987	902.6588152074202	5526.934027195269	926.6850282797691	5152.235804163615	1404.2880898265635	2259.5249418902426	963.5653629759872	5383.138887959392	1910.071014360138	2750.8388152658436	1145.2910866583054	6236.159369379314	1290.8184382077281	5182.091574557841	3971.705945134833	5682.390973838375	569.1889728607509	6087.895984373146	6064.60006719889	2918.1811768509588	4081.1725439169195	735.3553950070178	5651.242273673028	3122.86744446677	5507.84323935171	5986.596707036841	5390.780596909232	5671.193894600161	2224.1407609516723	5537.203743799912	824.6181628024575	5460.42249627524	790.021183263262	6045.573506702054	6053.919991135786	5613.680980699147	696.1989424537725	3068.4316937034278	818.4737133873457	466.2223043225054	1687.2724487679902	5663.126263674282	1195.3244212566005	5662.92482426205	894.5014852877423	5676.3435043120135	935.7339318307774	5469.888298574003	1627.8037078781658	5004.471096923476	952.1380287164764	5854.434344125757	4715.150301053811	5741.260612253917	1018.8403785545787	5803.245604031213	908.6177143532902	4935.3177301409205	5501.284178155269	5868.3564074732685	951.3086109955549	4537.000386593436	976.1991173767467	4380.272268013782	1347.9334163073486	5836.055786638867	1284.5999688917052	6025.5912452202765	1065.165896796723	5790.2863661032015	1092.6781079525533	5281.033886551091	806.9025315932174	5798.323974401568	1518.6470108498509	5297.333013220232	1007.0762543343473	5408.370593455218	1033.1556689529882	5175.904593350346	1588.7098145756404	3148.407657908402	5881.447837251385	919.4468985229912	5006.894645558972	1048.1256779835107	5546.570535445607	5935.766085395664	4513.235138929012	1058.311410559464	5859.793604797501	1053.4549463494636	5805.211054206111	1273.9945907234276
ABC transporters	45	KEGG	1104.3450976747047	3716.0426133897868	1780.6164085368898	1957.9938789508656	4195.4554636376915	1487.836896766152	1010.5086176669612	3880.1280952405136	2005.1939065807442	3512.681176887141	454.96944683333993	1844.7052179384036	3063.060121711863	2013.1263641518367	1607.5539211593323	3881.8253430773584	4452.972478735874	4674.631046985085	2120.8761222341136	1565.4431994554243	4450.808211352524	1445.401675047139	4291.165971093676	1913.9867026721458	3166.4179790598737	1817.071803538509	2465.9089223577253	665.3959705430692	873.4560589155711	670.3975811945439	5125.088151799921	552.5660808660483	4897.105679637202	3548.6600934928847	2564.901578160732	2397.0026631039345	227.2393246929803	3326.0055617279154	2554.6129183333796	1915.2188040689675	4951.6221954879	2825.3391120850897	361.2032152349258	4433.879196249029	1234.386955998306	4095.0962099853605	1122.4869345453767	2780.4462409869884	1424.8561193075166	2619.912560705262	449.0341274590296	4138.984953237986	539.7844812993945	3207.699783353059	1472.1651617104737	4883.214835476059	2720.300732939498	3936.749738167604	3250.041471212601	1521.19817807931	1266.8247648004667	5047.728934849445	1328.2802658033777	3657.3988576641805	1020.3982732650901	4503.377273568951	1118.8542334373662	2255.5061567296216	1541.4270652996756	4923.003539185929	3538.528740324569	4473.751311495333	1632.718932001995	2929.994200098907	2728.622515603053	922.68015293486	3463.718067484514	1849.7227720011717	5058.557203008847	3308.3966853552124	201.42938199911023	5548.37144039495	3368.7602640627783	3474.4742152182366	606.5303935272057	4838.371954271331	3877.8114179878935	3247.938270572583	1747.2637586973128	4928.993944189571	2444.8066629265013	4066.6058814920175	1454.7947584866465	4544.774580879786	2508.7040406845404	4331.351521128736	2122.0558872745423	2568.9720649714195	873.0451257883811	4710.450804788017	3540.213889861805	4571.5760260589395	2736.857596568291	5013.86423405143	463.85365695167314	4728.7073487957105	1639.2768496614997	4425.0326162306765	1858.823179218946	3937.544711647617	4191.347565570862	1863.940394755987	4522.497620095001	4710.914156060372	202.00673921502315	4633.65387391195	851.5460070568492	3775.4135975702975	2225.2674499855525	4783.474354306932	1741.5062124716785	4124.329583824104	1812.2090612244124	3911.857537121924	2707.657344048742	3340.189586336197	2912.322497195611	3053.135038061978	833.6346466095429	3784.7409790252364	812.8990245105783	1578.4682424883938	3944.190870624648	4192.556240141929	1525.2265423999604	2752.3629068548817	1431.171017966922	1632.5631074257149	2866.799732828823	1270.410746948436	3893.570282462374	1270.2316865626487	5350.114639907102	225.67269902539135	1502.7147248527167	2804.907640967975	2086.8877621590696	1138.8960215921875	2807.6779168870453
AGE-RAGE signaling pathway in diabetic complications	99	KEGG	4630.136867389701	3392.0685493845685	1551.2387801529562	4341.8785584356065	2752.8417378242784	3702.515428469403	5129.846692116319	3776.2397651355045	2742.9564880259704	3747.877356393647	3515.825529814602	3889.7273738673757	5069.555574688282	4011.5080324782707	3848.5906705871867	3307.546720610406	2630.307215743773	4221.127524196204	4156.568562471251	4395.587343910356	3497.5339259912616	3190.2858080014958	3438.5988471830806	1603.0412359535565	4290.447830607015	686.7166793868208	3597.470388364727	2524.9397988403625	3810.130986807531	2808.0484225289074	4107.57226027552	1202.7531983914207	1454.205448977523	4025.9883237570302	3875.446365479142	4019.938529008435	4756.197942330166	4528.206964390455	1227.662632668555	4503.339039031634	1543.5398048018076	2742.9607255778888	3555.9542468294503	3723.1850560936496	1625.2407855539684	3783.526704905795	1764.932388260498	3490.869915649506	3719.3645566416058	3972.0177940342587	2479.521127195051	4248.912805037946	1907.3750118396142	3572.0306819138223	1374.7987375162802	3740.796880429821	1910.340009104785	3257.2934355499488	5534.61918494318	4163.968887077091	2680.1563440967034	3943.2748595289645	4479.658987052881	4175.145030917474	2586.5235131180953	3993.4978006111874	1561.2399005065165	4098.44177890329	1292.5512320026817	2590.877276532289	2337.4278756430576	4157.79429321147	1625.163600380428	3430.192317701669	3500.6406629318153	1973.9122828256907	3728.496147790404	4168.840583418882	3736.089447357565	2957.0878911442587	4817.193766978569	3838.1113511442472	3182.1911885252775	4402.645346557389	2286.4605357984406	3794.1607686587486	4616.732954310863	3706.4399068468315	3823.5593756962544	938.79879771003	1732.2571247170479	4045.7145760869707	1992.1392703464576	2849.6756443488757	625.894473000213	3837.567936132669	1306.2861640080337	4156.251923677058	1584.183742352348	3895.442367573985	2394.5754213142636	4089.6312835139647	2090.8621020725677	3619.7780124748974	4607.192130192921	4093.1881012546705	2075.1332996946944	2699.3702315087307	1555.1538811004625	3704.357448023343	2744.8267223277935	4127.017066666278	2999.3674806993863	3748.8370246919126	1099.7343357469845	4040.061004079643	4967.248023552344	3847.5883400378866	3941.0962961492487	4218.986267628513	4724.169014824756	3446.1870770565056	2689.4531370442687	3866.2008819362154	3943.173919047661	3049.304044802014	698.0160010502457	3837.446386504276	4780.620475121123	3783.712486994812	3585.715340239749	3988.1001097301987	2571.018681113025	3752.922674439434	2013.2033167513364	3974.9125810764244	4842.8596687928075	2126.9510936207844	4069.552841222643	2551.652370435156	4273.124377844335	2629.749084976245	3620.815219696492	1131.7001271516838	2859.1224398118266	4566.512267271618	4384.620584202787	3193.739031224599	4043.7405194101943
AMPK signaling pathway	121	KEGG	3831.744114228739	4428.605175985646	3382.332259033511	1703.9708591588826	2835.3296585648723	3288.5217286410125	3772.818071287257	3569.196721242145	3478.23859094882	4079.0592465547543	3893.3098079878073	3731.7543863022756	3040.238091496385	4122.115227185544	3186.1668776749957	4409.719776260572	2873.414148584358	4077.36787790764	3982.821017237508	3863.5046071557367	3790.5964859407054	2784.134543948128	4298.803282910198	2528.4388407806996	1875.7026717585256	3518.7301287152286	2069.91061782848	3122.400260291808	1396.7745164454057	2536.7550649685354	1835.6576243444451	3942.997382000845	4236.726687288663	2624.526591472551	1573.7962416795388	3576.173062193725	2984.9176574337694	4056.362479050142	3360.8217068162294	4397.745626254161	4202.936885727371	3623.216643842186	3080.9045365629786	3813.9578512125536	2867.554501419728	3317.9707348540437	3010.222313542263	4736.601182661207	4065.0967482473266	4229.988290950164	3403.838643451984	2959.143345704215	2839.597696762906	3509.436519031277	3029.546923637481	2373.0287427205	2611.688621154016	4161.170294183663	4406.610597468513	3222.2019123596256	2533.1319097348965	2813.791655128696	2482.2480454996266	4016.3488941434225	3875.1538071304803	3619.995515647906	3394.723006625075	2297.2871444721814	1179.0567811316953	3972.520574548239	3098.6556696808275	175.4544806159913	3712.661796474668	4095.8088122466693	4188.796537173965	2959.122073351786	3772.18303924695	1769.924725136935	3848.221323039442	2663.1858167236696	4089.721396840709	4138.154681769288	3645.23329794431	4144.560243000175	3914.5393916234507	3723.2908032401233	3229.8009021045496	3699.194149116574	2076.3420493529916	4257.9273537723875	2709.0819548338754	1374.2689287209153	3566.4903867200405	1687.785372750837	1737.9199928448977	1903.0673015534542	1751.5010906410455	3983.672066981879	1239.6496729573887	2497.7769738331563	3758.9615638254504	5277.2972938009325	3291.40341528666	4764.192585251476	3416.645293247956	4318.675257521867	1029.791410380737	3356.8341930624306	3289.1868159033907	2943.437854086793	4309.74271985524	3416.6393741290435	4176.358962833904	4167.748881332635	3484.9366966017524	1751.8845771446352	3386.121848589005	4347.002375176491	2862.7472877231594	1119.7456661468768	3904.3320301617023	2808.6437799574514	3410.0628053290625	420.13752506973594	3821.6154043643774	1207.4277396644438	3780.3662699772276	4391.160184134898	3903.2355110984586	3794.6495598201636	2339.492245462083	3082.5142539342764	3956.6940840895286	3048.699424554639	3665.9468149894387	832.0453836491772	2317.004949703875	3413.5606514056753	3781.566009048398	3471.7863725872976	2391.119981172422	3795.903910474239	4144.014239538838	3970.84282032072	1908.0278763073418	3513.711858840751	2914.723437034223	4290.71358546276	2625.921953420649
Acute myeloid leukemia	66	KEGG	5061.247653079167	4405.006129853399	4720.788285287352	4681.913734545163	4895.665763314207	4068.954400983393	4837.556726552386	4705.97374143079	4522.268483510096	4571.664183710397	4596.101622046613	4173.276683884434	4277.8048372225185	4518.035923666553	3022.8633945581228	4723.458625063491	4283.821961818303	4795.82522699394	4459.330673471868	4982.403803969484	4040.857432905125	4318.77818944448	3697.5913404940616	2965.3623095193107	4489.064809856915	3220.0107541738953	4106.36156617033	3808.8511755613354	4237.378798984825	1325.5914699778912	4385.872631048639	4741.72911482201	3153.7070726691672	3880.3911137300056	4496.36530420238	4426.036438657165	3645.817067836116	4410.6483476574085	4401.030161847234	5332.356402079295	4272.531211936851	2985.583715154755	4575.176637620297	4227.800092409606	2049.8508661780447	4376.021140251035	3877.9862305631477	4693.105995214955	4227.933358902171	4492.0176282581715	4779.005362598796	4353.221672451677	3991.404593878636	4408.396424683536	5134.8837184765025	4259.734810852714	4342.172698891571	4398.250243252298	5204.370423076906	4121.906058807037	3480.850998772105	4409.183904776728	3261.2623199037334	4346.388264354763	3972.8062875299884	4693.774028617884	4331.264859623054	4522.8750490666	2430.101730658273	5332.589600515875	3194.1826008201483	4315.796235309106	3859.6114152218465	3326.8017020059024	4375.2912705879735	4446.185914108075	4110.540533612846	3029.0755827612297	4574.095084248933	2879.923260550264	4711.150512025062	4017.215083407054	3314.6570776616263	4759.524648061404	3119.7045561633427	4126.359612711639	4416.930537283145	4164.705213335917	4259.273116223164	5391.817203106533	3141.530589938649	4180.353480905058	2914.2002805700704	4390.430154023409	2618.684976498394	4316.954258372833	2474.959220928934	4910.085136779536	2588.1960260955184	4189.998686172003	3809.8007511783467	4743.399261851362	3054.9610727977442	4021.435424887981	4509.009598889259	4262.609467368095	3693.8163279896476	3887.609691997332	3266.7501395569843	4398.4236981127415	2902.088378598439	4454.970446983499	4793.492776625616	4621.080960167748	4781.2613772962695	4407.353018155691	5358.632516601798	4488.759133824122	4327.181572650323	4491.8281389482045	4446.386341997799	3957.3031084706736	4617.589025131264	4304.594508479448	4017.4356542228065	4464.245064869446	4654.614940520765	5096.56560675412	3195.4013328509755	3819.418979218882	4750.113145712223	4543.098252383001	4242.259993204483	4639.325114724505	3496.3073102143358	4302.61061124555	5300.0259991472485	3742.8206536779276	4565.36359748484	4317.994653780235	4616.069496178175	4072.4788063382434	4642.062936881142	3733.670706544665	4332.6291063627405	3982.870468760258	4550.651572719358	4833.549546947528	4288.3545196413515
Adherens junction	72	KEGG	5468.383102331305	2545.469911439874	4673.497585731959	4214.820608501179	4591.072328091453	3224.0738577334178	4554.446101005958	3591.6077602730393	4692.664113671545	3863.701618693942	4740.552428793273	3057.6441793768763	5040.393368372555	3978.689055794815	3007.756644418321	4012.2273429647034	4321.390103974278	3927.0753718440646	3609.9784713144522	4592.089267727359	3565.9048662471837	4665.494849734256	2807.8806316497594	4641.068741211101	3714.4142741091787	5477.969301999225	3647.458663691033	4456.513399633608	3834.3178270247518	4452.003749770262	3991.0136399738417	5067.059724278751	2548.819229889723	5377.056477522654	4081.303998880931	3939.802453199553	3010.9085078648714	3726.408087772361	4650.666424868479	4981.400004544986	1425.8502078214296	5444.620439088607	4410.48158134293	3711.99240403842	5036.26239429517	3587.5432854818264	3754.817556758124	3378.72183206176	5349.169659973088	2744.9005615342844	5422.591794617526	3992.068136776737	2990.349208909313	3734.3153184223306	5036.497504450461	3984.1434434925	4980.072139681419	4253.241102788382	5611.067722513904	3846.958640637234	4215.06413041344	4089.8412970048284	4222.592999026396	4140.066476258921	3616.1689760495124	4207.038487674127	5475.213934105567	3610.3994243712245	5197.391622554882	3170.681265721216	3849.0116607691157	3983.756783143942	5355.46943110753	3206.4739942767037	4134.609872657725	3566.938537610932	3690.3803939044815	2694.8959305359867	3492.085909769867	3848.561451233652	5444.8190844849905	4201.174760158454	5029.2730913855075	4248.382710512756	4217.310490754441	3631.9745206424	4596.371469471988	3696.8182253044615	4552.1270766016	5136.73313073621	4879.7266982175	4274.196548627914	5686.8004009393735	3725.6270596770255	3431.3401238083966	3161.5004641971045	3710.8354526980984	3624.573448250063	4041.9816112799163	3217.1061215295144	5713.898306308064	3884.3702855741535	3876.2744737473836	4200.4239151857655	5554.080318594447	4005.386848735759	5259.358136695544	3504.9959584535704	4977.690243674653	3219.46310522821	5211.999738265807	3753.97114261163	4488.300413488887	4340.831343656867	5565.209778683646	3495.1653190531024	5451.606400358297	3592.257655905387	2948.286779706836	3984.7575809079417	5520.373305027378	3301.1660643736136	2950.627037015267	3867.75974463926	5290.571561945126	4068.0983082852276	4653.206977069238	3772.3590277851104	4549.361079615084	3697.6536314450427	5654.402340461869	3850.247609497213	5203.569221782336	3569.3067561551566	3167.965385991564	3487.998099538024	5303.642079354859	3329.303378898384	4144.24162342332	5044.435704932303	3951.4129912213807	3386.5193209138897	3825.7523490447375	4902.075331197779	3926.3297064818116	5097.127958555541	3849.420269386187	5036.979293549698	3631.2327365759456
Adipocytokine signaling pathway	69	KEGG	3708.546528567154	3995.6941905206554	2803.079933951702	2262.731070593325	3008.305183688796	924.891623460842	3932.1213756917714	2398.9702842445377	2592.0167228499904	519.6995672363801	2174.3373128256076	3040.510496121478	3859.4041404882723	3717.456535734431	3309.4510806945045	3469.7044414988286	3244.1552086020074	3973.374886558531	3211.1749557531534	3545.989594262516	3226.223772891988	3937.900782430236	1971.2419287372422	2604.632863102641	3174.7269945670305	3645.5127283046013	2179.5090985806287	2057.7439209336967	3486.628388151905	3137.6205299827247	2258.758822504708	3515.8129854459808	2850.2237150053625	3410.257455077266	3444.9826808860403	3130.054015967578	3208.3408517464454	3843.9458543699375	3614.0119781172325	3488.6428100333787	2807.1091572176115	2962.6775208099534	2740.7072742442842	3517.806562710757	1346.9194681959698	622.8352236859023	2463.9122216417054	3235.771224543997	1864.2154200891055	3998.6543895511454	2914.398062197988	3388.66804913711	3453.750113076391	3333.401835580515	3967.8232454565646	2690.321968577481	3783.318207317402	2637.1292294664086	4047.612110028421	3236.06380231154	2230.7377334307403	1840.3606611363878	2631.3383388256398	4236.127074457719	3516.442922921787	367.9681239263296	3027.592515847422	1922.344426375066	1552.6964662826244	3471.003073235367	2628.92541918907	2959.203079470415	3864.0460644974437	3053.929625288399	2227.404730313016	2233.030064248761	1878.3701277527055	2120.283035827238	1131.7740114140797	2561.8688634827768	3581.395201166385	3246.1549735937874	3876.4868732505697	725.7974617054676	3467.1802125282943	2954.2350334688927	2394.1216946103136	2698.7170399753286	1759.0829901369339	4102.220694198696	2826.916889221648	2692.788119716304	2867.713779091209	2455.184099164631	1613.921814387955	2311.085757293821	1907.2634589898003	2161.6824577075604	1909.9797496123954	935.7092726910447	3856.074581749674	2398.302588695194	2534.4751179127784	3635.4409844391967	2619.541739683366	2737.6559888940774	3607.8530854346022	2422.1418234860485	1501.5489693696202	2891.923058269405	2338.2953277003326	3394.750319557544	2007.0819723431405	4044.4161798403115	2807.69349429367	3482.1947425207018	3844.361727696066	4345.012140371331	3961.84368523854	297.01675848708055	2929.8174348003013	2248.0314490845876	3268.3648184333506	805.4459447609407	3860.7688692545316	831.1765094483683	3875.982337630218	2545.5492854667027	3970.203939513278	2223.501892812692	2619.210368561587	3992.3841213470932	4176.843042837264	475.86187494661084	3767.581933840313	3105.972095610493	2967.3848227750404	3219.7678855130193	3094.9886219296745	2259.2551364898195	3069.794319656132	3426.7605863877943	3688.6216032989796	2346.0341509199866	3874.0299776888546	3519.084678166029	3746.5861063165476	3457.382112652332	1627.037904102357
Adrenergic signaling in cardiomyocytes	144	KEGG	2995.8266354584066	2676.139722170954	3215.0169818962495	3487.561746693849	1054.092828737886	2580.025074575973	3513.0459606640406	2644.329607572527	3320.9659261260927	1127.819953989379	3621.7969127946944	382.0164607536414	3528.513508444813	3084.895041406746	4142.812000359083	2521.4329281205205	3894.1762588726738	2959.3169487448044	3298.3896362758624	3510.195570883414	1144.738746547551	1943.426160938898	3181.9273800282554	1491.4205120623121	3535.1673348654926	3160.2467507984684	1975.326997835885	3526.599398125475	1991.718095694445	2911.7847872995017	2684.2579974152454	3591.101245540789	1350.2791294411038	2509.470326989702	3011.9302189037558	4123.569647044348	3163.8664450285946	3439.0150096833663	3317.9702815938354	3890.5640113379086	1690.240801693349	821.6746202548753	3683.578307742527	931.128754541996	1706.4873204160967	1566.7608362147644	2219.1251996470305	653.936822611416	3920.9734974003154	2966.1872702170517	3648.2638904388095	2247.6172802429987	3676.864588743378	2247.9603820473776	2431.4166952764176	1960.0137099525605	1893.7818162540584	2833.7314777846964	3890.8166639396973	2387.706828439062	2883.9243768497927	3069.305706613256	4042.8866979973413	3308.0833977155617	3748.2010478149555	3547.2642596081237	3725.9524834884783	2386.812950540322	3508.3138080883186	3305.835068433006	1431.5581722503282	2685.439259794822	1918.3154385856515	574.5237891992506	2262.817480653359	2255.353284560433	2616.495584008487	4099.132548769461	1370.6125852492319	647.5187358232305	3556.646413526355	3944.3526138790057	274.9732609147598	4000.282079989001	3665.1823848762415	3578.8103969404137	3234.5944712223595	1925.9468524469949	1372.6901663413794	3896.527239114532	2419.911398846881	2417.921849769132	3657.1046133101013	3120.545387187935	1271.9679132619751	2608.531082347046	3077.348450918735	3742.7718334155097	1039.9013673758152	1621.0433481738366	2656.1716268445307	3328.0437427249635	2722.198077001142	1250.4096172523637	4103.485048154463	2472.5679521991606	2480.548502041606	1817.2296550937651	2079.6935099103043	2814.5288671496755	401.866358609505	3507.3024602426167	1226.2328060020563	3781.5338577471994	3354.380189962401	3609.6761014985204	2903.7905212808164	600.7306810686166	2846.695258358758	3250.054104594365	4222.904992594331	1618.844775694546	2267.574092574987	2743.0281201156913	4339.695861102926	2224.7767860610966	2940.2735210982632	3175.540801923826	2029.6066034512462	2263.4810814565526	3023.8130348924037	1113.337824009104	3910.835589387434	3670.5724648084797	1244.1488134821952	3650.8502315299684	4179.4543696361225	2381.5324192761022	3797.891561927105	1221.3799283432359	3480.968873199887	2845.0204986087983	2648.5101272437487	1958.4255816410578	2706.8217283750855	2917.8376274949774	3645.187594506167	3353.949400053585	1634.4956375091003
African trypanosomiasis	35	KEGG	1317.3973488661188	4266.69289472037	666.8501259005322	3382.725009784017	739.4262639576244	3587.969531748815	978.7218058731997	3437.421040885688	923.0422791176231	3537.367196338248	3435.7456167770515	1990.1151473998202	4211.785297657936	3130.7033548550166	2854.9088350035317	3798.8844703078153	2702.164333431276	2608.7741942834887	4705.872371874251	1727.7747607287342	3138.167595850138	2463.7966151882233	3160.730509717286	530.6718253912659	3140.8640057907255	455.0824394345943	3320.6688737632244	144.14106683731606	3255.4312211854162	38.895046925977404	3069.2996390251187	1627.8984222079584	670.476102683776	3226.791903019728	4802.848028325272	3654.3796342550368	1408.3696896647632	5075.696332635188	1564.5295293922377	4319.99020033946	4070.7565181141913	405.73647230672333	593.8086250221828	2259.4991415612217	163.61239916269676	3864.5669138547737	59.84057614314996	3199.878758589748	2598.812394756597	4831.994352385963	227.08501195847796	4366.270373849466	2352.2454547558427	4417.837419736833	367.08852375091624	5265.918587306897	2824.204942508521	3338.7005688169143	3539.2320046364343	3829.4287034802005	254.02463439390857	3056.500349052	2630.0083971777813	2220.7741997163066	468.0330788446638	4473.947076789522	348.23828876255885	3626.0181598367717	1519.4358322834526	2412.2700082055576	1151.533683959816	3618.8853750065764	59.59970521489371	321.7943363301613	2987.409563725424	2246.2829750916644	4164.289271173785	388.2626699997759	3492.8510602567117	2753.3601727478967	2221.810271604892	3566.075916867674	550.8079194520819	3992.8876868250254	739.5591083740907	4534.07662130683	4540.822122524753	3665.285777676826	358.4412626869334	2612.8202685639158	2923.7940143796745	4803.866055890477	4.35153559161911	4518.380786712281	2254.279261959284	2230.2571759574535	2189.095969985283	2686.152169140274	234.423129259739	3637.191151041846	2585.439429218073	2992.525124245506	1735.794971803334	747.8722017122818	2789.355930502845	3687.268656525144	2561.214124888868	1218.301303392105	1289.1313810655352	2934.9525431002153	3586.896493322556	3762.5006461318494	1096.945703108856	2535.329912612418	1116.3949932159178	3324.7327929264015	4439.531035338488	3231.2646757914117	3612.7594407498377	4041.134854112293	1174.7299551514952	2789.580147736445	481.3459030363007	3073.7679862286464	99.69252179733999	3142.5278812980405	859.061786885247	3123.1693995113883	1716.5930311484012	2541.243750696101	3332.891169282607	4001.38661358044	2035.4918138655883	1897.0479514249575	577.8685699456364	3085.0086225934074	1794.4978752314428	284.1949776685199	2913.4022216737403	104.6276874692739	4056.4549723399027	2915.4795054384017	1513.3094545604147	260.93414276180374	5168.491046261288	342.5216431912462	5041.357714893628	134.20743257069628	4657.595262956483
Alanine, aspartate and glutamate metabolism	35	KEGG	4766.567823540988	4084.6882675373304	4572.783919361451	519.1451570206806	4921.667568323764	571.1383192685505	3718.4049632402393	3005.089714481377	5184.501513033513	2463.625829895417	3542.5583085734775	5604.722672591296	1166.056773217482	606.5061204607377	578.9162476854417	3527.6528846489755	3988.1288547068716	663.4806645525412	15.078171469339765	2610.1484648968994	2568.381660131875	5190.4371272963335	3809.815480458184	4603.466334460139	657.462722784655	632.7079044939795	658.6346754761367	4213.415767184453	384.94455179306885	2783.721596849352	929.876600191838	4498.506680097432	5447.922517655622	638.5017451309116	693.9942764214483	681.1825882305698	4060.4985102158776	529.9307258589081	2378.2736137482707	5207.753408354313	898.3595314679457	4075.000774701787	4038.511544302298	1166.6619707196098	3793.8022004656614	447.06319054440866	2562.3667621713457	320.52002004641105	2970.60316359445	507.4625043730099	2669.271729722898	669.8458421785986	2184.579708450119	645.7063251162398	5020.438334838508	458.1920569828483	4851.282808721442	742.3016485017614	4532.6575843173905	563.1051740480028	1538.4735754677342	985.2566263874626	2558.963286961991	924.119395924863	4107.329847374438	795.8415114487456	3253.028840638057	567.9096415735995	4100.030519824115	1206.399672959412	4330.363092643354	636.8767437711168	452.3108071625103	4944.896183158758	2880.801015441169	719.9059416059715	630.0705647059207	1206.493440611008	4867.407264043395	1015.4244712578242	3724.3326812842615	5547.393032611111	5023.672220686904	1508.4852277948112	3064.778846438421	778.0343533151402	4505.000112828417	698.2605864197877	5089.136127212043	5703.0451468155425	458.80770038744953	644.7058761412404	2558.851379264833	675.4905657417288	4314.164071619084	199.01140412048034	3320.809561026832	1001.5493730113918	229.31480625031924	105.14134389175537	5103.2558724383825	677.7312514777676	4385.267776050393	4953.478136363303	2140.9131040273332	795.6477680766817	1060.808980660887	5261.082206576408	5185.591857975763	356.01901106912015	4942.2226973800425	704.952368028816	3665.947539874574	5492.102645067845	3324.4452565132256	1014.9643129328767	4636.1444253085965	559.4398517942319	4614.176883244038	556.7591693736216	447.24127706858167	984.3774969678182	2677.2809346092017	213.01213947181677	2946.747865590684	1084.1474611389256	2859.6107172884667	500.7551593271281	5399.409338156423	1312.8521619689643	2164.7398167571023	776.6163812864353	5672.013778661168	784.1331142783449	5377.961822021532	580.2935628337916	3687.413539999221	4716.109441442851	539.3905690897362	3745.6934539834992	698.433678647154	5268.680665247992	5842.718516662945	4498.590832310368	294.2692856873018	5292.339250540406	864.4375984425582	5370.908278106143	733.9759551535615
